Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34068769,"20:39, 18 February 2026",Maintenance script,False,adjustment,active,,0,"(Protected ""Wire an Electric Cooker"": Protecting page (infinite) ([Edit=Staff and Admins only] (indefinite) [Move=Staff and Admins only] (indefinite)))"
33738676,"12:00, 10 October 2025",MiscBot,False,addition,active,,2,(Automatic external link checking: updating and/or deleting links that are broken)
33505930,"08:49, 23 June 2025",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
33346003,"13:21, 24 April 2025",Seymour Edits,False,sourcing,active,,-8,(replaced bad references for wikiHaus content team)
32285074,"09:48, 13 February 2024",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
31996145,"08:42, 12 October 2023",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
31889232,"08:42, 26 August 2023",Votebot,False,addition,active,,2,(reordering tips and warnings based on votes)
31734022,"16:19, 23 June 2023",Seymour Edits,False,addition,active,,48,(Adding video via Video Adder tool)
31153972,"09:58, 10 December 2022",Votebot,False,addition,active,,2,(reordering tips and warnings based on votes)
30556389,"21:39, 18 May 2022",Seymour Edits,False,addition,active,,306,(Added expert citations)
27413814,"15:41, 26 November 2019",Wikivisual,False,major_addition,active,,719,(Saving new step-by-step photos)
27163553,"17:20, 2 October 2019",Sophia B,False,addition,active,,1,(Grammatical edit.)
27162549,"12:48, 2 October 2019",Seymour Edits,False,addition,active,,380,(Adding ref links.)
27159013,"17:15, 1 October 2019",Seymour Edits,False,addition,active,,156,(Updating flow and clarifying wiring.)
27156473,"02:22, 1 October 2019",Starlette,False,addition,active,,32,(categorization)
27154337,"17:29, 30 September 2019",WRM,False,major_addition,active,,11995,(Creating article.)
