Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34096119,"19:38, 19 February 2026",MiscBot,False,deletion,active,,-106,(Removing Related Articles section)
34080483,"02:38, 19 February 2026",MiscBot,False,revert,active,,108,(Reverting the Related Articles section removal)
34064628,"19:28, 18 February 2026",MiscBot,False,deletion,active,,-108,(Removing Related Articles section)
33320289,"11:00, 15 April 2025",MiscBot,False,deletion,active,,-162,(Automatic external link checking: updating and/or deleting links that are broken)
32652703,"08:56, 15 July 2024",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
32322565,"20:35, 27 February 2024",FlowerPower555,False,revert,active,,42,(Reverted edits by 164.58.141.7 (Talk); changed back to last version by Rupert28)
32322562,"20:34, 27 February 2024",164.58.141.7,False,deletion,reverted,FlowerPower555,-42,
30876642,"11:32, 14 September 2022",SnowyRiver28,False,revert,active,,15806,(RCP reverted edits by Royalweldingwires (talk) to  revision #29935746 by Seymour Edits)
30876612,"11:21, 14 September 2022",Royalweldingwires,False,major_deletion,reverted,SnowyRiver28,-15806,"(Low heat aluminum welding rods are perfect for a variety of applications, from welding thin metal sheets together to repairing small holes)"
29935746,"15:40, 30 September 2021",Seymour Edits,False,addition,reverted,SnowyRiver28,37,(adding expert citations)
29514958,"10:00, 6 May 2021",RelatedWikihowsBot,False,deletion,active,,-34,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
29326774,"17:41, 13 March 2021",GB742,False,revert,active,,-46,(Reverted edits by BananaAppleChocolate (Talk); changed back to last version by Caitlynn L)
29326520,"17:23, 13 March 2021",BananaAppleChocolate,False,addition,reverted,GB742,46,(→‎Steps: Cleaned up page)
28908013,"18:33, 23 November 2020",Caitlynn L,False,deletion,reverted,GB742,-87,(updating link to avoid redirect)
28710250,"09:40, 8 October 2020",RelatedWikihowsBot,False,deletion,active,,-45,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
27763630,"03:58, 23 February 2020",Luna~Cookie,False,addition,active,,61,(Adding video via video picker tool)
26954149,"09:43, 16 August 2019",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
26903545,"12:50, 5 August 2019",Seymour Edits,False,sourcing,reverted,SnowyRiver28,1579,(Added sources for the wikihaus content team)
25489535,"16:38, 26 October 2018",Seymour Edits,False,addition,reverted,SnowyRiver28,13,(Weaving the Web of Links)
25032311,"10:16, 6 August 2018",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
24113958,"20:02, 26 February 2018",MiscBot,False,deletion,active,,-16,(Removing Summarized magic word that isn’t necessary anymore.)
23280368,"23:38, 26 September 2017",JuliaMMartins,False,revert,active,,-384,"(removed ""In a Hurry?"" summary (for wikiHaus, please don't revert))"
23257476,"22:59, 22 September 2017",Seymour Edits,False,addition,reverted,SnowyRiver28,3,
23246804,"21:31, 20 September 2017",Seymour Edits,False,addition,reverted,SnowyRiver28,396,(Editing “In a Hurry?” test for wikiHaus experiment)
22699114,"22:09, 26 June 2017",RelatedWikihowsBot,False,deletion,active,,-110,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
21291803,"23:43, 6 November 2016",Flickety,False,addition,active,,17,(Switch to appropriate category)
21071249,"08:37, 4 October 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
19587007,"08:16, 5 February 2016",Lutherus Shyrilser,False,revert,active,,3,(Reverted edits by 185.100.86.86 (Talk); changed back to last version by RelatedWikihowsBot)
