Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
32198216,"14:50, 10 January 2024",WikiHow Horizon,False,deletion,active,,-3,(Updated link/s)
32165771,"15:21, 27 December 2023",AnnyG,False,addition,active,,50,(Adding video via video picker tool)
31858391,"01:54, 13 August 2023",WikiHow Projects,False,deletion,active,,-146,(removing broken link)
29885482,"18:22, 14 September 2021",Seymour Edits,False,addition,active,,129,(Added expert citations.)
28976023,"14:33, 11 December 2020",Seymour Edits,False,sourcing,active,,-81,(removed bad source for the wikihaus content team)
27327498,"05:39, 7 November 2019",Aiosis,False,revert,active,,-140,(Reverted edits by 198.2.110.71 (Talk); changed back to last version by WikiHow Projects)
27327457,"05:11, 7 November 2019",198.2.110.71,False,addition,reverted,Aiosis,140,
27227260,"12:09, 17 October 2019",WikiHow Projects,False,addition,reverted,Aiosis,54,(added images)
26782459,"21:27, 10 July 2019",Seymour Edits,False,addition,active,,144,(Added the Summary template to this article)
26268629,"00:37, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
23884041,"17:50, 18 January 2018",WikiHow Intern,False,deletion,active,,-8,(Change to appropriate sub-category)
23770764,"21:51, 24 December 2017",Wikivisual,False,major_addition,active,,853,(Saving new step-by-step photos)
23654018,"09:14, 2 December 2017",Fantastic_Chantel,False,cleanup,active,,0,(Fixing misspellings via the Spellchecker tool)
23653040,"00:49, 2 December 2017",Seymour Edits,False,addition,active,,67,(updated intro with detail)
23653034,"00:47, 2 December 2017",Seymour Edits,False,addition,active,,18,(made a section title more specific)
23652986,"00:24, 2 December 2017",Seymour Edits,False,major_addition,active,,886,"(fixed intro, fixed part 1 title, 1.1.1 fixed, 1.3 + 1.4 more specific titles, 1.6 moved to 2.6 (misplaced), fixed 2.2, 2.3-2.5 clarified, 3.3.1 broke into its own step)"
23645720,"18:49, 30 November 2017",WF,False,addition,active,,34,(categorization)
23645412,"17:59, 30 November 2017",Seymour Edits,False,addition,active,,113,
23645325,"17:40, 30 November 2017",Seymour Edits,False,addition,active,,6,(→‎Steps)
23645321,"17:39, 30 November 2017",WRM,False,sourcing,active,,7192,"(created article. 3 methods, substeps, intro, references)"
