Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33178401,"18:33, 24 February 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
32703190,"18:16, 6 August 2024",WikiHow Projects,False,addition,active,,5,(updating link)
32591521,"04:03, 21 June 2024",MiscBot,False,deletion,active,,-51,(Removed broken YouTube video)
32585055,"11:20, 18 June 2024",WikiHow Horizon,False,addition,active,,140,(Updated link/s)
32403364,"07:52, 1 April 2024",Wikivisual,False,deletion,active,,-9,(Saving new step-by-step photos)
32098176,"12:27, 27 November 2023",WikiHow Horizon,False,addition,active,,8,(Updated link/s)
26294668,"02:39, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
24528052,"06:21, 9 May 2018",EpcotMagic,False,addition,active,,51,(Adding video via video picker tool)
24102493,"03:56, 26 February 2018",Aiosis,False,revert,active,,12424,(Reverted edits by BBGYUFY7TYHRJBFNBGGF (Talk); changed back to last version by WikiHow Projects)
24102481,"03:53, 26 February 2018",BBGYUFY7TYHRJBFNBGGF,False,major_deletion,reverted,Aiosis,-12424,(Replacing page with 'Get your baby all naked lay down and lay down babys butt right in your face spread her cheeks open and feel and smell the fart of your babys bottom  get your newborn naked a...')
23598119,"00:23, 22 November 2017",WikiHow Projects,False,addition,reverted,Aiosis,64,(Added Images)
21102927,"01:45, 9 October 2016",HumanBeing,False,revert,active,,-750,(RCP reverted edits by 68.45.2.131 (talk) to  revision #20117750 by Jean17)
21102912,"01:42, 9 October 2016",68.45.2.131,False,major_addition,reverted,HumanBeing,750,(→‎Steps)
20117750,"20:49, 28 April 2016",Jean17,False,sourcing,reverted,HumanBeing,731,"(added info, added sources)"
19721316,"11:27, 27 February 2016",Wikivisual,False,major_addition,active,,574,(Saving new step-by-step photos)
19615123,"18:13, 10 February 2016",Dextracraft,False,cleanup,active,,1,(Fixing misspellings via the Spellchecker tool)
19607362,"15:21, 9 February 2016",Seymour Edits,False,sourcing,active,,4994,(Expanded into multiple parts and added verified sources.)
19356267,"03:16, 9 January 2016",RelatedWikihowsBot,False,deletion,active,,-19,(Removing redundant wikitext from Related wikiHows section)
18430989,"08:41, 14 September 2015",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
18092073,"06:28, 29 July 2015",MiscBot,False,deletion,active,,-196,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17745568,"13:22, 6 July 2015",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
13601012,"08:50, 14 May 2014",Wikivisual,False,addition,active,,110,(Enlarging and centering Steps photos)
13601011,"08:50, 14 May 2014",Wikivisual,False,major_addition,active,,830,(Saving new step-by-step photos)
12808848,"22:54, 25 February 2014",MiscBot,False,deletion,active,,-23,(Adding parts/methods magic word.)
12785366,"21:44, 23 February 2014",Flickety,False,major_addition,active,,5076,(Quick edit while doing method editor)
6647322,"04:16, 19 September 2011",Ttrimm,False,addition,active,,60,(Adding related wikihow from NAB)
4702314,"11:13, 13 June 2010",Writelf,False,addition,active,,26,(categorization)
4690476,"04:04, 10 June 2010",Ttrimm,False,adjustment,active,,0,(Get Rid of Gas in Babies moved to Help Relieve Gas in Babies)
4690475,"04:03, 10 June 2010",Ttrimm,False,deletion,active,,-87,(editing article via New Article Boost feature)
4680061,"21:20, 7 June 2010",Tryme2,False,addition,active,,59,(Added Image using ImageAdder Tool)
4674418,"15:59, 6 June 2010",LeezyLemonLime,False,major_addition,active,,585,(Creating new article)
