Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33179552,"18:48, 24 February 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
31794891,"23:54, 18 July 2023",Thomas_Ch,False,revert,active,,309,(Expert Interview Section added.)
31745832,"21:48, 27 June 2023",Seymour Edits,False,addition,active,,117,(Added Expert Citations)
31427689,"20:06, 10 March 2023",Wikivisual,False,adjustment,active,,0,(Saving new step-by-step photos)
31371560,"00:44, 20 February 2023",Seymour Edits,False,sourcing,active,,303,(Added and replaced sources for the wikiHaus content team.)
30938788,"08:40, 5 October 2022",Votebot,False,addition,active,,2,(reordering tips and warnings based on votes)
30145753,"20:26, 17 December 2021",Seymour Edits,False,deletion,active,,-230,(updated intro)
27867505,"18:54, 17 March 2020",Caitlynn L,False,addition,active,,19,(helping WikiHaus Trainee - moving link to more closely related info)
27865003,"23:59, 16 March 2020",WikiHaus Trainee,False,addition,active,,19,(Adding relevant wikihow link)
27699051,"17:16, 7 February 2020",Wikivisual,False,addition,active,,140,(Saving new step-by-step photos)
27678607,"17:42, 3 February 2020",Wikivisual,False,major_addition,active,,649,(Saving new step-by-step photos)
27206212,"21:55, 12 October 2019",Seymour Edits,False,major_addition,active,,686,(Breaking ammeter wiring into red and black probe steps.)
27204375,"09:05, 12 October 2019",RubyRoseRain,False,addition,active,,33,(categorization)
27203992,"05:51, 12 October 2019",WikiHowUser20220204205835,False,revert,active,,-16,(RCP reverted edits by Carolyn Barratt (talk) to  revision #27202905 by WRM)
27203883,"04:21, 12 October 2019",Carolyn Barratt,False,addition,reverted,WikiHowUser20220204205835,16,
27202905,"20:45, 11 October 2019",WRM,False,major_addition,reverted,WikiHowUser20220204205835,11866,(Creating article.)
