Year,Total_Edits,Female_Edits,Male_Edits,NB_Unk_Edits
2005,106,36,53,17
2006,256,71,137,47
2007,1462,344,959,159
2008,1183,336,671,176
2009,1231,451,564,216
2010,1131,416,541,174
2011,1533,477,882,174
2012,1366,327,886,153
2013,2726,793,1647,286
2014,3047,728,1761,558
2015,3724,1096,2051,577
2016,5851,1709,3474,667
2017,5191,1547,3077,566
2018,7228,2154,4106,968
2019,9976,3409,5691,876
2020,14736,4994,7856,1886
2021,16191,4192,9254,2744
2022,15766,5357,8108,2301
2023,17511,6248,8946,2316
2024,12526,3877,6133,2516
2025,16211,6423,7041,2747
2026,16188,6088,7401,2699
