Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34088394,"17:56, 19 February 2026",MiscBot,False,deletion,active,,-86,(Removing Related Articles section)
34072403,"00:40, 19 February 2026",MiscBot,False,revert,active,,88,(Reverting the Related Articles section removal)
34056499,"17:26, 18 February 2026",MiscBot,False,deletion,active,,-88,(Removing Related Articles section)
33287383,"11:00, 2 April 2025",MiscBot,False,addition,active,,9,(Automatic external link checking: updating and/or deleting links that are broken)
33098314,"09:58, 27 January 2025",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
33027973,"15:57, 28 December 2024",Wikivisual,False,adjustment,active,,0,(Saving new step-by-step photos)
32989524,"09:58, 10 December 2024",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
32986305,"09:51, 9 December 2024",Wikivisual,False,deletion,active,,-1,(Saving new step-by-step photos)
32855682,"05:34, 14 October 2024",Alabaster,False,revert,active,,-5,(RCP reverted edits by 138.44.68.166 (talk) to  revision #32735774 by Alabaster)
32855557,"02:56, 14 October 2024",138.44.68.166,False,addition,reverted,Alabaster,10,
32855556,"02:55, 14 October 2024",138.44.68.166,False,deletion,reverted,Alabaster,-5,
32735774,"11:42, 23 August 2024",Alabaster,False,revert,reverted,Alabaster,-26,(RCP reverted edits by 82.174.154.64 (talk) to  revision #32656189 by WikiHow Horizon)
32735738,"11:24, 23 August 2024",82.174.154.64,False,addition,reverted,Alabaster,26,
32656189,"10:50, 16 July 2024",WikiHow Horizon,False,deletion,reverted,Alabaster,-6,(Updated link/s)
31370098,"09:52, 19 February 2023",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
31044018,"19:16, 4 November 2022",Jsnlin0,False,revert,active,,-7,(RCP reverted edits by 164.116.142.20 (talk) to  revision #30453686 by Votebot)
31043979,"18:48, 4 November 2022",164.116.142.20,False,addition,reverted,Jsnlin0,7,
30453686,"09:20, 9 April 2022",Votebot,False,adjustment,reverted,Jsnlin0,0,(reordering tips and warnings based on votes)
30120844,"17:30, 7 December 2021",ICanGuessItLol,False,revert,active,,2454,(RCP reverted edits by 204.11.32.162 (talk) to  revision #29423446 by RelatedWikihowsBot)
30120794,"17:03, 7 December 2021",204.11.32.162,False,major_addition,reverted,ICanGuessItLol,3085,
30120784,"17:00, 7 December 2021",204.11.32.162,False,major_deletion,reverted,ICanGuessItLol,-5539,
29423446,"09:58, 8 April 2021",RelatedWikihowsBot,False,deletion,reverted,ICanGuessItLol,-40,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
28711338,"09:47, 8 October 2020",RelatedWikihowsBot,False,deletion,reverted,ICanGuessItLol,-39,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
28580228,"03:02, 6 September 2020",WikiHow Projects,False,deletion,active,,-198,(removing broken link)
28580226,"03:01, 6 September 2020",WikiHow Projects,False,deletion,active,,-98,(updating links)
27911697,"07:35, 28 March 2020",Vidbot,False,deletion,active,,-88,(Removing unavailable video from article)
27410308,"16:58, 25 November 2019",R2_d2000,False,revert,active,,15949,(Reverted edits by 104.225.170.166 (Talk); changed back to last version by R2_d2000)
27410306,"16:57, 25 November 2019",104.225.170.166,False,major_deletion,reverted,R2_d2000,-15949,(Replacing page with 'how are you doing  guys //////////////////////////////////////////////')
27410301,"16:55, 25 November 2019",R2_d2000,False,revert,reverted,R2_d2000,-34,(Reverted edits by 104.225.170.166 (Talk); changed back to last version by RubyRoseRain)
27410298,"16:55, 25 November 2019",104.225.170.166,False,addition,reverted,R2_d2000,34,
27314088,"17:12, 4 November 2019",RubyRoseRain,False,revert,reverted,R2_d2000,16019,(RCP reverted edits by 207.144.99.104 (talk) to  revision #27105490 by Kitty0)
27314076,"17:08, 4 November 2019",207.144.99.104,False,major_deletion,reverted,RubyRoseRain,-16019,(Removing all content from page)
27105490,"21:45, 19 September 2019",Starlette,False,adjustment,reverted,RubyRoseRain,0,(Quick edit while patrolling)
