Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34001370,"00:30, 22 January 2026",BradleyM25,False,addition,active,,47,(Adding video via video picker tool)
32715240,"16:49, 12 August 2024",Hopedemi,False,revert,active,,319,(Expert Interview Section added.)
32686364,"15:14, 30 July 2024",Seymour Edits,False,addition,active,,234,(Added expert citations.)
30679408,"08:36, 7 July 2022",SnowyRiver28,False,revert,active,,15,(RCP reverted edits by Rizwan Ali 2 (talk) to  revision #30626792 by Seymour Edits)
30679332,"08:01, 7 July 2022",Rizwan Ali 2,False,deletion,reverted,SnowyRiver28,-15,"(As you may know, we have been working on a new bathroom, and this has meant that the upstairs shower needed to be moved from its current location. As it is an electric shower, we decided to fit an electric shower to save on the cost of running a plumbed in one, especially as we can use an external pump. Here is a blog about how we did it.)"
30626792,"13:21, 15 June 2022",Seymour Edits,False,revert,reverted,SnowyRiver28,483,(List Conversion. Do not Revert.)
28713394,"10:00, 8 October 2020",RelatedWikihowsBot,False,deletion,active,,-71,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
27228881,"17:21, 17 October 2019",Seymour Edits,False,sourcing,reverted,SnowyRiver28,351,(Added sources for the wikihaus content team.)
26285429,"01:57, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
24879190,"00:02, 10 July 2018",P Hills,False,addition,active,,11,(Quick edit while patrolling)
24878801,"21:52, 9 July 2018",81.100.77.46,False,addition,active,,198,
24655800,"10:26, 28 May 2018",Wikivisual,False,addition,active,,108,(Saving new step-by-step photos)
24068969,"04:57, 20 February 2018",WikiHow Intern,False,deletion,active,,-65,(Change to appropriate sub-category)
22726901,"00:44, 27 June 2017",RelatedWikihowsBot,False,deletion,active,,-34,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
21266877,"20:45, 2 November 2016",Flickety,False,addition,active,,40,(Switch to appropriate category)
19334351,"00:29, 9 January 2016",RelatedWikihowsBot,False,deletion,active,,-86,(Removing redundant wikitext from Related wikiHows section)
18071198,"23:00, 28 July 2015",MiscBot,False,deletion,active,,-168,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17316919,"13:16, 11 May 2015",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
17084156,"13:12, 10 April 2015",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
16817775,"16:05, 6 March 2015",Isorhythmic,False,deletion,active,,-146,(Quick edit while patrolling)
16817714,"15:50, 6 March 2015",217.10.137.146,False,sourcing,active,,-40,(→‎Sources and Citations:  Replacing broken link with another up-to-date source.)
16000843,"22:23, 26 November 2014",WikiHow Intern,False,deletion,active,,-150,(removing broken link)
13750637,"18:02, 28 May 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
13376757,"00:50, 22 April 2014",Au Yat,False,deletion,active,,-45,(Edit via Quality Guardian: Removed video that didn't perfectly match the text.)
13369934,"09:14, 21 April 2014",Teena Ford,False,addition,active,,46,(Adding video via video picker tool)
12883357,"18:51, 4 March 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
12548290,"15:21, 30 January 2014",Wikiphoto,False,addition,active,,109,(Enlarging and centering Steps photos)
12548289,"15:21, 30 January 2014",Wikiphoto,False,major_addition,active,,611,(Saving new step-by-step photos)
11535216,"22:12, 24 October 2013",Votebot,False,addition,active,,1,(reordering tips and warnings based on votes)
10754580,"20:16, 8 August 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
9817783,"15:48, 6 May 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
8073058,"21:41, 11 July 2012",Le_maryjane1,False,addition,active,,53,(Edit via Image Picker: Added an image)
8056405,"00:58, 9 July 2012",BR,False,revert,active,,-53,(Reverted edits by Destroyer365365 (Talk); changed back to last version by Wendy Weaver)
8053830,"14:24, 8 July 2012",Destroyer,False,addition,reverted,BR,53,(Edit via Image Picker: Added an image)
6422265,"00:35, 30 July 2011",Wendy Weaver,False,addition,reverted,BR,70,(Weaving the web of links)
6277165,"22:56, 28 June 2011",Wendy Weaver,False,addition,reverted,BR,123,(Weaving the web of links)
6114919,"16:20, 1 June 2011",Anniesarah,False,addition,active,,46,(categorization)
6062336,"16:00, 24 May 2011",WRM,False,major_addition,active,,3677,(Creating new article)
