Continuum,Query,Google Title,Real WikiHow Title,URL
policy,site:wikihow.com Category:Military,10 Ways to Reduce Crime in Your Neighborhood - wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Reduce-Crime-in-Your-Neighborhood&sa=U&ved=2ahUKEwiW9OKT_OSTAxVYk4kEHRCyHaoQFnoECAUQAg&usg=AOvVaw08M39na4PMeaAn4bQSACuU
policy,site:wikihow.com Category:Military,275 Controversial Questions & Debate Topics on Every Subject,Error Resolving,/url?q=https://www.wikihow.com/Controversial-Questions&sa=U&ved=2ahUKEwiW9OKT_OSTAxVYk4kEHRCyHaoQFnoECAQQAg&usg=AOvVaw01Elg34ky46Ra8fH3u5H8z
policy,site:wikihow.com Category:Military,Simple Ways to Report a Crime Anonymously in the U.S - wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Report-a-Crime-Anonymously-in-the-U.S&sa=U&ved=2ahUKEwiW9OKT_OSTAxVYk4kEHRCyHaoQFnoECAMQAg&usg=AOvVaw3XKkFuHaXrA-96cXEgNWlR
policy,site:wikihow.com Category:Military,3 Ways to Pick Up on Manipulative Behavior - wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Pick-Up-on-Manipulative-Behavior&sa=U&ved=2ahUKEwiW9OKT_OSTAxVYk4kEHRCyHaoQFnoECA0QAg&usg=AOvVaw2EVg7DvahlgRj8KATLzmvd
policy,site:wikihow.com Category:Military,How to Be a Good Police Officer - wikiHow Life,Error Resolving,/url?q=https://www.wikihow.com/Be-a-Good-Police-Officer&sa=U&ved=2ahUKEwiW9OKT_OSTAxVYk4kEHRCyHaoQFnoECAkQAg&usg=AOvVaw12eo08hqbiq94DuVtsir4k
policy,site:wikihow.com Category:Military,How to Fight Crime at the Local Level (with Pictures) - wikiHow Life,Error Resolving,/url?q=https://www.wikihow.com/Fight-Crime-at-the-Local-Level&sa=U&ved=2ahUKEwiW9OKT_OSTAxVYk4kEHRCyHaoQFnoECAsQAg&usg=AOvVaw3h-3d1M4tuw_vw_4m-LSK1
policy,site:wikihow.com Category:Military,3 Ways to Profile People - wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Profile-People&sa=U&ved=2ahUKEwiW9OKT_OSTAxVYk4kEHRCyHaoQFnoECAcQAg&usg=AOvVaw2kdZKBTzvyA8NufSo8Mo_b
policy,site:wikihow.com Category:Military,How to Confess: 13 Steps (with Pictures) - wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Confess&sa=U&ved=2ahUKEwiW9OKT_OSTAxVYk4kEHRCyHaoQFnoECAgQAg&usg=AOvVaw1DLulypjgE5fwcLFFmOCUo
policy,site:wikihow.com Category:Military,How to Easily Read Faces and Facial Expressions - wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Easily-Read-Faces-and-Facial-Expressions&sa=U&ved=2ahUKEwiW9OKT_OSTAxVYk4kEHRCyHaoQFnoECAoQAg&usg=AOvVaw2v7RZxLfVYi7NrhRrfSNVx
policy,site:wikihow.com Category:Military,How to Survive Under Martial Law: Your Expert Guide - wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Survive-Under-Martial-Law&sa=U&ved=2ahUKEwiW9OKT_OSTAxVYk4kEHRCyHaoQFnoECAYQAg&usg=AOvVaw3oqqE2Mc_IqRo9U-y7QLC6
policy,"site:wikihow.com ""Military""","120+ Military Nicknames for Soldiers, Squads, & More - wikiHow",Error Resolving,/url?q=https://www.wikihow.com/Military-Nicknames&sa=U&ved=2ahUKEwi7h5OV_OSTAxX9EFkFHZ2zNtYQFnoECAcQAg&usg=AOvVaw1J8EMYGu5RjUsfWszcDeGh
