Continuum,Query,Google Title,Real WikiHow Title,URL
entertainment,site:wikihow.com Category:Knitting,Knitting - how to articles from wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Category:Knitting&sa=U&ved=2ahUKEwi04NjB6uSTAxUV1wIHHbg1AZ0QFnoECAMQAg&usg=AOvVaw3k2wBKk-sTj4Xqs1nu0PcP
entertainment,site:wikihow.com Category:Knitting,Knitting Stitches - how to articles from wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Category:Knitting-Stitches&sa=U&ved=2ahUKEwi04NjB6uSTAxUV1wIHHbg1AZ0QFnoECAkQAg&usg=AOvVaw0-z7_K23tZpe6W7N9c6Bin
entertainment,site:wikihow.com Category:Knitting,Knitting Techniques - how to articles from wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Category:Knitting-Techniques&sa=U&ved=2ahUKEwi04NjB6uSTAxUV1wIHHbg1AZ0QFnoECBIQAg&usg=AOvVaw1Xp_LzEN6DSPfkN3xtMTI0
entertainment,site:wikihow.com Category:Knitting,How to Knit for Beginners: Simple Step-by-Step Guide - wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Knit&sa=U&ved=2ahUKEwi04NjB6uSTAxUV1wIHHbg1AZ0QFnoECAoQAg&usg=AOvVaw3BTJvQe0bYSNBqhVW3AdOw
entertainment,site:wikihow.com Category:Knitting,Knitting and Crochet - how to articles from wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Category:Knitting-and-Crochet&sa=U&ved=2ahUKEwi04NjB6uSTAxUV1wIHHbg1AZ0QFnoECAQQAg&usg=AOvVaw3d-Ava33aqUrrTRYvo3UX5
entertainment,site:wikihow.com Category:Knitting,Knitting Clothes - how to articles from wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Category:Knitting-Clothes&sa=U&ved=2ahUKEwi04NjB6uSTAxUV1wIHHbg1AZ0QFnoECAgQAg&usg=AOvVaw3_5j4ZQ5hWZdYBXIc4dVOk
entertainment,site:wikihow.com Category:Knitting,How to Finish Knitting (with Pictures) - wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Finish-Knitting&sa=U&ved=2ahUKEwi04NjB6uSTAxUV1wIHHbg1AZ0QFnoECAcQAg&usg=AOvVaw1VXU_f7CcL6VW4QeU_DlXP
entertainment,site:wikihow.com Category:Knitting,Knitting vs. Crochet: What's the Difference (and How to Choose One),Error Resolving,/url?q=https://www.wikihow.com/Knitting-vs-Crochet&sa=U&ved=2ahUKEwi04NjB6uSTAxUV1wIHHbg1AZ0QFnoECAUQAg&usg=AOvVaw2x6YjQzOWxUAuT4-up2Gp9
entertainment,site:wikihow.com Category:Knitting,3 Ways to Start a Knitting Project - wikiHow Fun,Error Resolving,/url?q=https://www.wikihow.com/Start-a-Knitting-Project&sa=U&ved=2ahUKEwi04NjB6uSTAxUV1wIHHbg1AZ0QFnoECAYQAg&usg=AOvVaw2leBvFs4DlZtP2RMFUElkW
entertainment,"site:wikihow.com ""Knitting""",Een trui breien voor beginners (met afbeeldingen) - wikiHow,Error Resolving,/url?q=https://nl.wikihow.com/Een-trui-breien-voor-beginners&sa=U&ved=2ahUKEwiFkr3K6uSTAxW2zQIHHeozM5sQFnoECAoQAg&usg=AOvVaw1RH4VyJmMY79_XAlhdEzko
entertainment,"site:wikihow.com ""Knitting""",Breien - wikiHow,Error Resolving,/url?q=https://nl.wikihow.com/Breien&sa=U&ved=2ahUKEwiFkr3K6uSTAxW2zQIHHeozM5sQFnoECAkQAg&usg=AOvVaw2fOhcygLnEZx39FoEq1qfR
entertainment,"site:wikihow.com ""Knitting""",Van kleur wisselen tijdens het breien - wikiHow,Error Resolving,/url?q=https://nl.wikihow.com/Van-kleur-wisselen-tijdens-het-breien&sa=U&ved=2ahUKEwiFkr3K6uSTAxW2zQIHHeozM5sQFnoECAsQAg&usg=AOvVaw3L8gFQoPUaz5RajSMpZaKB
entertainment,"site:wikihow.com ""Knitting""",Knitting - how to articles from wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Category:Knitting&sa=U&ved=2ahUKEwiFkr3K6uSTAxW2zQIHHeozM5sQFnoECBEQAg&usg=AOvVaw1CVXT22LkMmfw_d57oTsJn
entertainment,"site:wikihow.com ""Knitting""",How to Finish Knitting (with Pictures) - wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Finish-Knitting&sa=U&ved=2ahUKEwiFkr3K6uSTAxW2zQIHHeozM5sQFnoECAcQAg&usg=AOvVaw3kynPbot0dGK7AUhNiQRAf
entertainment,"site:wikihow.com ""Knitting""",How to Knit the Knit Stitch: 13 Steps - wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Knit-the-Knit-Stitch&sa=U&ved=2ahUKEwiFkr3K6uSTAxW2zQIHHeozM5sQFnoECAMQAg&usg=AOvVaw1EoInEv-Seob3WcvxUcgkz
entertainment,"site:wikihow.com ""Knitting""",Een trui voor een hond breien (met afbeeldingen) - wikiHow,Error Resolving,/url?q=https://nl.wikihow.com/Een-trui-voor-een-hond-breien&sa=U&ved=2ahUKEwiFkr3K6uSTAxW2zQIHHeozM5sQFnoECAUQAg&usg=AOvVaw34psciHUqkbukyl2Ast3C8
entertainment,"site:wikihow.com ""Knitting""",Knitting and Crochet - how to articles from wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Category:Knitting-and-Crochet&sa=U&ved=2ahUKEwiFkr3K6uSTAxW2zQIHHeozM5sQFnoECAQQAg&usg=AOvVaw1MlVUnxk4YaAb8G_--q1V2
entertainment,"site:wikihow.com ""Knitting""",Vingerbreien: 8 stappen - wikiHow,Error Resolving,/url?q=https://nl.wikihow.com/Vingerbreien&sa=U&ved=2ahUKEwiFkr3K6uSTAxW2zQIHHeozM5sQFnoECAgQAg&usg=AOvVaw3NcW2vyH2j_sV5QXXLbnNi
entertainment,"site:wikihow.com ""Knitting""",Knitting Stitches - how to articles from wikiHow,Error Resolving,/url?q=https://www.wikihow.com/Category:Knitting-Stitches&sa=U&ved=2ahUKEwiFkr3K6uSTAxW2zQIHHeozM5sQFnoECAYQAg&usg=AOvVaw12hqsLn9iEzklfhsEmVIny
