Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33811264,"06:03, 5 November 2025",MiscBot,False,deletion,active,,-196,(Automatic external link checking: updating and/or deleting links that are broken)
29868331,"00:05, 8 September 2021",Kyle Hall,False,adjustment,active,,0,(reordered methods)
29819820,"21:38, 19 August 2021",GB742,False,revert,active,,-292,(RCP reverted edits by Freeflys (talk) to  revision #29695831 by MiscBot)
29819770,"20:57, 19 August 2021",Freeflys,False,adjustment,reverted,GB742,0,
29819769,"20:55, 19 August 2021",Freeflys,False,addition,reverted,GB742,292,
29695831,"07:37, 29 June 2021",MiscBot,False,deletion,reverted,GB742,-5,(Automatic category consolidation.)
28525790,"22:41, 24 August 2020",Kyle Hall,False,deletion,active,,-107,(integrated expert GB)
28160257,"10:26, 25 May 2020",Wikivisual,False,addition,active,,298,(Saving new step-by-step photos)
28109894,"14:23, 13 May 2020",Seymour Edits,False,major_addition,active,,915,"(Made edits for style, tone, and clarity, changed section headings)"
28077488,"21:03, 5 May 2020",Seymour Edits,False,deletion,active,,-71,"(Made minor copy edits, removed excess links)"
28077168,"19:27, 5 May 2020",Seymour Edits,False,sourcing,active,,1152,"(Streamlined, reorganized, and restructured content, added new sources)"
27906825,"02:33, 27 March 2020",WikiHow Projects,False,deletion,active,,-42,(removing broken link)
27536619,"06:07, 30 December 2019",Nanjira W Javan,False,addition,active,,44,(Adding video via video picker tool)
27535039,"17:16, 29 December 2019",Seymour Edits,False,sourcing,active,,1050,(Added sources for wikihaus team)
26974215,"23:41, 21 August 2019",WikiHow Expert Review,False,addition,active,,146,(Updated green box.)
26974213,"23:39, 21 August 2019",WikiHow Expert Review,False,deletion,active,,-171,(Updated green box.)
26974212,"23:38, 21 August 2019",WikiHow Expert Review,False,addition,active,,170,(Updated green box.)
26287512,"02:06, 29 March 2019",MiscBot,False,sourcing,reverted,GB742,-11,(Updating References section name to match new sitewide conventions)
26223784,"15:07, 24 March 2019",WikiHow Projects,False,deletion,active,,-83,(removing broken link)
24287428,"08:48, 28 March 2018",HumanBeing,False,revert,active,,8000,(RCP reverted edits by 81.108.106.226 (talk) to  revision #22952843 by Bananagal)
24287395,"08:39, 28 March 2018",81.108.106.226,False,major_deletion,reverted,HumanBeing,-8000,(Replacing page with '1. Kill a baby 2. Drink its blood')
22952843,"16:59, 1 August 2017",Bananagal,False,revert,reverted,HumanBeing,8,(RCP reverted edits by Marshall1000 (talk) to  revision #22671650 by Flickety)
22952758,"16:38, 1 August 2017",Marshall1000,False,deletion,reverted,Bananagal,-8,
22952753,"16:37, 1 August 2017",Marshall1000,False,adjustment,reverted,Bananagal,0,
22671650,"01:27, 23 June 2017",Flickety,False,addition,reverted,Bananagal,37,(Add relevant sub-category)
21684693,"02:52, 17 January 2017",Eric,False,deletion,active,,-1,"(→‎Buy generic formula: clean up, replaced: Wal-Mart → Walmart)"
