Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34128040,"10:26, 7 March 2026",Votebot,False,addition,active,,1,(reordering tips and warnings based on votes)
34099140,"20:17, 19 February 2026",MiscBot,False,deletion,active,,-38,(Removing Related Articles section)
34083552,"03:21, 19 February 2026",MiscBot,False,revert,active,,100,(Reverting the Related Articles section removal)
34067947,"20:27, 18 February 2026",MiscBot,False,deletion,active,,-100,(Removing Related Articles section)
33591070,"09:01, 2 August 2025",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
33400257,"23:00, 14 May 2025",MiscBot,False,addition,active,,38,(Automatic external link checking: updating and/or deleting links that are broken)
33232152,"22:06, 10 March 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
33092551,"12:16, 24 January 2025",Freyrr,False,deletion,active,,-4,(extra word)
32715226,"16:48, 12 August 2024",Hopedemi,False,revert,active,,316,(Expert Interview Section added.)
32685209,"03:26, 30 July 2024",Seymour Edits,False,sourcing,active,,78,(Added sources for the wikiHaus content team.)
31860601,"08:43, 14 August 2023",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
31398849,"03:00, 1 March 2023",Rainy M,False,addition,active,,48,(Adding video via video picker tool)
29794946,"14:11, 10 August 2021",MiscBot,False,deletion,active,,-6,(Automatic category consolidation.)
27692200,"11:18, 6 February 2020",RelatedWikihowsBot,False,deletion,active,,-19,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
27041604,"07:31, 6 September 2019",ExoticComet,False,deletion,active,,-10,(improving apostrophe consistency)
26297372,"02:51, 29 March 2019",MiscBot,False,sourcing,active,,-9,(Updating References section name to match new sitewide conventions)
25908026,"03:49, 20 January 2019",WikiHow Projects,False,deletion,active,,-53,(removing broken link)
24804495,"02:13, 25 June 2018",Flickety,False,addition,active,,7,(Change to appropriate sub-category)
19390791,"01:29, 12 January 2016",RelatedWikihowsBot,False,deletion,active,,-39,(Removing redundant wikitext from Related wikiHows section)
18854213,"19:35, 13 November 2015",172.3.21.0,False,addition,active,,2,"(reworded ""a few FEET of wall"" to ""a few inches of wall"" - we're not rewiring a bunker here, folks...)"
18101708,"11:05, 29 July 2015",MiscBot,False,deletion,active,,-196,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
16406192,"17:45, 18 January 2015",SarahB,False,revert,active,,9215,(RCP reverted edits by 162.249.54.6 (talk) to  revision #16361339 by Maluniu)
16405800,"16:25, 18 January 2015",162.249.54.6,False,revert,reverted,SarahB,-9215,"(Replacing page with 'Don't.  You're taking away from somebody who was taught a skill, and they need money to survive like you.  If you're desperate, ask a neighbor, chances are, they know.')"
16361339,"01:46, 13 January 2015",WikiHowUser20221012045502,False,addition,reverted,SarahB,6,(Tagging featured article via RSS feed)
15510084,"17:50, 1 October 2014",Wikivisual,False,addition,active,,113,(Enlarging and centering Steps photos)
15510083,"17:50, 1 October 2014",Wikivisual,False,major_addition,active,,957,(Saving new step-by-step photos)
14481820,"10:17, 9 August 2014",RG Dhruv,False,deletion,active,,-2,(Quick edit while patrolling)
14481663,"09:28, 9 August 2014",Mohil Khare,False,addition,active,,24,(categorization)
14479665,"02:18, 9 August 2014",CQinPDX,False,sourcing,active,,-385,"(Rewrote and updated, added additional information, rewrote intro, added sources)"
14231874,"13:55, 15 July 2014",Wikivisual,False,addition,active,,129,(Enlarging and centering Steps photos)
14231873,"13:55, 15 July 2014",Wikivisual,False,major_addition,active,,865,(Saving new step-by-step photos)
12961856,"17:45, 12 March 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
12564599,"02:01, 1 February 2014",Krystle,False,revert,active,,-49,(Reverted edits by Reuben24 (Talk); changed back to last version by Votebot)
12564255,"01:09, 1 February 2014",Reuben24,False,addition,reverted,Krystle,49,(Adding video via video picker tool)
12032050,"18:50, 7 December 2013",Votebot,False,adjustment,reverted,Krystle,0,(reordering tips and warnings based on votes)
6419461,"23:02, 29 July 2011",Wendy Weaver,False,addition,active,,34,(Weaving the web of links)
6418952,"22:58, 29 July 2011",Wendy Weaver,False,addition,active,,64,(Weaving the web of links)
5266952,"02:19, 15 November 2010",Loupgarous,False,addition,active,,18,"(→‎Warnings:  Capitalized first words in sentences that were left fower case by a previous editor, Added the term ""or component wear"" to the second warning sentence.)"
5263410,"03:16, 14 November 2010",24.9.21.58,False,addition,active,,139,(→‎Things You'll Need)
5241163,"07:56, 8 November 2010",Ttrimm,False,deletion,active,,-112,(editing article via New Article Boost feature)
5240217,"00:51, 8 November 2010",Loupgarous,False,addition,active,,180,(→‎Things You'll Need)
5240212,"00:50, 8 November 2010",Loupgarous,False,major_addition,active,,623,(→‎Steps)
5240168,"00:36, 8 November 2010",Loupgarous,False,adjustment,active,,0,(→‎Things You'll Need)
5240165,"00:35, 8 November 2010",Loupgarous,False,deletion,active,,-30,(→‎Things You'll Need)
5240161,"00:34, 8 November 2010",Loupgarous,False,addition,active,,45,(→‎Things You'll Need)
5240155,"00:33, 8 November 2010",Loupgarous,False,major_addition,active,,842,(→‎Things You'll Need)
5233174,"01:23, 6 November 2010",TrippleH,False,addition,active,,54,(Added Image using ImageAdder Tool)
5229245,"23:54, 4 November 2010",Jordan,False,revert,active,,-84,(Reverted edits by Wendy Weaver (Talk); changed back to last version by Maluniu)
5229099,"23:50, 4 November 2010",Wendy Weaver,False,addition,reverted,Jordan,84,(Weaving the web of links)
4972482,"18:47, 25 August 2010",WikiHowUser20221012045502,False,addition,active,,25,(categorization)
4924527,"05:09, 12 August 2010",Loupgarous,False,addition,active,,219,(→‎Things You'll Need)
4924502,"05:02, 12 August 2010",Loupgarous,False,addition,active,,1,(→‎Things You'll Need)
4924501,"05:02, 12 August 2010",Loupgarous,False,addition,active,,160,(→‎Warnings)
4924484,"04:58, 12 August 2010",Loupgarous,False,major_addition,active,,5413,(Creating new article)
