Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34087378,"17:43, 19 February 2026",MiscBot,False,deletion,active,,-195,(Removing Related Articles section)
34071338,"00:24, 19 February 2026",MiscBot,False,revert,active,,197,(Reverting the Related Articles section removal)
34055476,"17:08, 18 February 2026",MiscBot,False,deletion,active,,-197,(Removing Related Articles section)
33178792,"18:38, 24 February 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
31322221,"21:10, 2 February 2023",WikiHow Projects,False,addition,active,,141,(adding internal links)
27717737,"20:51, 11 February 2020",WikiHow Expert Review,False,addition,active,,417,(Incorporating expert feedback)
26465873,"19:26, 25 April 2019",Seymour Edits,False,sourcing,active,,411,(Added sources for the wikihaus content team.)
26047594,"11:51, 17 February 2019",MiscBot,False,sourcing,active,,-101,(Automatic link maintenance: cleaning up links to references that are broken)
24572197,"23:45, 14 May 2018",MiscBot,False,deletion,active,,-375,(Converting summary section to the new Summary template.)
24440079,"22:31, 25 April 2018",WikiHow Expert Review,False,addition,active,,352,(Incorporating expert feedback)
24422181,"18:28, 22 April 2018",Seymour Edits,False,revert,active,,506,"(addng “Quick Overview"" for wikiHaus)"
21291812,"23:45, 6 November 2016",Flickety,False,addition,active,,16,(Switch to appropriate category)
19390800,"01:29, 12 January 2016",RelatedWikihowsBot,False,deletion,active,,-183,(Removing redundant wikitext from Related wikiHows section)
19131013,"09:47, 25 December 2015",Wikiphoto,False,major_addition,active,,1169,(Adding gifs to videos.)
17966174,"19:16, 27 July 2015",InterwikiBot,False,deletion,active,,-64,"(Removing interwiki links, no longer needed in wikitext)"
16776956,"23:45, 1 March 2015",Wikivisual,False,major_addition,active,,522,(Saving new step-by-step photos)
16566666,"19:39, 5 February 2015",MiscBot,False,cleanup,active,,-1,(Correcting spelling and/or grammar.)
16042530,"06:07, 2 December 2014",Evaanrude Garfuncal,False,cleanup,active,,1,(Fixing misspellings via the Spellchecker tool)
15968989,"00:12, 23 November 2014",WikiHow Intern,False,deletion,active,,-93,(removing broken link)
15476903,"18:42, 27 September 2014",InterwikiBot,False,addition,active,,37,(Adding interwiki link)
15127376,"17:55, 20 August 2014",Wikivisual,False,addition,active,,1,(Enlarging and centering Steps photos)
15127375,"17:55, 20 August 2014",Wikivisual,False,addition,active,,432,(Saving new step-by-step photos)
12841067,"21:24, 27 February 2014",Colecrane,False,major_addition,active,,3062,(expanding)
12078156,"01:31, 12 December 2013",Wikivid,False,addition,active,,193,(Saving new step-by-step videos)
10699413,"23:36, 6 August 2013",MiscBot,False,deletion,active,,-14,(Removing nointroimg template)
10666985,"19:03, 3 August 2013",68.218.135.128,False,addition,active,,30,(→‎Things You'll Need)
9634900,"01:06, 17 April 2013",Wikiphoto,False,deletion,active,,-29,(Adding {{nointroimg}} template and removing intro images)
9629655,"09:36, 16 April 2013",Wikiphoto,False,addition,active,,24,(Enlarging and centering Steps photos)
9629654,"09:35, 16 April 2013",Wikiphoto,False,addition,active,,364,(Saving new step-by-step photos)
8799928,"18:49, 1 December 2012",108.28.171.162,False,deletion,active,,-2,(→‎Steps)
8565001,"04:00, 12 October 2012",Byzantine95,False,deletion,active,,-35,(Edit via Quality Guardian: Removed video that didn't perfectly match the text.)
8562082,"15:54, 11 October 2012",EpcotMagic,False,addition,active,,36,(Adding video via video picker tool)
7511657,"00:04, 30 March 2012",Jmuddy95,False,deletion,active,,-84,(removed bad link)
5295523,"00:52, 23 November 2010",WikiHow Traduce,False,addition,active,,26,(added interwiki link to spanish translation)
5218799,"20:10, 2 November 2010",BoldStepFixer,False,deletion,active,,-48,(fixing the bold issue)
4775124,"02:01, 4 July 2010",Tryme2,False,addition,active,,40,(Added Image using ImageAdder Tool)
4034768,"17:37, 22 November 2009",WRM,False,major_addition,active,,3623,(Creating new article)
