Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
31466488,"16:27, 24 March 2023",Seymour Edits,False,sourcing,active,,202,"(Added expert citation, updated a reference link)"
29578043,"08:57, 23 May 2021",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
29288639,"11:07, 4 March 2021",RelatedWikihowsBot,False,deletion,active,,-34,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
28709997,"09:39, 8 October 2020",RelatedWikihowsBot,False,deletion,active,,-45,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
28709567,"09:24, 8 October 2020",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
27943354,"09:25, 4 April 2020",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
27263632,"09:44, 24 October 2019",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
27171386,"11:16, 4 October 2019",Seymour Edits,False,sourcing,active,,416,(Added sources for the wikihaus content team.)
27119366,"09:52, 23 September 2019",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
26918644,"10:07, 8 August 2019",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
26771421,"09:20, 8 July 2019",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
25752122,"21:17, 13 December 2018",Seymour Edits,False,addition,active,,133,(Weaving the Web of Links)
25354252,"08:13, 4 October 2018",RelatedWikihowsBot,False,deletion,active,,-30,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
25259051,"09:11, 18 September 2018",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
23884060,"17:55, 18 January 2018",WikiHow Intern,False,deletion,active,,-8,(Change to appropriate sub-category)
23371750,"08:46, 12 October 2017",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
23193882,"08:43, 11 September 2017",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
