Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
31714986,"13:13, 16 June 2023",WikiHow Projects,False,deletion,active,,-259,(removing broken link)
29522087,"10:45, 6 May 2021",RelatedWikihowsBot,False,deletion,active,,-38,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
29263060,"05:36, 25 February 2021",WikiHow Projects,False,addition,active,,2,(Removing category to be deleted)
28568564,"10:27, 3 September 2020",RelatedWikihowsBot,False,deletion,active,,-34,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
28523741,"13:40, 24 August 2020",Seymour Edits,False,sourcing,active,,-112,(Removed bad source for the wikiHaus content team)
27561459,"10:31, 6 January 2020",Wikivisual,False,major_addition,active,,952,(Saving new step-by-step photos)
26332554,"06:21, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
25373204,"09:44, 7 October 2018",Flickety,False,addition,active,,9,(Change to appropriate sub-category)
25156624,"06:50, 29 August 2018",Seymour Edits,False,major_addition,active,,2539,
25118188,"16:22, 21 August 2018",Seymour Edits,False,deletion,active,,-22,(minor streamlining for a few step titles/wrap)
25108265,"23:15, 19 August 2018",Seymour Edits,False,major_addition,active,,2370,"(Renamed sections and moved parts between them, expanded steps and substeps, added third section with a few new steps.)"
25081596,"05:25, 15 August 2018",Seymour Edits,False,sourcing,active,,464,"(Made two sections based on author's steps, expanded on and added steps in these sections, added pertinent sources for each step)"
23621919,"08:09, 27 November 2017",Eleanor Hooper,False,addition,active,,19,(categorization)
23621763,"07:07, 27 November 2017",CategoryGuardian,False,deletion,active,,-26,"(Removing category that seems to be a poor fit, based on votes from the Category Guardian)"
19348945,"02:11, 9 January 2016",RelatedWikihowsBot,False,deletion,active,,-187,(Removing redundant wikitext from Related wikiHows section)
18084677,"03:19, 29 July 2015",MiscBot,False,deletion,active,,-70,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17541438,"12:46, 6 June 2015",WikiHow Intern,False,deletion,active,,-247,(removing broken links)
12412515,"10:36, 16 January 2014",Wikiphoto,False,addition,active,,46,(Enlarging and centering Steps photos)
12412514,"10:36, 16 January 2014",Wikiphoto,False,addition,active,,245,(Saving new step-by-step photos)
10036317,"10:34, 30 May 2013",Isorhythmic,False,revert,active,,21,(Reverted edits by 219.91.176.161 (Talk); changed back to last version by Luna Masterson)
10036238,"10:18, 30 May 2013",219.91.176.161,False,deletion,reverted,Isorhythmic,-21,
9093888,"02:48, 25 January 2013",Luna Masterson,False,addition,reverted,Isorhythmic,60,(Edit via Image Picker: Added an image)
9056644,"14:21, 18 January 2013",JackHerrick,False,revert,active,,-60,(Reverted edits by Milind007 (Talk); changed back to last version by Maluniu)
9056628,"14:18, 18 January 2013",Milind007,False,addition,reverted,JackHerrick,60,(Edit via Image Picker: Added an image)
9040514,"15:12, 15 January 2013",WikiHowUser20221012045502,False,addition,active,,399,(Related wikiHows)
6840209,"02:50, 5 November 2011",EpcotMagic,False,addition,active,,27,(categorization)
6839161,"23:16, 4 November 2011",BR,False,revert,active,,-28,(Reverted edits by Iholland95 (Talk); changed back to last version by WRM)
6838502,"20:32, 4 November 2011",Iholland95,False,addition,reverted,BR,28,(categorization)
6672006,"16:00, 25 September 2011",WRM,False,major_addition,reverted,BR,4957,(Creating new article)
