Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34015178,"20:00, 27 January 2026",Maintenance script,False,adjustment,active,,0,"(Protected ""Replace a Headlight Adjustment Screw"": Protecting page (infinite) ([Edit=Staff and Admins only] (indefinite) [Move=Staff and Admins only] (indefinite)))"
33760847,"20:54, 16 October 2025",Seymour Edits,False,revert,active,,19,(NCA edit. Do not revert.)
33226896,"20:54, 10 March 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
32472434,"00:17, 30 April 2024",WikiHow Horizon,False,deletion,active,,-405,(Removing broken link/s)
31494658,"08:46, 3 April 2023",Votebot,False,addition,active,,2,(reordering tips and warnings based on votes)
28140523,"12:51, 20 May 2020",Wikivisual,False,addition,active,,20,(Saving new step-by-step photos)
28102042,"14:31, 11 May 2020",Wikivisual,False,major_addition,active,,1161,(Saving new step-by-step photos)
28017145,"16:05, 21 April 2020",Seymour Edits,False,addition,active,,1,
28008070,"15:40, 19 April 2020",Seymour Edits,False,deletion,active,,-31,(Editing flow and step titles.)
28005019,"17:01, 18 April 2020",Starlette,False,addition,active,,26,(categorization)
28004956,"16:45, 18 April 2020",WRM,False,major_addition,active,,14058,(Creating article.)
