Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34130040,"19:27, 8 March 2026",Seymour Edits,False,sourcing,active,,-2,(replaced bad references for wikiHaus content team)
33555227,"14:50, 16 July 2025",Wikivisual,False,adjustment,active,,0,(Saving new step-by-step photos)
33538693,"05:45, 8 July 2025",Wikivisual,False,adjustment,active,,0,(Saving new step-by-step photos)
33538420,"02:10, 8 July 2025",Wikivisual,False,adjustment,active,,0,(Saving new step-by-step photos)
33538297,"01:30, 8 July 2025",Wikivisual,False,addition,active,,40,(Saving new step-by-step photos)
33537494,"15:40, 7 July 2025",Wikivisual,False,addition,active,,369,(Saving new step-by-step photos)
33515647,"16:05, 26 June 2025",Wikivisual,False,deletion,active,,-18,(Saving new step-by-step photos)
33034014,"16:34, 31 December 2024",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
32705721,"19:22, 7 August 2024",Seymour Edits,False,addition,active,,392,
32410130,"14:48, 3 April 2024",WikiHow Horizon 3,False,addition,active,,44,(Adding video via Video Adder tool)
32311869,"15:05, 23 February 2024",Seymour Edits,False,sourcing,active,,11,(replaced inaccurate/bad sources for the wikihaus content team; replace mayoclinic sources)
32030920,"11:27, 27 October 2023",WikiHow Projects,False,sourcing,active,,-2,(Fixing sources for the wikiHaus content team.)
28943057,"23:43, 2 December 2020",WikiHow Expert Review,False,addition,active,,170,(Integrated tips from NCA)
27072597,"02:33, 13 September 2019",Seymour Edits,False,addition,active,,138,(Added the Summary template to this article)
26292746,"02:30, 29 March 2019",MiscBot,False,sourcing,active,,-9,(Updating References section name to match new sitewide conventions)
25113248,"16:06, 20 August 2018",Wikivisual,False,addition,active,,50,(Saving new step-by-step photos)
24988492,"14:01, 30 July 2018",Wikivisual,False,major_addition,active,,519,(Saving new step-by-step photos)
24759065,"14:26, 15 June 2018",WikiHow Expert Review,False,addition,active,,425,(Incorporating expert feedback)
24665612,"03:11, 30 May 2018",Seymour Edits,False,major_deletion,active,,-843,(Editorial changes)
24660258,"06:23, 29 May 2018",WikiHow Projects,False,major_addition,active,,620,(added all images)
24646312,"01:55, 26 May 2018",S A T O B A B E,False,addition,active,,24,(categorization)
24646283,"01:41, 26 May 2018",WRM,False,major_addition,active,,7649,(Created content)
