Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
32560768,"20:30, 7 June 2024",Seymour Edits,False,addition,active,,271,(tysk added)
32272588,"00:44, 8 February 2024",WikiHow Horizon 2,False,addition,active,,41,(Adding video via Video Adder tool)
30929104,"08:42, 2 October 2022",WikiHow Projects,False,addition,active,,17,(updating link)
30588027,"17:31, 31 May 2022",Seymour Edits,False,addition,active,,101,"(Adding subtitle, wikiHaus test please do not remove)"
29377392,"21:08, 24 March 2021",Seymour Edits,False,addition,active,,49,(NCA edit.)
28104184,"23:20, 11 May 2020",Caitlynn L,False,revert,active,,-7560,(revert for wikiHaus test - message me if you have any questions)
27975793,"09:25, 12 April 2020",Votebot,False,addition,active,,2,(reordering tips and warnings based on votes)
27301318,"16:36, 1 November 2019",Wikivisual,False,addition,active,,304,(Saving new step-by-step photos)
26964291,"13:31, 19 August 2019",Seymour Edits,False,addition,active,,2,(Changing p1 title)
26963176,"09:06, 19 August 2019",Icefoxdang Icefoxdang,False,cleanup,active,,1,(Fixing misspellings via the Spellchecker tool)
26960993,"14:10, 18 August 2019",Seymour Edits,False,major_addition,active,,512,(Adding step and editing.)
26958289,"13:52, 17 August 2019",Seymour Edits,False,sourcing,active,,6739,(Updating and expanding with sources.)
26591554,"10:37, 24 May 2019",WikiHowUser20220204205835,False,deletion,active,,-54,(Quick edit while patrolling)
26591537,"10:23, 24 May 2019",197.248.159.246,False,deletion,active,,-11,
26349529,"08:05, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
18066008,"21:39, 28 July 2015",MiscBot,False,deletion,active,,-112,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
15526588,"05:30, 3 October 2014",Wikivisual,False,addition,active,,65,(Enlarging and centering Steps photos)
15526587,"05:30, 3 October 2014",Wikivisual,False,addition,active,,346,(Saving new step-by-step photos)
14413712,"22:19, 1 August 2014",WikiHow Intern,False,deletion,active,,-136,(removed broken link)
11616839,"21:57, 30 October 2013",Votebot,False,addition,active,,1,(reordering tips and warnings based on votes)
8466968,"23:57, 22 September 2012",Mr.Walmyr,False,addition,active,,47,(Edit via Image Picker: Added an image)
6686174,"04:40, 29 September 2011",EpcotMagic,False,addition,active,,44,(categorization)
6229586,"22:00, 18 June 2011",WRM,False,major_addition,active,,3691,(Creating new article)
