Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33548485,"18:00, 12 July 2025",Seymour Edits,False,adjustment,active,,0,(Updating expert TYSK)
33535025,"22:35, 6 July 2025",Seymour Edits,False,addition,active,,372,(Expert TYSK)
33227313,"21:00, 10 March 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
32665121,"10:11, 20 July 2024",WikiHow Horizon,False,deletion,active,,-8,(Updated link/s)
31321226,"12:15, 2 February 2023",ICanGuessItLol,False,revert,active,,-7,(RCP reverted edits by 136.158.44.26 (talk) to  revision #29518849 by RelatedWikihowsBot)
31321120,"11:25, 2 February 2023",136.158.44.26,False,addition,reverted,ICanGuessItLol,7,
29518849,"10:25, 6 May 2021",RelatedWikihowsBot,False,deletion,reverted,ICanGuessItLol,-42,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
29496255,"22:45, 29 April 2021",Seymour Edits,False,addition,active,,86,(adding expert citations)
29424000,"10:02, 8 April 2021",RelatedWikihowsBot,False,deletion,reverted,ICanGuessItLol,-32,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
28426618,"11:41, 28 July 2020",Wikivisual,False,addition,active,,183,(Saving new step-by-step photos)
26622075,"18:44, 30 May 2019",Seymour Edits,False,sourcing,active,,466,(Added sources for the wikihaus content team.)
26259125,"23:58, 28 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
26109107,"08:38, 1 March 2019",Anna RU PM,False,deletion,active,,-80,(removing potentially problematic images for wikiHaus)
24566407,"18:46, 14 May 2018",MiscBot,False,deletion,active,,-445,(Converting summary section to the new Summary template.)
24321917,"11:40, 3 April 2018",Seymour Edits,False,revert,active,,1,(editing quick overview.)
24293649,"09:44, 29 March 2018",Seymour Edits,False,revert,active,,574,(adding Quick Overview for WikiHaus.)
23851161,"16:42, 12 January 2018",Aiosis,False,revert,active,,7396,(Reverted edits by 157.246.120.55 (Talk); changed back to last version by Bananagal)
23851144,"16:41, 12 January 2018",157.246.120.55,False,major_deletion,reverted,Aiosis,-7396,(Replacing page with 'just beat the damn thing until it can burb it's self fuckin pussy ass babies')
22238373,"03:27, 17 April 2017",Bananagal,False,revert,reverted,Aiosis,221,(RCP reverted edits by 75.82.216.142 (talk) to  revision #22198360 by Galactic Radiance)
22238223,"02:22, 17 April 2017",75.82.216.142,False,deletion,reverted,Bananagal,-221,
22198360,"00:36, 9 April 2017",WikiHowUser20230227233914,False,revert,reverted,Bananagal,-111,(RCP reverted edits by 162.252.88.79 (talk) to  revision #22183273 by Joel.Miles925)
22198343,"00:31, 9 April 2017",162.252.88.79,False,addition,reverted,WikiHowUser20230227233914,111,(→‎Steps)
22183273,"01:23, 6 April 2017",Joel.Miles925,False,revert,reverted,WikiHowUser20230227233914,-19,(RCP reverted edits by 75.82.216.142 (talk) to  revision #21872830 by Votebot)
22183180,"00:51, 6 April 2017",75.82.216.142,False,addition,reverted,Bananagal,19,(→‎Steps)
22183179,"00:51, 6 April 2017",75.82.216.142,False,deletion,reverted,Bananagal,-223,(→‎Warnings)
