Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34093137,"18:59, 19 February 2026",MiscBot,False,deletion,active,,-121,(Removing Related Articles section)
34077358,"01:53, 19 February 2026",MiscBot,False,revert,active,,123,(Reverting the Related Articles section removal)
34061462,"18:41, 18 February 2026",MiscBot,False,deletion,active,,-123,(Removing Related Articles section)
33788800,"16:25, 25 October 2025",Seymour Edits,False,deletion,active,,-6,(expert tysk)
33144983,"16:34, 12 February 2025",Wikivisual,False,addition,active,,10,(Saving new step-by-step photos)
33133250,"10:06, 8 February 2025",Votebot,False,deletion,active,,-3,(reordering tips and warnings based on votes)
33123578,"10:27, 5 February 2025",BlokPlaysGames,False,revert,active,,-1,(Reverted edits by ChocoCat1122 (Talk); changed back to last version by Wikivisual)
33123577,"10:26, 5 February 2025",ChocoCat1122,False,cleanup,reverted,BlokPlaysGames,1,(Fixing misspellings via the Spellchecker tool)
33122588,"03:22, 5 February 2025",Wikivisual,False,major_addition,reverted,BlokPlaysGames,612,(Saving new step-by-step photos)
33005808,"16:02, 17 December 2024",Seymour Edits,False,deletion,active,,-36,(numbering)
33005807,"16:01, 17 December 2024",Seymour Edits,False,addition,active,,26,(KWs)
33005806,"16:00, 17 December 2024",Seymour Edits,False,deletion,active,,-3,(htoc)
33005805,"15:59, 17 December 2024",Seymour Edits,False,deletion,active,,-65,"(expert content, language, htoc)"
33005795,"15:46, 17 December 2024",Seymour Edits,False,deletion,active,,-10,(titles/KWs)
33004546,"00:32, 17 December 2024",Seymour Edits,False,addition,active,,332,(Updated green box.)
33004545,"00:30, 17 December 2024",Seymour Edits,False,deletion,active,,-35,(Adding the article id)
33004544,"00:30, 17 December 2024",Seymour Edits,False,major_addition,active,,2954,(revisions)
33004276,"20:40, 16 December 2024",Seymour Edits,False,deletion,active,,-60,(Adding the article id)
33004275,"20:40, 16 December 2024",Seymour Edits,False,sourcing,active,,4528,"(partial edit: reorganized existing info and added new sections to better match SERPs, added and replaced references, added internal and affiliate links, added TT, H1, subtitle, and TYSK)"
32878038,"13:24, 22 October 2024",Seymour Edits,False,sourcing,active,,-47,(Added/replaced sources for the wikihouse team)
32823238,"20:53, 30 September 2024",Wikiphoto,False,addition,active,,26,(Updating Reader Video Section)
