Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33227976,"21:09, 10 March 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
32857195,"13:51, 14 October 2024",WikiHow Projects,False,deletion,active,,-219,(removing broken link)
31104159,"16:24, 24 November 2022",Seymour Edits,False,sourcing,active,,-81,(Updated reference links)
30567275,"15:01, 23 May 2022",Seymour Edits,False,addition,active,,84,"(Adding subtitle, wikiHaus test please do not remove)"
28058354,"09:26, 1 May 2020",Votebot,False,addition,active,,6,(reordering tips and warnings based on votes)
27038964,"05:00, 6 September 2019",ExoticComet,False,deletion,active,,-54,(improving apostrophe consistency)
26297470,"02:51, 29 March 2019",MiscBot,False,sourcing,active,,-9,(Updating References section name to match new sitewide conventions)
26138524,"17:46, 7 March 2019",Wikivisual,False,addition,active,,10,(Saving new step-by-step photos)
26124864,"21:01, 4 March 2019",Wikivisual,False,addition,active,,276,(Saving new step-by-step photos)
26030903,"01:21, 14 February 2019",Seymour Edits,False,major_addition,active,,1998,(Added clarifying info throughout; added new step on applying interfacing; intro)
26009919,"03:02, 10 February 2019",Seymour Edits,False,major_deletion,active,,-1344,(Expanded on previously written steps.)
25400568,"15:49, 11 October 2018",Seymour Edits,False,addition,active,,135,(Added the Summary template to this article)
22466966,"08:47, 22 May 2017",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
22265125,"08:49, 21 April 2017",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
21300003,"08:37, 8 November 2016",Flickety,False,addition,active,,12,(Switch to appropriate category)
19385944,"00:18, 12 January 2016",RelatedWikihowsBot,False,deletion,active,,-111,(Removing redundant wikitext from Related wikiHows section)
18459128,"09:02, 18 September 2015",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
18097445,"08:57, 29 July 2015",MiscBot,False,addition,active,,10,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17965711,"19:13, 27 July 2015",InterwikiBot,False,deletion,active,,-23,"(Removing interwiki links, no longer needed in wikitext)"
17875525,"22:12, 21 July 2015",MiscBot,False,cleanup,active,,-1,(Correcting spelling and/or grammar.)
13806476,"22:43, 2 June 2014",Anna,False,revert,active,,-174,(Reverted edits by Tuesday197897 (Talk); changed back to last version by Votebot)
13806226,"22:23, 2 June 2014",Tuesday197897,False,addition,reverted,Anna,87,
13806221,"22:23, 2 June 2014",Tuesday197897,False,addition,reverted,Anna,87,
13663189,"17:53, 20 May 2014",Votebot,False,adjustment,reverted,Anna,0,(reordering tips and warnings based on votes)
12071139,"16:25, 11 December 2013",Jakesoup,False,addition,active,,95,
12071132,"16:24, 11 December 2013",Jakesoup,False,addition,active,,134,
12071127,"16:23, 11 December 2013",Jakesoup,False,major_addition,active,,2394,
11535442,"22:18, 24 October 2013",Votebot,False,addition,reverted,Anna,4,(reordering tips and warnings based on votes)
11057334,"16:20, 9 September 2013",Votebot,False,adjustment,reverted,Anna,0,(reordering tips and warnings based on votes)
10853630,"16:40, 19 August 2013",Votebot,False,deletion,reverted,Anna,-1,(reordering tips and warnings based on votes)
10672518,"15:59, 4 August 2013",Votebot,False,addition,reverted,Anna,1,(reordering tips and warnings based on votes)
8855366,"23:04, 11 December 2012",LargeImageBot,False,deletion,active,,-185,(Resized images to the {{largeimage}} size.)
4496288,"02:14, 16 April 2010",Dvortygirl,False,addition,active,,236,(related)
3943447,"06:32, 24 October 2009",Dvortygirl,False,addition,active,,4,(break up sub-step)
2498215,"16:17, 2 September 2008",MartynP,False,revert,active,,535,(Reverted edits by Buttwipe (Talk); changed back to last version by Busbyhead)
2498214,"16:17, 2 September 2008",Buttwipe,False,revert,reverted,MartynP,-535,(Reverted edits by Busbyhead (Talk); changed back to last version by Buttwipe)
2498211,"16:16, 2 September 2008",MartynP,False,revert,active,,535,(Reverted edits by Buttwipe (Talk); changed back to last version by Tderouin)
2498209,"16:16, 2 September 2008",Buttwipe,False,major_deletion,reverted,MartynP,-535,
1572722,"18:58, 16 January 2008",Tderouin,False,addition,reverted,MartynP,6,(adding FA tag)
1410067,"01:01, 3 December 2007",66.189.66.244,False,deletion,active,,-34,(removed dangling clause.)
1407947,"12:14, 2 December 2007",66.214.187.229,False,deletion,active,,-1,
1406992,"03:00, 2 December 2007",67.149.180.130,False,addition,active,,84,(Installation lubrication and deburring.)
1406959,"02:54, 2 December 2007",67.149.180.130,False,addition,active,,8,(Installation lubrication and deburring.)
1406941,"02:47, 2 December 2007",67.149.180.130,False,addition,active,,289,(Installing lubrication and deburing.)
1406071,"22:41, 1 December 2007",Bobells,False,addition,active,,421,(→‎Tips)
1405741,"20:40, 1 December 2007",Dvortygirl,False,addition,active,,4,"(→‎Warnings:  separate bullet, separate topic)"
1405729,"20:38, 1 December 2007",68.33.250.112,False,addition,active,,296,(→‎Warnings)
1403980,"04:45, 1 December 2007",Mindwin,False,addition,active,,24,(+IW_PT)
1397398,"02:43, 29 November 2007",Elocina,False,addition,active,,136,(weaving the web of links)
1312915,"19:56, 4 November 2007",Krystle,False,cleanup,active,,107,(formatting)
1307404,"04:14, 3 November 2007",Dvortygirl,False,addition,active,,138,(note on metal grommets)
1307335,"03:59, 3 November 2007",Dvortygirl,False,major_addition,active,,3788,(create article)
