Continuum,Category,Query,Google Title,Real WikiHow Title,URL,Rejection_Reason
domestic,baby_care,site:wikihow.com Category:Baby Care,How to Care for Your Baby Budgie: Parakeet Care Guide,How to Feed and Raise a Baby Budgie,https://www.wikihow.com/Care-for-Your-Baby-Budgie,Animal Leak
domestic,baby_care,site:wikihow.com Category:Baby Care,How to Care for Newborn Rabbits,How to Take Care of Newborn Rabbits from Birth through Weaning,https://www.wikihow.com/Care-for-Newborn-Rabbits,Animal Leak
domestic,baby_care,site:wikihow.com Category:Baby Care,How to Care for Baby Goats: 15 Steps (with Pictures),How to Care for Baby Goats,https://www.wikihow.com/Care-for-Baby-Goats,Animal Leak
domestic,baby_care,site:wikihow.com Category:Baby Care,How to Feed a Baby Bird: What Do They Eat?,How to Hand-Feed Baby Birds (And What to Feed Them),https://www.wikihow.com/Feed-a-Baby-Bird,Animal Leak
domestic,baby_care,site:wikihow.com Category:Baby Care,How to Care for Newborn Kittens: 13 Steps (with Pictures),How to Care for Newborn Kittens,https://www.wikihow.com/Care-for-Newborn-Kittens,Animal Leak
domestic,baby_care,site:wikihow.com Category:Baby Care,How to Raise a Baby Squirrel (with Pictures),How to Raise a Baby Squirrel,https://www.wikihow.com/Raise-a-Baby-Squirrel,Animal Leak
domestic,baby_care,site:wikihow.com Category:Baby Care,Newborn Puppies - how to articles from wikiHow,Newborn Puppies,https://www.wikihow.com/Category:Newborn-Puppies,Animal Leak
domestic,baby_care,site:wikihow.com Category:Baby Care,Easy Ways to Feed a Baby Pigeon: 12 Steps (with Pictures),How to Feed a Baby Pigeon,https://www.wikihow.com/Feed-a-Baby-Pigeon,Animal Leak
domestic,baby_care,site:wikihow.com Category:Baby Care,How to Take Care of a Baby Tortoise: 13 Steps (with Pictures),How to Take Care of a Baby Tortoise,https://www.wikihow.com/Take-Care-of-a-Baby-Tortoise,Animal Leak
domestic,baby_care,site:wikihow.com Category:Baby Care,How to Feed Baby birds: What they can & Can't Eat,How to Make Emergency Baby Bird Food: What Can They Eat?,https://www.wikihow.com/Make-Emergency-Baby-Bird-Food,Animal Leak
