Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33353746,"09:06, 27 April 2025",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
33323828,"14:38, 16 April 2025",WikiHow International PM,False,addition,active,,280,
33323827,"14:37, 16 April 2025",WikiHow International PM,False,deletion,active,,-280,
33323826,"14:35, 16 April 2025",WikiHow International PM,False,addition,active,,41,(the incorrect format duplicated the tips)
32934324,"04:52, 16 November 2024",Seymour Edits,False,sourcing,active,,-15,(Updated sources for the wikiHAus content team.)
32880311,"08:51, 23 October 2024",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
32426128,"08:46, 10 April 2024",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
32367401,"11:53, 16 March 2024",WikiHow Projects,False,addition,active,,65,(Adding video via Video Adder tool)
31169533,"20:07, 14 December 2022",Seymour Edits,False,addition,active,,43,(adding expert citations)
30974432,"02:00, 14 October 2022",Seymour Edits,False,sourcing,active,,326,(Added and replaced sources for the wikiHaus content team.)
29621625,"10:01, 3 June 2021",RelatedWikihowsBot,False,deletion,active,,-33,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
27858183,"16:12, 15 March 2020",Eric,False,revert,active,,-73,(Reverted edits by Aliraza (Talk); changed back to last version by Votebot)
27858182,"16:06, 15 March 2020",Aliraza,False,addition,reverted,Eric,73,
26457552,"09:18, 24 April 2019",Votebot,False,deletion,reverted,Eric,-1,(reordering tips and warnings based on votes)
26362938,"09:53, 1 April 2019",Seymour Edits,False,sourcing,active,,298,(Added sources for the wikihaus content team.)
26260811,"00:04, 29 March 2019",MiscBot,False,sourcing,active,,-9,(Updating References section name to match new sitewide conventions)
24736125,"18:33, 11 June 2018",Seymour Edits,False,addition,active,,159,(Added the Summary template to this article)
21831671,"16:59, 9 February 2017",Cookiemonster180,False,addition,active,,473,(New tip approved in Tips Patrol)
20967206,"00:14, 16 September 2016",Wikiphoto,False,revert,active,,44,(Reverted edits by Wikivisual (Talk); changed back to last version by Atheia)
