Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33441377,"02:37, 1 June 2025",Seymour Edits,False,sourcing,active,,106,(Added and replaced sources for the wikiHaus content team.)
33227631,"21:04, 10 March 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
32383819,"21:04, 22 March 2024",WikiHow Projects,False,addition,active,,52,(Adding internal links)
32126471,"15:23, 9 December 2023",WikiHow Horizon,False,deletion,active,,-75,(Removing broken link/s)
32075706,"14:07, 16 November 2023",Taboo,False,addition,active,,37,(Adding video via video picker tool)
31871221,"10:38, 18 August 2023",WikiHow Projects,False,deletion,active,,-78,(removing broken link)
31871218,"10:38, 18 August 2023",WikiHow Projects,False,deletion,active,,-49,(updating links)
31681402,"17:56, 3 June 2023",Wikivisual,False,addition,active,,40,(Saving new step-by-step photos)
31118090,"14:31, 29 November 2022",WikiHow Projects,False,deletion,active,,-66,(removing broken link)
31118087,"14:29, 29 November 2022",WikiHow Projects,False,deletion,active,,-94,(removing broken link)
30885792,"23:36, 17 September 2022",WikiHow Projects,False,addition,active,,1,(updating link)
30702828,"09:07, 17 July 2022",Votebot,False,addition,active,,2,(reordering tips and warnings based on votes)
29885492,"18:27, 14 September 2021",Seymour Edits,False,addition,active,,129,(Added expert citations.)
29618797,"14:38, 2 June 2021",WikiHow Projects,False,deletion,active,,-74,(removing broken link)
28684951,"00:07, 2 October 2020",WikiHow Projects,False,deletion,active,,-90,(updating link)
27698295,"14:15, 7 February 2020",FlowerPower555,False,revert,active,,4,(RCP reverted edits by 24.149.127.120 (talk) to  revision #26349533 by MiscBot)
27698256,"13:53, 7 February 2020",24.149.127.120,False,deletion,reverted,FlowerPower555,-4,
26349533,"08:05, 29 March 2019",MiscBot,False,sourcing,reverted,FlowerPower555,-11,(Updating References section name to match new sitewide conventions)
25690818,"08:12, 3 December 2018",Aiosis,False,revert,active,,12110,(Reverted edits by 194.89.228.100 (Talk); changed back to last version by Seymour Edits)
25690550,"06:39, 3 December 2018",194.89.228.100,False,major_deletion,reverted,Aiosis,-12110,(Replacing page with 'jizz')
25654057,"16:13, 26 November 2018",Seymour Edits,False,addition,reverted,Aiosis,131,(Added the Summary template to this article)
23879511,"05:58, 18 January 2018",WikiHow Intern,False,deletion,active,,-19,(Change to appropriate sub-category)
22605011,"15:25, 12 June 2017",Wikivisual,False,addition,active,,423,(Saving new step-by-step photos)
21645027,"21:02, 10 January 2017",Todd Royce,False,major_deletion,active,,-2026,(removed videos -- please do not restore)
20125531,"23:04, 29 April 2016",Wikiphoto,False,deletion,active,,-286,(Filling images)
20123569,"17:07, 29 April 2016",Wikiphoto,False,addition,active,,115,(Video added via Video Embed Helper Tool)
20117884,"20:58, 28 April 2016",Wikivisual,False,major_addition,active,,2197,(Saving new step-by-step photos)
18933220,"19:56, 25 November 2015",Seymour Edits,False,addition,reverted,Aiosis,59,(minor wording change)
18930552,"13:34, 25 November 2015",Grahamster,False,revert,active,,-12,(RCP reverted edits by 82.0.195.241 (talk) to  revision #18918129 by Seymour Edits)
18930438,"13:02, 25 November 2015",82.0.195.241,False,addition,reverted,Grahamster,12,
18918129,"16:37, 23 November 2015",Seymour Edits,False,sourcing,reverted,Aiosis,8180,"(added methods, steps, sources)"
18054934,"19:26, 28 July 2015",MiscBot,False,deletion,reverted,FlowerPower555,-154,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
16611663,"02:27, 10 February 2015",Chris H,False,deletion,active,,-51,"(remove nfd, titles not synonymous)"
16591559,"11:42, 7 February 2015",Bobbyfrank,False,addition,active,,51,
16590588,"06:13, 7 February 2015",Savas_P,False,revert,active,,-82,(RCP reverted edits by 101.112.13.185 (talk) to  revision #12543171 by Wikiphoto)
16590475,"05:23, 7 February 2015",101.112.13.185,False,addition,reverted,Savas_P,82,
12543171,"05:56, 30 January 2014",Wikiphoto,False,addition,reverted,Savas_P,100,(Enlarging and centering Steps photos)
12543170,"05:56, 30 January 2014",Wikiphoto,False,addition,reverted,Savas_P,438,(Saving new step-by-step photos)
10541933,"16:18, 22 July 2013",Jordan,False,revert,active,,-25,(Reverted edits by 74.15.163.237 (Talk); changed back to last version by Miyona)
10541614,"16:11, 22 July 2013",74.15.163.237,False,addition,reverted,Jordan,25,
9354458,"20:07, 6 March 2013",Miyona,False,addition,reverted,Jordan,60,(Edit via Image Picker: Added an image)
8391357,"23:51, 6 September 2012",BR,False,revert,active,,-47,(Reverted edits by Nalinii (Talk); changed back to last version by BR)
8389360,"16:49, 6 September 2012",Nalinii,False,addition,reverted,BR,47,(Edit via Image Picker: Added an image)
8376180,"21:40, 3 September 2012",BR,False,revert,reverted,BR,-51,(Reverted edits by Genius_knight (Talk); changed back to last version by Harri)
8376170,"21:39, 3 September 2012",Genius_knight,False,addition,reverted,BR,51,(Edit via Image Picker: Added an image)
6595631,"17:47, 5 September 2011",Harri,False,addition,reverted,BR,42,(categorization)
5976628,"17:00, 7 May 2011",WRM,False,major_addition,active,,2854,(Creating new article)
