Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33487230,"18:23, 14 June 2025",ChocoCat1122,False,addition,active,,18,(adding HTOC)
33428499,"09:13, 27 May 2025",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
29815054,"15:43, 17 August 2021",Seymour Edits,False,addition,active,,41,(Added expert ref)
26604548,"11:19, 27 May 2019",WikiHowUser20220204205835,False,revert,active,,316,(Reverted edits by Lighters893 (Talk); changed back to last version by Seymour Edits)
26604432,"10:55, 27 May 2019",Lighters893,False,revert,reverted,WikiHowUser20220204205835,-316,(Reverted edits by Seymour Edits (Talk); changed back to last version by MiscBot)
26546220,"19:51, 13 May 2019",Seymour Edits,False,sourcing,reverted,WikiHowUser20220204205835,316,(Added sources for the wikihaus content team.)
26349524,"08:05, 29 March 2019",MiscBot,False,sourcing,reverted,Lighters893,-11,(Updating References section name to match new sitewide conventions)
25973448,"12:49, 2 February 2019",Seymour Edits,False,addition,reverted,WikiHowUser20220204205835,138,(Added the Summary template to this article)
25509916,"09:18, 30 October 2018",Votebot,False,deletion,active,,-1,(reordering tips and warnings based on votes)
25486105,"21:31, 25 October 2018",Anna,False,addition,active,,11,(bit of format tweaking to reduce number of parts - does this work?)
25485204,"17:47, 25 October 2018",Upnorth Here,False,addition,active,,243,"(wikihow link to 3-way wiring article, clarify other wiring options)"
25483660,"14:23, 25 October 2018",Upnorth Here,False,cleanup,active,,2444,"(clean up grammar and add a few more safety details, tie-in video differences)"
25481630,"07:49, 25 October 2018",Upnorth Here,False,major_addition,active,,6313,(rewrite for better safety and hopefully clarity of which wire does what)
21422795,"07:48, 30 November 2016",WikiHow Projects,False,deletion,active,,-80,(removing broken link)
21299909,"07:57, 8 November 2016",Flickety,False,addition,active,,7,(Switch to appropriate category)
20010208,"08:46, 13 April 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
19809790,"09:41, 13 March 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
18088655,"04:57, 29 July 2015",MiscBot,False,deletion,reverted,Lighters893,-238,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17954161,"18:27, 27 July 2015",InterwikiBot,False,deletion,active,,-88,"(Removing interwiki links, no longer needed in wikitext)"
17777080,"13:52, 9 July 2015",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
17555023,"13:43, 8 June 2015",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
16292544,"14:53, 4 January 2015",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
15997222,"14:52, 26 November 2014",InterwikiBot,False,addition,active,,46,(Adding interwiki link)
15847751,"14:34, 9 November 2014",InterwikiBot,False,addition,active,,42,(Adding interwiki link)
15791463,"15:02, 3 November 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
15196665,"18:45, 27 August 2014",Wikivisual,False,addition,active,,133,(Enlarging and centering Steps photos)
15196664,"18:45, 27 August 2014",Wikivisual,False,major_addition,active,,892,(Saving new step-by-step photos)
14410152,"18:45, 1 August 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
13785874,"17:28, 31 May 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
13468644,"17:33, 30 April 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
13126776,"16:22, 30 March 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
12839598,"19:38, 27 February 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
12519811,"19:30, 27 January 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
12375933,"19:53, 12 January 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
11476239,"01:42, 21 October 2013",EpcotMagic,False,addition,active,,44,(Adding video via video picker tool)
11403011,"16:03, 14 October 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
11257946,"15:43, 29 September 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
10821306,"17:20, 15 August 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
10637632,"17:12, 31 July 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
10491057,"16:48, 16 July 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
9777640,"15:50, 2 May 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
8767031,"18:40, 23 November 2012",Isorhythmic,False,revert,active,,-53,(Reverted edits by Swimmer13 (Talk); changed back to last version by BR)
8766908,"18:15, 23 November 2012",Swimmer13,False,addition,reverted,Isorhythmic,53,(Edit via Image Picker: Added an image)
8762859,"13:49, 22 November 2012",BR,False,revert,reverted,Isorhythmic,-102,(Reverted edits by Frankistor (Talk); changed back to last version by Byankno1)
8761971,"08:45, 22 November 2012",Frankistor,False,addition,reverted,BR,102,(Edit via Image Picker: Added an image)
6686170,"04:39, 29 September 2011",EpcotMagic,False,addition,active,,44,(categorization)
6135342,"15:00, 4 June 2011",WRM,False,major_addition,active,,4916,(Creating new article)
