Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34086972,"17:38, 19 February 2026",MiscBot,False,deletion,active,,-69,(Removing Related Articles section)
34070913,"00:18, 19 February 2026",MiscBot,False,revert,active,,71,(Reverting the Related Articles section removal)
34055063,"17:01, 18 February 2026",MiscBot,False,deletion,active,,-71,(Removing Related Articles section)
30625296,"21:54, 14 June 2022",Iris8989,False,revert,active,,-39,(RCP reverted edits by 192.139.27.23 (talk) to  revision #30115210 by Oscarwang)
30625257,"21:30, 14 June 2022",192.139.27.23,False,addition,reverted,Iris8989,39,
30115210,"19:48, 5 December 2021",Oscarwang,False,addition,reverted,Iris8989,1,(I have made the beginning more clear)
29543861,"18:44, 12 May 2021",TheCreativeLime,False,revert,active,,19,(RCP reverted edits by 174.76.113.60 (talk) to  revision #29516142 by RelatedWikihowsBot)
29543654,"17:37, 12 May 2021",174.76.113.60,False,deletion,reverted,TheCreativeLime,-19,
29516142,"10:08, 6 May 2021",RelatedWikihowsBot,False,deletion,reverted,TheCreativeLime,-29,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
29390011,"23:51, 28 March 2021",WikiHow Projects,False,deletion,active,,-221,(removing broken link)
28771968,"04:48, 22 October 2020",Snowflakeiesta,False,revert,active,,497,(RCP reverted edits by 67.226.223.141 (talk) to  revision #28470195 by Wikivisual)
28771966,"04:45, 22 October 2020",67.226.223.141,False,deletion,reverted,Snowflakeiesta,-497,
28470195,"10:36, 10 August 2020",Wikivisual,False,major_addition,reverted,Snowflakeiesta,1319,(Saving new step-by-step photos)
27913624,"20:23, 28 March 2020",Custard 008,False,addition,active,,42,(Adding video via video picker tool)
27227755,"14:41, 17 October 2019",WikiHowUser20220204205835,False,revert,active,,16068,(RCP reverted edits by 204.128.127.34 (talk) to  revision #27187629 by Votebot)
27227727,"14:34, 17 October 2019",204.128.127.34,False,major_deletion,reverted,WikiHowUser20220204205835,-16068,(Replacing page with '666 momo')
27187629,"09:55, 8 October 2019",Votebot,False,deletion,reverted,WikiHowUser20220204205835,-1,(reordering tips and warnings based on votes)
26620160,"09:16, 30 May 2019",Votebot,False,adjustment,reverted,WikiHowUser20220204205835,0,(reordering tips and warnings based on votes)
26503145,"19:07, 3 May 2019",Seymour Edits,False,major_addition,active,,2964,"(added tips and warnings, added step, revised some information)"
26500163,"22:35, 2 May 2019",Seymour Edits,False,sourcing,active,,-1408,"(updated for safety concerns, added new sources)"
26498754,"16:52, 2 May 2019",Chris H,False,addition,active,,28,(accuracy)
26309160,"04:05, 29 March 2019",MiscBot,False,sourcing,active,,-9,(Updating References section name to match new sitewide conventions)
