Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33467336,"04:00, 6 June 2025",MiscBot,False,deletion,active,,-174,(Automatic external link checking: updating and/or deleting links that are broken)
33462773,"00:43, 6 June 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
31112967,"09:33, 28 November 2022",Ranadil,False,addition,active,,61,(Adding video via video picker tool)
31110447,"14:28, 27 November 2022",WikiHow Projects,False,addition,active,,3,(updating link)
31110444,"14:26, 27 November 2022",WikiHow Projects,False,deletion,active,,-86,(removing broken link)
29956430,"19:04, 7 October 2021",111.119.187.52,False,addition,active,,2,
28773303,"12:23, 22 October 2020",WikiHow Projects,False,deletion,active,,-74,(removing broken link)
26405271,"23:06, 10 April 2019",Seymour Edits,False,addition,active,,155,(Added the Summary template to this article)
26298722,"02:57, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
23499914,"18:50, 3 November 2017",WikiHow Expert Review,False,addition,active,,39,(→‎Tips)
23499912,"18:49, 3 November 2017",WikiHow Expert Review,False,deletion,active,,-412,(Incorporated expert feedback)
23266665,"00:06, 25 September 2017",Flickety,False,addition,active,,23,(Change to appropriate sub-category)
22630913,"11:21, 16 June 2017",Wikivisual,False,major_addition,active,,512,(Saving new step-by-step photos)
22262317,"18:54, 20 April 2017",Or Gozal,False,cleanup,active,,-8,(typos)
22258239,"02:59, 20 April 2017",WRM,False,major_addition,active,,4599,(Wrote article)
