Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33446261,"09:05, 3 June 2025",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
33021035,"14:35, 24 December 2024",WikiHow Projects,False,addition,active,,44,(Adding video via Video Adder tool)
30806494,"09:07, 23 August 2022",Votebot,False,addition,active,,2,(reordering tips and warnings based on votes)
30572099,"06:44, 25 May 2022",Seymour Edits,False,addition,active,,90,"(Adding subtitle, wikiHaus test please do not remove)"
30450522,"23:23, 7 April 2022",JayneG,False,revert,active,,-91,(Reverted edits by Dora zhang (Talk); changed back to last version by Wikivisual)
30448535,"08:05, 7 April 2022",Dora zhang,False,addition,reverted,JayneG,91,
27994843,"12:00, 16 April 2020",Wikivisual,False,addition,reverted,JayneG,10,(Saving new step-by-step photos)
27976379,"15:21, 12 April 2020",Wikivisual,False,major_addition,reverted,JayneG,711,(Saving new step-by-step photos)
27904184,"15:19, 26 March 2020",Seymour Edits,False,sourcing,active,,1087,"(Expanded into more steps, revised step titles, wrap, intro, and substeps. Replaced sources. Edited M1 title. Added details.)"
27898147,"03:35, 25 March 2020",Carolyn Barratt,False,addition,active,,16,
27895927,"19:09, 24 March 2020",WRM,False,major_addition,active,,9252,(Created new article.)
