Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34091117,"18:33, 19 February 2026",MiscBot,False,deletion,active,,-145,(Removing Related Articles section)
34075241,"01:21, 19 February 2026",MiscBot,False,revert,active,,147,(Reverting the Related Articles section removal)
34059302,"18:08, 18 February 2026",MiscBot,False,deletion,active,,-147,(Removing Related Articles section)
32732988,"00:11, 22 August 2024",Seymour Edits,False,sourcing,active,,384,(Replaced bad references for wikiHaus content team)
32696918,"01:00, 5 August 2024",WikiHow Projects,False,addition,active,,58,(Adding video via Video Adder tool)
30246408,"20:01, 27 January 2022",Wikivisual,False,major_addition,active,,1031,(Saving new step-by-step photos)
30225861,"14:16, 21 January 2022",Seymour Edits,False,addition,active,,211,(Tweaked and clarified language)
30220773,"20:23, 20 January 2022",Seymour Edits,False,major_addition,active,,1565,(Updated organization; clarified language; added step)
30214906,"20:30, 18 January 2022",Seymour Edits,False,deletion,active,,-61,(Removed irrelevant picture)
30214904,"20:29, 18 January 2022",Seymour Edits,False,major_addition,active,,1123,(Converted to Parts; added clarifying steps to flesh out article)
29837018,"05:41, 26 August 2021",Wikivisual,False,addition,active,,213,(Saving new step-by-step photos)
29832523,"00:35, 25 August 2021",Vanna Tran,False,deletion,active,,-13,
29831940,"18:51, 24 August 2021",Kyle Hall,False,adjustment,active,,0,(reordered methods)
29692239,"23:23, 28 June 2021",MiscBot,False,addition,active,,9,(Adding magic word for staff experiment)
29645751,"02:58, 11 June 2021",Kyle Hall,False,adjustment,active,,0,(reordered questions)
29327296,"19:01, 13 March 2021",Wikivisual,False,addition,active,,416,(Saving new step-by-step photos)
29278373,"15:58, 1 March 2021",Seymour Edits,False,sourcing,active,,852,(revised clunky text; added info; clarified info; replaced sources)
29268496,"10:22, 26 February 2021",Seymour Edits,False,major_deletion,active,,-6199,(rewrote article; wasn't able to use any images from original)
29231976,"00:19, 19 February 2021",WikiHow Expert Review,False,addition,active,,42,(Integrated NCA citations)
28710932,"09:45, 8 October 2020",RelatedWikihowsBot,False,deletion,active,,-58,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
26604987,"12:44, 27 May 2019",R2_d2000,False,revert,active,,441,(Reverted edits by Lighters893 (Talk); changed back to last version by Seymour Edits)
26604393,"10:55, 27 May 2019",Lighters893,False,revert,reverted,R2_d2000,-441,(Reverted edits by Seymour Edits (Talk); changed back to last version by Votebot)
26551507,"01:19, 15 May 2019",Seymour Edits,False,sourcing,reverted,R2_d2000,441,(Added sources and a reflist for the wikihaus content team)
22992967,"08:47, 8 August 2017",Votebot,False,adjustment,reverted,Lighters893,0,(reordering tips and warnings based on votes)
22773494,"08:44, 3 July 2017",Votebot,False,adjustment,reverted,Lighters893,0,(reordering tips and warnings based on votes)
22704372,"22:36, 26 June 2017",RelatedWikihowsBot,False,deletion,active,,-43,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
22542518,"08:47, 2 June 2017",Votebot,False,adjustment,reverted,Lighters893,0,(reordering tips and warnings based on votes)
22156456,"08:42, 1 April 2017",Votebot,False,adjustment,reverted,Lighters893,0,(reordering tips and warnings based on votes)
19399117,"03:45, 12 January 2016",RelatedWikihowsBot,False,deletion,active,,-231,(Removing redundant wikitext from Related wikiHows section)
19218475,"23:35, 5 January 2016",RedirectsBot,False,addition,active,,3,(Updating link to point directly to article instead of redirect)
18108075,"14:34, 29 July 2015",MiscBot,False,deletion,active,,-406,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
