Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34180775,"12:04, 8 April 2026",Tiagoroth,False,revert,active,,4,(RCP reverted edits by Grace621 (talk) to  revision #33835136 by WikiHow Projects)
34180729,"11:32, 8 April 2026",Grace621,False,deletion,reverted,Tiagoroth,-4,
33835136,"18:27, 16 November 2025",WikiHow Projects,False,addition,reverted,Tiagoroth,162,(Adding internal link/s)
33775163,"00:06, 24 October 2025",Thomas_Ch,False,deletion,active,,-38,(removed expert mention)
33661753,"11:43, 6 September 2025",Bhoimus,False,adjustment,active,,0,(replaced: FitBit → Fitbit)
33653195,"20:56, 2 September 2025",Tiagoroth,False,revert,active,,-362,(RCP reverted edits by Ban me and a baby gets môlested (talk) to  revision #33607298 by ICanGuessItLol)
33653042,"19:09, 2 September 2025",WHuser02092502,False,addition,active,,362,(my testicles are going back and forth and back and forth and back and forth and back and forth)
33607298,"02:01, 11 August 2025",ICanGuessItLol,False,revert,reverted,Tiagoroth,-41,(Reverted edits by 192.75.244.21 (Talk); changed back to last version by 99.53.74.160)
33607296,"02:00, 11 August 2025",192.75.244.21,False,addition,reverted,ICanGuessItLol,41,
33585758,"21:33, 30 July 2025",99.53.74.160,False,major_addition,reverted,ICanGuessItLol,1169,(A few details)
33438936,"13:17, 30 May 2025",Seymour Edits,False,addition,active,,5,
33410512,"14:07, 19 May 2025",Seymour Edits,False,addition,active,,142,
33384789,"21:38, 8 May 2025",Seymour Edits,False,addition,active,,348,(Added expert TYSK.)
33253558,"13:00, 19 March 2025",MiscBot,False,deletion,active,,-13,(Automatic external link checking: updating and/or deleting links that are broken)
33194269,"18:52, 27 February 2025",Seymour Edits,False,addition,active,,227,(Added a forum link.)
33151248,"09:56, 15 February 2025",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
32850023,"08:55, 11 October 2024",Votebot,False,deletion,active,,-3,(reordering tips and warnings based on votes)
32840950,"23:37, 7 October 2024",ChristinaE,False,major_addition,active,,535,
32618134,"08:56, 1 July 2024",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
32601366,"17:12, 24 June 2024",MiscBot,False,adjustment,active,,0,(Convert Reader Videos to new template)
