Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33575135,"21:03, 25 July 2025",MiscBot,False,addition,active,,4,(Automatic external link checking: updating and/or deleting links that are broken)
33575045,"20:03, 25 July 2025",MiscBot,False,deletion,active,,-219,(Automatic external link checking: updating and/or deleting links that are broken)
29801595,"17:31, 11 August 2021",Wikivisual,False,addition,active,,198,(Saving new step-by-step photos)
28458285,"12:47, 6 August 2020",WikiHow Projects,False,deletion,active,,-133,(removing broken link)
26285335,"01:56, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
24331694,"09:32, 5 April 2018",RubyRoseRain,False,cleanup,active,,1,(Fixing misspellings via the Spellchecker tool)
24328910,"18:51, 4 April 2018",Jyoti94,False,cleanup,active,,-1,(Fixing misspellings via the Spellchecker tool)
24321075,"08:56, 3 April 2018",HOW to Raz\'zi,False,cleanup,active,,1,(Fixing misspellings via the Spellchecker tool)
24317186,"17:16, 2 April 2018",WikiHow Expert Review,False,major_addition,active,,1433,(incorporated expert feedback)
24039716,"10:31, 15 February 2018",Relay lowe,False,cleanup,active,,1,(Fixing misspellings via the Spellchecker tool)
24036812,"23:09, 14 February 2018",WikiHow Intern,False,deletion,active,,-6,(Change to appropriate sub-category)
23893671,"09:35, 20 January 2018",Clint Anumudu,False,cleanup,active,,1,(Fixing misspellings via the Spellchecker tool)
23888977,"12:53, 19 January 2018",SprigsofIdeas,False,cleanup,active,,3,(Fixing misspellings via the Spellchecker tool)
23886827,"00:18, 19 January 2018",WikiHow Intern,False,addition,active,,23,(Change to appropriate sub-categories)
22431466,"18:58, 16 May 2017",Wikivisual,False,addition,active,,481,(Saving new step-by-step photos)
22100029,"16:31, 23 March 2017",SarahB,False,revert,active,,-1,(RCP reverted edits by Wackg (talk) to  revision #22096232 by Seymour Edits)
22099616,"15:53, 23 March 2017",Wackg,False,cleanup,reverted,SarahB,1,(Fixing misspellings via the Spellchecker tool)
22096232,"00:04, 23 March 2017",Seymour Edits,False,addition,reverted,SarahB,27,"(Shortened and simplified language throughout; provided metric equivalents where applicable; defined meaning of acronym in 1.2.3; offered more concrete details in 2.2, 2.3.2 and throughout)"
22076274,"09:17, 20 March 2017",Minecraft.34,False,cleanup,active,,1,(Fixing misspellings via the Spellchecker tool)
22070905,"11:28, 19 March 2017",184.6.230.118,False,addition,active,,89,
22059084,"02:02, 17 March 2017",Dannypark,False,addition,active,,43,(categorization)
22058577,"23:43, 16 March 2017",WRM,False,sourcing,active,,9091,(Created article; detailed the basics of building basement fireproofing structures; referred to updated home building codes and standards; included section on additional fire safety measures; described function of various materials; cited sources)
