Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34134873,"09:06, 11 March 2026",Votebot,False,deletion,active,,-2,(reordering tips and warnings based on votes)
34094391,"19:16, 19 February 2026",MiscBot,False,deletion,active,,-152,(Removing Related Articles section)
34078678,"02:13, 19 February 2026",MiscBot,False,revert,active,,154,(Reverting the Related Articles section removal)
34062796,"19:01, 18 February 2026",MiscBot,False,deletion,active,,-154,(Removing Related Articles section)
33806503,"19:04, 2 November 2025",EpcotMagic,False,revert,active,,-25,(RCP reverted edits by 76.145.147.226 (talk) to  revision #33599220 by Seymour Edits)
33806468,"18:46, 2 November 2025",76.145.147.226,False,addition,reverted,EpcotMagic,25,
33599220,"16:11, 6 August 2025",Seymour Edits,False,addition,reverted,EpcotMagic,14,(tweaked tysk alt text)
33553788,"23:50, 15 July 2025",Seymour Edits,False,addition,reverted,EpcotMagic,93,(added alt text test)
33445434,"23:15, 2 June 2025",138.44.193.142,False,deletion,active,,-1,
33445431,"23:12, 2 June 2025",138.44.193.142,False,addition,active,,1,
33396212,"17:28, 13 May 2025",Seymour Edits,False,deletion,reverted,EpcotMagic,-5,(tysk update)
33212959,"17:36, 6 March 2025",Seymour Edits,False,deletion,reverted,EpcotMagic,-9,(adapted TYSK)
33212940,"17:28, 6 March 2025",Wikiphoto,False,addition,active,,39,(adding summary image)
33147839,"17:42, 13 February 2025",Seymour Edits,False,addition,reverted,EpcotMagic,19,(added TYSK template)
33132114,"00:44, 8 February 2025",Seymour Edits,False,addition,reverted,EpcotMagic,488,(added tysk)
33048042,"20:17, 6 January 2025",Seymour Edits,False,adjustment,reverted,EpcotMagic,0,(capitalized one word)
33048041,"20:16, 6 January 2025",Seymour Edits,False,addition,reverted,EpcotMagic,152,(added more intra article links)
33048037,"20:12, 6 January 2025",Seymour Edits,False,deletion,reverted,EpcotMagic,-1,
33048036,"20:12, 6 January 2025",Seymour Edits,False,deletion,reverted,EpcotMagic,-28,(shortened HTOC labels for mobile optimization)
33048033,"20:08, 6 January 2025",Seymour Edits,False,cleanup,reverted,EpcotMagic,1,(fixed typo)
33048032,"20:08, 6 January 2025",Seymour Edits,False,addition,reverted,EpcotMagic,285,(added horizontal TOC and intra-article links)
32984424,"09:44, 8 December 2024",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
32401748,"08:43, 31 March 2024",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
32273364,"08:59, 8 February 2024",U0tterSeaThis,False,revert,active,,1,(RCP reverted edits by 102.216.154.20 (talk) to  revision #32039344 by Eric)
32273256,"07:39, 8 February 2024",102.216.154.20,False,deletion,reverted,U0tterSeaThis,-1,
32039344,"02:17, 31 October 2023",Eric,False,revert,reverted,U0tterSeaThis,-680,(Reverted edits by 51.15.70.117 (Talk); changed back to last version by Votebot)
32039342,"02:13, 31 October 2023",51.15.70.117,False,major_addition,reverted,Eric,680,
32001831,"08:40, 15 October 2023",Votebot,False,adjustment,reverted,Eric,0,(reordering tips and warnings based on votes)
31799039,"08:33, 20 July 2023",Votebot,False,adjustment,reverted,Eric,0,(reordering tips and warnings based on votes)
31794578,"19:43, 18 July 2023",Seymour Edits,False,sourcing,reverted,EpcotMagic,-109,(Removed and replaced bad sources for wikiHaus content team)
31638354,"11:16, 18 May 2023",WikiBoat,False,revert,active,,12,(RCP reverted edits by 88.98.36.34 (talk) to  revision #31539678 by ICanGuessItLol)
31638319,"11:05, 18 May 2023",88.98.36.34,False,deletion,reverted,WikiBoat,-12,
31539678,"21:32, 17 April 2023",ICanGuessItLol,False,revert,reverted,WikiBoat,-10,(RCP reverted edits by 75.197.141.21 (talk) to  revision #31259975 by Kitty0)
31539492,"20:34, 17 April 2023",75.197.141.21,False,addition,reverted,ICanGuessItLol,10,
31259975,"13:42, 13 January 2023",Starlette,False,revert,reverted,ICanGuessItLol,-35,(RCP reverted edits by 92.66.235.17 (talk) to  revision #31030340 by Votebot)
31259969,"13:39, 13 January 2023",92.66.235.17,False,addition,reverted,Starlette,35,
31030340,"08:10, 1 November 2022",Votebot,False,adjustment,reverted,Eric,0,(reordering tips and warnings based on votes)
30915860,"06:30, 27 September 2022",SnowyRiver28,False,revert,active,,-8,(RCP reverted edits by 69.251.192.159 (talk) to  revision #30746102 by Realtbnrfrags)
30915610,"04:20, 27 September 2022",69.251.192.159,False,addition,reverted,SnowyRiver28,8,
30746102,"13:46, 1 August 2022",Realtbnrfrags,False,revert,reverted,SnowyRiver28,-6,(RCP reverted edits by 104.225.161.78 (talk) to  revision #30728905 by WikiHow Projects)
30746101,"13:45, 1 August 2022",104.225.161.78,False,addition,reverted,Realtbnrfrags,6,
30728905,"14:21, 26 July 2022",WikiHow Projects,False,addition,reverted,Realtbnrfrags,30,(Adding internal links)
30624986,"17:22, 14 June 2022",Thomas_Ch,False,addition,active,,6,(small copy edit!)
30623316,"04:37, 14 June 2022",ElizabethD,False,major_deletion,active,,-867,(removing steps in wrong plae)
