Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33231946,"22:03, 10 March 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
33041397,"03:41, 4 January 2025",Seymour Edits,False,addition,active,,252,(Added expert citations.)
32977662,"19:23, 4 December 2024",WikiHow Horizon 3,False,addition,active,,9,(http ► https)
32756642,"10:17, 2 September 2024",WikiHow Projects,False,deletion,active,,-483,(removing broken link)
32259370,"15:29, 4 February 2024",WikiHow Horizon,False,deletion,active,,-52,(Updated link/s)
32168660,"04:06, 29 December 2023",RedirectsBot,False,addition,active,,4,(Updating link to point directly to article instead of redirect)
29034965,"13:58, 29 December 2020",CategoryGuardian,False,deletion,active,,-31,"(Removing category that seems to be a poor fit, based on votes from the Category Guardian)"
27690775,"10:48, 6 February 2020",RelatedWikihowsBot,False,deletion,active,,-37,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
27162040,"09:45, 2 October 2019",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
26282746,"01:45, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
25775861,"18:44, 18 December 2018",Hi im not a sock puppet,False,revert,active,,16233,(RCP reverted edits by 12.32.251.242 (talk) to  revision #25601004 by RainPrincess)
25775856,"18:44, 18 December 2018",12.32.251.242,False,major_deletion,reverted,Hi im not a sock puppet,-16233,(Replacing page with 'cjnxjcn jcxnj')
25601004,"15:31, 15 November 2018",RainPrincess,False,revert,reverted,Hi im not a sock puppet,16243,(RCP reverted edits by 217.23.235.167 (talk) to  revision #25476641 by Caitlynn L)
25600982,"15:22, 15 November 2018",217.23.235.167,False,major_deletion,reverted,RainPrincess,-15692,(Replacing page with ' hi')
25600977,"15:22, 15 November 2018",217.23.235.167,False,major_deletion,reverted,RainPrincess,-551,
25476641,"12:22, 24 October 2018",Caitlynn L,False,revert,reverted,RainPrincess,12015,(RCP reverted edits by Alvina Shah (talk) to  revision #25212451 by 32.214.203.192)
25476003,"07:53, 24 October 2018",Alvina Shah,False,major_deletion,reverted,Caitlynn L,-12015,
25212451,"19:15, 9 September 2018",32.214.203.192,False,deletion,reverted,Caitlynn L,-2,
25212448,"19:15, 9 September 2018",32.214.203.192,False,addition,reverted,Caitlynn L,2,
24711214,"10:59, 7 June 2018",Seymour Edits,False,addition,active,,158,(Added the Summary template to this article)
24295115,"14:30, 29 March 2018",WikiHow Projects,False,deletion,active,,-101,(removing broken link)
23880670,"13:36, 18 January 2018",WikiHow Intern,False,addition,active,,32,(Add appropriate sub-category)
22998581,"07:26, 9 August 2017",WikiHow Projects,False,deletion,active,,-340,(removing broken link)
21342198,"09:57, 15 November 2016",Sarah Lucy,False,revert,active,,183,(RCP reverted edits by 51.9.73.69 (talk) to  revision #20965089 by Galactic Radiance)
21342192,"09:56, 15 November 2016",51.9.73.69,False,deletion,reverted,Sarah Lucy,-183,(→‎Steps:  Same could be said about powder)
20965089,"17:08, 15 September 2016",WikiHowUser20230227233914,False,revert,reverted,Sarah Lucy,-37,(Reverted edits by 64.251.51.3 (Talk); changed back to last version by Pandas941)
20965083,"17:06, 15 September 2016",64.251.51.3,False,addition,reverted,WikiHowUser20230227233914,37,
20965068,"17:03, 15 September 2016",Pandas941,False,revert,reverted,WikiHowUser20230227233914,-27,(Reverted edits by 64.251.51.3 (Talk); changed back to last version by 199.164.68.187)
20965063,"17:02, 15 September 2016",64.251.51.3,False,addition,reverted,WikiHowUser20230227233914,27,
20953802,"16:51, 13 September 2016",199.164.68.187,False,deletion,reverted,Pandas941,-20,
20953794,"16:50, 13 September 2016",199.164.68.187,False,addition,reverted,Pandas941,20,
20647412,"09:24, 24 July 2016",WikiHow Projects,False,major_deletion,active,,-840,(removing broken link)
20373647,"17:18, 8 June 2016",WikiHowUser20230227233914,False,revert,active,,-1,(RCP reverted edits by 86.14.218.5 (talk) to  revision #20080122 by Votebot)
20373620,"17:11, 8 June 2016",86.14.218.5,False,addition,reverted,WikiHowUser20230227233914,1,
20080122,"08:53, 23 April 2016",Votebot,False,adjustment,reverted,WikiHowUser20230227233914,0,(reordering tips and warnings based on votes)
20028435,"08:46, 15 April 2016",Votebot,False,adjustment,reverted,WikiHowUser20230227233914,0,(reordering tips and warnings based on votes)
19566094,"08:29, 2 February 2016",InfernoTerra,False,revert,active,,0,(RCP reverted edits by 49.206.119.150 (talk) to  revision #19406549 by RelatedWikihowsBot)
19566085,"08:24, 2 February 2016",49.206.119.150,False,adjustment,reverted,InfernoTerra,0,
19406549,"05:59, 12 January 2016",RelatedWikihowsBot,False,deletion,reverted,InfernoTerra,-243,(Removing redundant wikitext from Related wikiHows section)
19141883,"09:37, 27 December 2015",Votebot,False,adjustment,reverted,WikiHowUser20230227233914,0,(reordering tips and warnings based on votes)
19078576,"09:46, 17 December 2015",Votebot,False,adjustment,reverted,WikiHowUser20230227233914,0,(reordering tips and warnings based on votes)
18564848,"08:49, 3 October 2015",Votebot,False,adjustment,reverted,WikiHowUser20230227233914,0,(reordering tips and warnings based on votes)
18417157,"19:11, 11 September 2015",SarahB,False,revert,active,,183,(RCP reverted edits by 87.113.216.105 (talk) to  revision #18263204 by Skyllful)
18416958,"18:41, 11 September 2015",87.113.216.105,False,deletion,reverted,SarahB,-183,(So can powder)
18263204,"02:14, 20 August 2015",Skyllful,False,deletion,reverted,SarahB,-8,
18167868,"08:45, 6 August 2015",Votebot,False,adjustment,reverted,WikiHowUser20230227233914,0,(reordering tips and warnings based on votes)
17987056,"07:51, 28 July 2015",InterwikiBot,False,deletion,active,,-148,"(Removing interwiki links, no longer needed in wikitext)"
17885925,"05:16, 23 July 2015",Bigboy021,False,addition,active,,101,(New tip approved in Tips Patrol)
17860467,"18:10, 21 July 2015",MiscBot,False,cleanup,active,,1,(Correcting spelling and/or grammar.)
17706582,"13:19, 30 June 2015",Votebot,False,deletion,reverted,WikiHowUser20230227233914,-1,(reordering tips and warnings based on votes)
17544395,"22:51, 6 June 2015",80.189.199.49,False,addition,active,,148,(→‎Warnings)
17544386,"22:48, 6 June 2015",80.189.199.49,False,addition,active,,225,
17392335,"13:08, 21 May 2015",Wikivisual,False,addition,active,,322,(Saving new step-by-step photos)
17333658,"15:48, 13 May 2015",SarahB,False,revert,active,,-6,(RCP reverted edits by 74.62.72.98 (talk) to  revision #17148961 by Votebot)
17333650,"15:47, 13 May 2015",74.62.72.98,False,addition,reverted,SarahB,6,
17148961,"13:08, 18 April 2015",Votebot,False,adjustment,reverted,WikiHowUser20230227233914,0,(reordering tips and warnings based on votes)
16961271,"12:59, 26 March 2015",Votebot,False,adjustment,reverted,WikiHowUser20230227233914,0,(reordering tips and warnings based on votes)
16822810,"07:11, 7 March 2015",HumanBeing,False,revert,active,,-50,(RCP reverted edits by Fruityfruit258 (talk) to  revision #16798376 by Votebot)
16821566,"03:19, 7 March 2015",Fruityfruit258,False,addition,reverted,HumanBeing,50,(New tip approved in Tips Patrol)
16798376,"14:55, 4 March 2015",Votebot,False,adjustment,reverted,WikiHowUser20230227233914,0,(reordering tips and warnings based on votes)
16734233,"06:32, 25 February 2015",Seymour Edits,False,sourcing,active,,10392,"(Formatted as methods, created or expanded all steps, added in-line citations, revised introduction, revised tips, revised warnings, added sources and citations.)"
16546348,"19:43, 4 February 2015",MiscBot,False,cleanup,active,,2,(Correcting spelling and/or grammar.)
15661171,"01:05, 18 October 2014",Ttrimm,False,addition,active,,76,(Adding related wikihow from NAB)
14212257,"17:30, 13 July 2014",Votebot,False,adjustment,reverted,WikiHowUser20230227233914,0,(reordering tips and warnings based on votes)
13525260,"14:40, 6 May 2014",Jamie,False,revert,active,,1,(Reverted edits by 5.150.102.58 (Talk); changed back to last version by Lugia2453)
13525198,"14:29, 6 May 2014",5.150.102.58,False,deletion,reverted,Jamie,-1,
12895525,"20:17, 5 March 2014",Lugia2453,False,revert,reverted,Jamie,6470,(Reverted edits by 92.20.72.228 (Talk); changed back to last version by Abrogation316)
12895521,"20:16, 5 March 2014",92.20.72.228,False,major_deletion,reverted,Lugia2453,-6470,(Removing all content from page)
12837080,"17:08, 27 February 2014",Abrogation316,False,revert,reverted,Lugia2453,-79,(Reverted edits by 88.211.124.114 (Talk); changed back to last version by Votebot)
12833273,"11:51, 27 February 2014",88.211.124.114,False,addition,reverted,Abrogation316,79,
12634865,"20:15, 8 February 2014",Votebot,False,adjustment,reverted,WikiHowUser20230227233914,0,(reordering tips and warnings based on votes)
12338799,"17:48, 8 January 2014",Votebot,False,adjustment,reverted,WikiHowUser20230227233914,0,(reordering tips and warnings based on votes)
12048865,"17:22, 9 December 2013",InterwikiBot,False,addition,active,,48,(Adding interwiki link)
11896236,"16:36, 24 November 2013",InterwikiBot,False,addition,active,,50,(Adding interwiki link)
11548112,"22:05, 25 October 2013",Votebot,False,addition,reverted,WikiHowUser20230227233914,1,(reordering tips and warnings based on votes)
11236247,"22:34, 26 September 2013",IShareMahKnowledgeWisely,False,revert,active,,0,(Reverted edits by 81.178.226.60 (Talk); changed back to last version by Jack Pearce)
11207057,"16:02, 24 September 2013",81.178.226.60,False,adjustment,reverted,IShareMahKnowledgeWisely,0,
11206891,"15:59, 24 September 2013",Jack Pearce,False,revert,reverted,IShareMahKnowledgeWisely,-9,(Reverted edits by 81.178.226.60 (Talk); changed back to last version by Wikiphoto)
11206815,"15:57, 24 September 2013",81.178.226.60,False,addition,reverted,IShareMahKnowledgeWisely,9,
11199047,"22:06, 23 September 2013",Wikiphoto,False,addition,reverted,Jack Pearce,125,(Enlarging and centering Steps photos)
11199046,"22:06, 23 September 2013",Wikiphoto,False,addition,reverted,Jack Pearce,437,(Saving new step-by-step photos)
11119800,"17:03, 15 September 2013",Votebot,False,adjustment,reverted,WikiHowUser20230227233914,0,(reordering tips and warnings based on votes)
11049708,"20:47, 8 September 2013",Souphead,False,addition,active,,8,
11048945,"18:20, 8 September 2013",Souphead,False,addition,active,,96,
11048922,"18:13, 8 September 2013",Souphead,False,cleanup,active,,-117,(Formatting)
10833221,"17:55, 16 August 2013",Votebot,False,adjustment,reverted,WikiHowUser20230227233914,0,(reordering tips and warnings based on votes)
10500115,"16:46, 17 July 2013",Votebot,False,adjustment,reverted,WikiHowUser20230227233914,0,(reordering tips and warnings based on votes)
10376099,"01:43, 5 July 2013",Lutherus Shyrilser,False,revert,active,,-33,(Reverted edits by 153.249.68.117 (Talk); changed back to last version by Votebot)
10376096,"01:43, 5 July 2013",153.249.68.117,False,addition,reverted,Lutherus Shyrilser,33,(→‎Warnings)
10352795,"16:42, 2 July 2013",Votebot,False,adjustment,reverted,WikiHowUser20230227233914,0,(reordering tips and warnings based on votes)
9176047,"18:49, 8 February 2013",Tiagoroth,False,revert,active,,586,(Reverted edits by 204.174.186.184 (Talk); changed back to last version by Votebot)
9175994,"18:41, 8 February 2013",204.174.186.184,False,deletion,reverted,Tiagoroth,-182,(→‎Steps)
9175988,"18:41, 8 February 2013",204.174.186.184,False,deletion,reverted,Tiagoroth,-404,(→‎Steps)
9009855,"18:28, 11 January 2013",Votebot,False,adjustment,reverted,WikiHowUser20230227233914,0,(reordering tips and warnings based on votes)
8884445,"03:04, 16 December 2012",WikiHow Traduce,False,addition,active,,53,
7861335,"20:21, 31 May 2012",98.235.19.253,False,deletion,active,,-30,
7861325,"20:20, 31 May 2012",98.235.19.253,False,addition,active,,31,(→‎Steps)
7430895,"16:20, 14 March 2012",109.149.110.175,False,addition,active,,34,(→‎Steps)
7093316,"23:46, 5 January 2012",BR,False,addition,reverted,Lugia2453,1,(Quick edit while patrolling)
7093007,"22:09, 5 January 2012",50.41.111.162,False,adjustment,active,,0,
7093005,"22:09, 5 January 2012",50.41.111.162,False,addition,active,,15,
6277105,"22:54, 28 June 2011",Wendy Weaver,False,addition,active,,50,(Weaving the web of links)
5136367,"18:57, 14 October 2010",BoldStepFixer,False,deletion,active,,-78,(fixing the bold issue)
5133793,"06:51, 14 October 2010",112.200.171.165,False,deletion,active,,-4,(→‎Steps)
3628093,"12:36, 25 July 2009",Randomness,False,deletion,active,,-1,(→‎Steps:  small fix)
3574550,"15:27, 9 July 2009",205.215.94.128,False,deletion,active,,-1,
2528619,"03:36, 12 September 2008",Estel,False,revert,active,,-86,(Reverted edits by 203.34.133.2 (Talk); changed back to last version by KnowItSome)
2528593,"03:30, 12 September 2008",203.34.133.2,False,addition,reverted,Estel,86,
2103999,"15:35, 28 May 2008",KnowItSome,False,addition,reverted,Estel,70,(→‎Warnings:  clean up recent addition)
2103837,"14:45, 28 May 2008",Bulrush,False,revert,active,,-66,(Reverted edits by 122.167.9.164 (Talk); changed back to last version by Eric W)
2103744,"14:13, 28 May 2008",122.167.9.164,False,adjustment,reverted,Bulrush,0,(→‎Warnings)
2103742,"14:12, 28 May 2008",122.167.9.164,False,addition,reverted,Bulrush,66,(→‎Warnings)
2097587,"02:21, 27 May 2008",Eric,False,addition,reverted,Bulrush,104,
2096483,"21:34, 26 May 2008",Socha.michael.123,False,addition,active,,75,
1823345,"08:46, 19 March 2008",Flickety,False,deletion,active,,-5,(categorizing)
1708691,"10:42, 20 February 2008",Zoe Volt,False,revert,active,,19,(Reverted edits by 75.183.23.247 (Talk); changed back to last version by 69.217.63.152)
1707634,"02:35, 20 February 2008",75.183.23.247,False,deletion,reverted,Zoe Volt,-19,(→‎Steps)
1365761,"01:17, 20 November 2007",69.217.63.152,False,deletion,reverted,Zoe Volt,-3,(→‎Things You'll Need)
1310175,"01:51, 4 November 2007",Flickety,False,addition,active,,72,(Edits)
749964,"21:25, 23 May 2007",Be Happy,False,cleanup,active,,-9,(corrected spelling)
537190,"07:57, 12 February 2007",Ajindustires,False,adjustment,active,,0,
537189,"07:57, 12 February 2007",Ajindustires,False,adjustment,active,,0,
537188,"07:57, 12 February 2007",Ajindustires,False,addition,active,,9,(clean. format.)
537186,"07:56, 12 February 2007",Ajindustires,False,addition,active,,17,(clean up caps.)
535269,"05:12, 11 February 2007",Ajindustires,False,adjustment,active,,0,
535266,"05:11, 11 February 2007",Ajindustires,False,addition,active,,6,
535264,"05:10, 11 February 2007",Ajindustires,False,deletion,active,,-9,
535263,"05:09, 11 February 2007",Ajindustires,False,addition,active,,7,
535261,"05:08, 11 February 2007",Ajindustires,False,deletion,active,,-16,(clean.)
535260,"05:07, 11 February 2007",Ajindustires,False,addition,active,,1,
533822,"08:06, 10 February 2007",Ajindustires,False,addition,active,,135,
533630,"03:48, 10 February 2007",Tyler Jeter,False,addition,active,,7,(grammatical corrections made)
533609,"03:37, 10 February 2007",Tyler Jeter,False,cleanup,active,,11,(spelling)
533588,"03:30, 10 February 2007",Ajindustires,False,addition,active,,290,
533583,"03:28, 10 February 2007",Ajindustires,False,cleanup,active,,138,"(bold fix grammar, created aj comment on disc. page please.)"
533580,"03:25, 10 February 2007",Ajindustires,False,addition,active,,327,
533571,"03:19, 10 February 2007",Ajindustires,False,addition,active,,213,(added pics. aj)
533559,"03:11, 10 February 2007",Ajindustires,False,major_addition,active,,552,(major edit and contrib before and now. going to add pics. aj)
533547,"03:00, 10 February 2007",Ajindustires,False,major_addition,active,,834,
533537,"02:49, 10 February 2007",Ajindustires,False,major_addition,active,,2926,"(i created this article, get the categoriztion correct please someone. this is not complete.)"
