Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33902189,"16:05, 14 December 2025",MiscBot,False,deletion,active,,-264,(Automatic external link checking: updating and/or deleting links that are broken)
33772152,"03:04, 23 October 2025",MiscBot,False,deletion,active,,-7,(Automatic external link checking: updating and/or deleting links that are broken)
33611388,"18:05, 12 August 2025",MiscBot,False,deletion,active,,-86,(Automatic external link checking: updating and/or deleting links that are broken)
33322072,"01:01, 16 April 2025",MiscBot,False,deletion,active,,-13,(Automatic external link checking: updating and/or deleting links that are broken)
29926710,"16:56, 27 September 2021",Wikivisual,False,adjustment,active,,0,(Saving new step-by-step photos)
29902366,"14:26, 18 September 2021",Wikivisual,False,addition,active,,100,(Saving new step-by-step photos)
29522755,"10:49, 6 May 2021",RelatedWikihowsBot,False,deletion,active,,-28,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
28392769,"17:15, 19 July 2020",WikiHow Projects,False,deletion,active,,-68,(removing broken link)
26356992,"13:16, 30 March 2019",MiscBot,False,sourcing,active,,-50,(Automatic link maintenance: cleaning up links to references that are broken)
26300601,"03:06, 29 March 2019",MiscBot,False,sourcing,active,,-9,(Updating References section name to match new sitewide conventions)
26239062,"11:08, 27 March 2019",MiscBot,False,sourcing,active,,-118,(Automatic link maintenance: cleaning up links to references that are broken)
24448532,"23:00, 26 April 2018",WikiHow Projects,False,deletion,active,,-67,(removing broken link)
24448519,"22:56, 26 April 2018",WikiHow Projects,False,deletion,active,,-83,(removing broken link)
24430630,"01:06, 24 April 2018",Reem Kam,False,addition,active,,44,(Adding video via video picker tool)
23329844,"08:58, 5 October 2017",Votebot,False,addition,active,,1,(reordering tips and warnings based on votes)
22544454,"14:30, 2 June 2017",Brian Salazar Prince,False,cleanup,active,,0,(Fixing misspellings via the Spellchecker tool)
22535958,"08:50, 1 June 2017",Votebot,False,addition,active,,2,(reordering tips and warnings based on votes)
21605912,"15:55, 4 January 2017",SarahB,False,revert,active,,1,(RCP reverted edits by Pebblegalet (talk) to  revision #21600467 by WikiHow Expert Review)
21605281,"14:10, 4 January 2017",Pebblegalet,False,deletion,reverted,SarahB,-1,(Quick edit while using the SpellChecker tool)
21600467,"16:47, 3 January 2017",WikiHow Expert Review,False,addition,reverted,SarahB,306,(Incorporating expert feedback)
21537573,"09:56, 20 December 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
21458728,"15:19, 6 December 2016",WikiHow Expert Review,False,major_addition,reverted,SarahB,946,(Incorporating expert feedback)
21138298,"09:26, 14 October 2016",Wikivisual,False,major_addition,active,,553,(Saving new step-by-step photos)
21028412,"22:06, 26 September 2016",Seymour Edits,False,major_addition,active,,521,(Added a step. Edited introduction.)
21025795,"15:28, 26 September 2016",Seymour Edits,False,major_addition,active,,9293,"(Added methods, steps, introduction, tips, warnings, and citations.)"
20211168,"01:39, 13 May 2016",Stub Bot,False,addition,active,,24,(Marking as stub because this article does not appear complete enough to be helpful to readers. Disagree? Leave a note here.)
19291627,"08:35, 8 January 2016",RelatedWikihowsBot,False,deletion,active,,-115,(Removing redundant wikitext from Related wikiHows section)
18030705,"15:24, 28 July 2015",MiscBot,False,deletion,active,,-70,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
16561457,"18:59, 5 February 2015",MiscBot,False,cleanup,active,,2,(Correcting spelling and/or grammar.)
11859615,"20:16, 20 November 2013",Wikiphoto,False,addition,active,,45,(Enlarging and centering Steps photos)
11859614,"20:16, 20 November 2013",Wikiphoto,False,addition,active,,62,(Saving new step-by-step photos)
9513330,"19:40, 30 March 2013",98.195.128.104,False,addition,active,,249,
7796945,"03:11, 21 May 2012",Laura0681,False,addition,active,,25,(categorization)
7796217,"00:26, 21 May 2012",Editor590489584,False,deletion,active,,-259,(editing article via New Article Boost feature)
7796216,"00:26, 21 May 2012",Editor590489584,False,addition,active,,276,(editing article via New Article Boost feature)
7796197,"00:22, 21 May 2012",Editor590489584,False,addition,active,,16,(editing article via New Article Boost feature)
7793813,"13:59, 20 May 2012",SkateboardKid,False,major_addition,active,,2135,(Creating new article)
