Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33227410,"21:01, 10 March 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
32857303,"14:09, 14 October 2024",WikiHow Projects,False,adjustment,active,,0,(updating link)
30878336,"22:56, 14 September 2022",Wikiphoto,False,deletion,active,,-231,(removed Related Videos section)
29568751,"23:49, 19 May 2021",Wikiphoto,False,addition,active,,232,(added related videos)
28657209,"04:32, 25 September 2020",Seymour Edits,False,sourcing,active,,-139,(Deleted bad source for the wikiHaus content team)
28053187,"01:45, 30 April 2020",FutureHow,False,addition,active,,4,
27197415,"11:58, 10 October 2019",WikiHowUser20210223213806,False,revert,active,,5485,(RCP reverted edits by Fliptrip Holidays (talk) to  revision #26298122 by MiscBot)
27197263,"11:19, 10 October 2019",Fliptrip Holidays,False,addition,reverted,WikiHowUser20210223213806,41,
27197259,"11:17, 10 October 2019",Fliptrip Holidays,False,addition,reverted,WikiHowUser20210223213806,8,
27197253,"11:15, 10 October 2019",Fliptrip Holidays,False,deletion,reverted,WikiHowUser20210223213806,-4,
27197249,"11:13, 10 October 2019",Fliptrip Holidays,False,addition,reverted,WikiHowUser20210223213806,98,
27197240,"11:11, 10 October 2019",Fliptrip Holidays,False,addition,reverted,WikiHowUser20210223213806,4,
27197236,"11:10, 10 October 2019",Fliptrip Holidays,False,major_deletion,reverted,WikiHowUser20210223213806,-5632,(Replacing page with ' ● Bali Honeymoon Packages from Bangalore | Lowest Price @9999316587 ● Book Bali Honeymoon Packages from Bangalore with Lowest Price at Fliptrip.in. We specialize in Cus...')
26298122,"02:54, 29 March 2019",MiscBot,False,sourcing,reverted,WikiHowUser20210223213806,-11,(Updating References section name to match new sitewide conventions)
25123654,"14:19, 22 August 2018",Seymour Edits,False,addition,active,,134,(Added the Summary template to this article)
24036653,"22:31, 14 February 2018",WikiHow Intern,False,deletion,active,,-36,(Change to appropriate sub-category)
22318678,"18:31, 30 April 2017",WikiHow Expert Review,False,addition,active,,161,(Incorporating expert feedback)
21266490,"19:29, 2 November 2016",Flickety,False,addition,active,,25,(Add relevant sub-cat)
20393050,"21:15, 11 June 2016",WikiHow Projects,False,addition,active,,2,(added images)
20393039,"21:07, 11 June 2016",WikiHow Projects,False,deletion,active,,-22,(added images)
20393019,"21:01, 11 June 2016",WikiHow Projects,False,deletion,active,,-5,(added images)
18089207,"05:14, 29 July 2015",MiscBot,False,deletion,reverted,WikiHowUser20210223213806,-280,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17954976,"18:30, 27 July 2015",InterwikiBot,False,deletion,active,,-79,"(Removing interwiki links, no longer needed in wikitext)"
16686386,"11:54, 19 February 2015",Hasbeen400,False,addition,active,,1,(Quick edit while patrolling)
16684422,"07:59, 19 February 2015",Sarah Lucy,False,addition,active,,80,
16112780,"14:10, 10 December 2014",InterwikiBot,False,addition,active,,49,(Adding interwiki link)
15885642,"10:40, 13 November 2014",Savas_P,False,revert,active,,-71,(RCP reverted edits by Jordan Piano (talk) to  revision #15815228 by MiscBot)
15885640,"10:40, 13 November 2014",Jordan Piano,False,sourcing,reverted,Savas_P,1,(→‎Sources and Citations)
15885637,"10:39, 13 November 2014",Jordan Piano,False,sourcing,reverted,Savas_P,70,(→‎Sources and Citations)
15815228,"22:21, 5 November 2014",MiscBot,False,addition,reverted,WikiHowUser20210223213806,13,(Adding conversion template.)
15770774,"13:31, 31 October 2014",InterwikiBot,False,addition,active,,30,(Adding interwiki link)
14161442,"08:15, 8 July 2014",Wikivisual,False,addition,active,,160,(Enlarging and centering Steps photos)
14161441,"08:15, 8 July 2014",Wikivisual,False,addition,active,,40,(Saving new step-by-step photos)
14161377,"08:05, 8 July 2014",Wikivisual,False,addition,active,,157,(Enlarging and centering Steps photos)
14161376,"08:05, 8 July 2014",Wikivisual,False,major_addition,active,,974,(Saving new step-by-step photos)
13653563,"21:10, 19 May 2014",EpcotMagic,False,addition,active,,30,(categorization)
13645663,"04:32, 19 May 2014",WRM,False,major_addition,active,,4665,"(New page: Insulating a shed can reduce damage to your stored tools, equipment or boxes. It can also make it more versatile, allowing you to store plants or use it as a rec room. Properly insulati...)"
