Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34120574,"10:17, 3 March 2026",Votebot,False,deletion,active,,-1,(reordering tips and warnings based on votes)
34089209,"18:07, 19 February 2026",MiscBot,False,deletion,active,,-197,(Removing Related Articles section)
34073238,"00:52, 19 February 2026",MiscBot,False,revert,active,,198,(Reverting the Related Articles section removal)
34057308,"17:38, 18 February 2026",MiscBot,False,deletion,active,,-198,(Removing Related Articles section)
32800441,"07:33, 23 September 2024",Bhoimus,False,revert,active,,-14,(RCP reverted edits by 217.165.138.71 (talk) to  revision #32077287 by Votebot)
32800375,"07:09, 23 September 2024",217.165.138.71,False,addition,reverted,Bhoimus,14,
32077287,"09:46, 17 November 2023",Votebot,False,adjustment,reverted,Bhoimus,0,(reordering tips and warnings based on votes)
28334903,"09:44, 3 July 2020",Votebot,False,adjustment,reverted,Bhoimus,0,(reordering tips and warnings based on votes)
27688708,"23:00, 5 February 2020",24.162.134.107,False,addition,active,,3,
27571995,"22:23, 8 January 2020",R2_d2000,False,revert,active,,7935,(Reverted edits by 199.101.63.179 (Talk); changed back to last version by Leviticus)
27571986,"22:20, 8 January 2020",199.101.63.179,False,major_deletion,reverted,R2_d2000,-7935,(Replacing page with 'Do Not Use This Article')
26745979,"14:14, 1 July 2019",Leviticus,False,addition,reverted,R2_d2000,48,(Adding video via video picker tool)
26687125,"04:48, 17 June 2019",Geo Maria George,False,deletion,active,,-46,(Edit via Quality Guardian: Removed video that didn't perfectly match the text.)
26686936,"02:46, 17 June 2019",Gabriella Calderon,False,revert,active,,7953,(RCP reverted edits by 219.88.224.243 (talk) to  revision #26672804 by WikiHow Expert Review)
26686933,"02:45, 17 June 2019",219.88.224.243,False,major_deletion,reverted,Gabriella Calderon,-7953,(Replacing page with 'j n')
26672804,"23:49, 12 June 2019",WikiHow Expert Review,False,deletion,reverted,Gabriella Calderon,-273,(Incorporating expert feedback)
26313293,"04:33, 29 March 2019",MiscBot,False,sourcing,active,,-9,(Updating References section name to match new sitewide conventions)
25796748,"14:50, 22 December 2018",Christy17,False,revert,active,,-1,(RCP reverted edits by 183.83.170.206 (talk) to  revision #25100689 by Seymour Edits)
25796739,"14:47, 22 December 2018",183.83.170.206,False,addition,reverted,Christy17,1,
25100689,"13:15, 18 August 2018",Seymour Edits,False,addition,reverted,Christy17,142,(Added the Summary template to this article)
25067566,"00:04, 13 August 2018",KernelPone,False,revert,active,,-55,(RCP reverted edits by 115.70.218.249 (talk) to  revision #24450177 by Votebot)
25067480,"23:37, 12 August 2018",115.70.218.249,False,addition,reverted,KernelPone,6,
25067479,"23:37, 12 August 2018",115.70.218.249,False,deletion,reverted,KernelPone,-6,
25067477,"23:36, 12 August 2018",115.70.218.249,False,deletion,reverted,KernelPone,-17,
25067476,"23:35, 12 August 2018",115.70.218.249,False,addition,reverted,KernelPone,19,
25067466,"23:32, 12 August 2018",115.70.218.249,False,addition,reverted,KernelPone,27,
25067462,"23:31, 12 August 2018",115.70.218.249,False,addition,reverted,KernelPone,26,
24450177,"09:09, 27 April 2018",Votebot,False,addition,reverted,Bhoimus,2,(reordering tips and warnings based on votes)
24410026,"19:44, 19 April 2018",WikiHow Expert Review,False,addition,reverted,Gabriella Calderon,66,(Incorporating expert feedback)
23975489,"02:12, 4 February 2018",WikiHow Projects,False,deletion,active,,-379,(removing broken link)
23476308,"15:15, 30 October 2017",Aiosis,False,revert,active,,-163,(Reverted edits by 194.154.22.134 (Talk); changed back to last version by Aiosis)
23476305,"15:15, 30 October 2017",194.154.22.134,False,addition,reverted,Aiosis,163,
23476288,"15:14, 30 October 2017",Aiosis,False,revert,reverted,Aiosis,132,(Reverted edits by 194.154.22.134 (Talk); changed back to last version by CategoryGuardian)
23476285,"15:14, 30 October 2017",194.154.22.134,False,deletion,reverted,Aiosis,-132,
23426950,"19:56, 21 October 2017",CategoryGuardian,False,deletion,reverted,Aiosis,-30,"(Removing category that seems to be a poor fit, based on votes from the Category Guardian)"
23379110,"11:57, 13 October 2017",SarahB,False,revert,active,,8421,(Reverted edits by 5.150.115.235 (Talk); changed back to last version by SarahB)
23378701,"10:41, 13 October 2017",5.150.115.235,False,deletion,reverted,SarahB,-20,
23378694,"10:41, 13 October 2017",5.150.115.235,False,adjustment,reverted,SarahB,0,
23378682,"10:40, 13 October 2017",5.150.115.235,False,addition,reverted,SarahB,24,
23378681,"10:40, 13 October 2017",5.150.115.235,False,deletion,reverted,SarahB,-2,
