Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34091611,"18:39, 19 February 2026",MiscBot,False,deletion,active,,-37,(Removing Related Articles section)
34075762,"01:29, 19 February 2026",MiscBot,False,revert,active,,39,(Reverting the Related Articles section removal)
34059839,"18:17, 18 February 2026",MiscBot,False,deletion,active,,-39,(Removing Related Articles section)
33435429,"09:02, 29 May 2025",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
33230191,"21:39, 10 March 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
33106681,"01:38, 30 January 2025",WikiHow Projects,False,deletion,active,,-447,(removing broken link)
32626933,"12:59, 4 July 2024",WikiHow Projects,False,addition,active,,41,(Adding video via Video Adder tool)
32230094,"13:33, 23 January 2024",WikiHow Horizon,False,deletion,active,,-192,(Updated link/s)
31302148,"18:20, 29 January 2023",WikiHow Projects,False,major_deletion,active,,-917,(removing broken links)
28752437,"20:50, 16 October 2020",WikiHow Expert Review,False,addition,active,,155,(Integrated tips from NCA)
28199322,"07:01, 3 June 2020",Seymour Edits,False,deletion,active,,-64,
27790317,"08:29, 28 February 2020",Vidbot,False,deletion,active,,-48,(Removing unavailable video from article)
27605622,"15:58, 16 January 2020",Cjennings,False,addition,active,,48,(Adding video via Video Adder tool)
26257232,"23:49, 28 March 2019",MiscBot,False,sourcing,active,,-9,(Updating References section name to match new sitewide conventions)
25364947,"22:37, 5 October 2018",Seymour Edits,False,addition,active,,135,(Added the Summary template to this article)
24631402,"00:34, 23 May 2018",WikiHow Projects,False,deletion,active,,-129,(removing broken link)
21291814,"23:46, 6 November 2016",Flickety,False,addition,active,,15,(Switch to appropriate category)
20509239,"08:01, 1 July 2016",Wikivisual,False,addition,active,,210,(Saving new step-by-step photos)
20509103,"07:26, 1 July 2016",Wikivisual,False,major_addition,active,,1035,(Saving new step-by-step photos)
20316569,"04:19, 30 May 2016",Myles_Schaller,False,major_addition,active,,14609,(expanding to include multiple types of bends)
19233638,"18:10, 6 January 2016",RelatedWikihowsBot,False,deletion,active,,-17,(Removing redundant wikitext from Related wikiHows section)
18156732,"22:31, 4 August 2015",50.134.151.130,False,deletion,active,,-14,(adds more-precise minor wording)
17961037,"18:48, 27 July 2015",MiscBot,False,deletion,active,,-70,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
16823357,"10:24, 7 March 2015",Bobbyfrank,False,revert,active,,-56,(RCP reverted edits by Dark Owl (talk) to  revision #15812337 by MiscBot)
16823229,"09:49, 7 March 2015",Dark Owl,False,addition,reverted,Bobbyfrank,56,(New tip approved in Tips Patrol)
15812337,"21:36, 5 November 2014",MiscBot,False,addition,reverted,Bobbyfrank,26,(Adding conversion template.)
12721309,"04:01, 18 February 2014",Wikiphoto,False,addition,active,,46,(Enlarging and centering Steps photos)
12721308,"04:01, 18 February 2014",Wikiphoto,False,addition,active,,245,(Saving new step-by-step photos)
12556334,"02:47, 31 January 2014",Supercentenarian,False,addition,active,,36,(categorization)
12555862,"01:05, 31 January 2014",Serendipitee,False,deletion,active,,-319,(rm inappropriate category and relateds)
11614129,"21:23, 30 October 2013",Votebot,False,addition,active,,1,(reordering tips and warnings based on votes)
8366105,"20:18, 1 September 2012",BR,False,revert,active,,-42,(Reverted edits by Byankno1 (Talk); changed back to last version by BR)
8366081,"20:15, 1 September 2012",EpcotMagic,False,addition,active,,42,(Edit via Image Picker: Added an image)
7356290,"22:41, 28 February 2012",BR,False,revert,reverted,BR,-42,(Reverted edits by FB_100003592279210 (Talk); changed back to last version by Ttrimm)
7355932,"21:05, 28 February 2012",FB_100003592279210,False,addition,reverted,BR,42,(Edit via Image Picker: Added an image)
6954351,"08:19, 2 December 2011",Ttrimm,False,addition,reverted,BR,32,(Adding related wikihow from NAB)
6556870,"14:13, 27 August 2011",Kanhu,False,deletion,active,,-40,(Edit via Quality Guardian: Removed image that didn't perfectly match the text.)
6555744,"04:10, 27 August 2011",Stropynine,False,addition,active,,41,(Edit via Image Picker: Added an image)
3749468,"16:51, 25 August 2009",71.38.92.223,False,addition,active,,1,
3327467,"22:00, 18 April 2009",Glutted,False,addition,active,,301,
3295042,"02:28, 9 April 2009",Ttrimm,False,deletion,reverted,BR,-392,(editing article via New Article Boost feature)
3140404,"18:20, 22 February 2009",Puddyyo,False,addition,active,,42,(categorization)
3137362,"21:06, 21 February 2009",Perryelec,False,deletion,active,,-1,(→‎Steps)
3137351,"21:03, 21 February 2009",Perryelec,False,major_addition,active,,1322,(New page: You bought a bender and some EMT pipe but none of your bends are turnig out right. Here is a simple formula for the beginner. == Steps == #  Typically you take a whole class on conduit ben...)
