Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33081518,"16:20, 20 January 2025",WikiHow Projects,False,deletion,active,,-23,(updating link)
32595412,"23:00, 22 June 2024",Seymour Edits,False,deletion,active,,-249,(removed bad refs for wikiHaus content team)
32595411,"22:59, 22 June 2024",Seymour Edits,False,sourcing,active,,-130,(Replaced a bad reference for wikiHaus content team)
32542092,"16:14, 30 May 2024",Seymour Edits,False,sourcing,active,,135,(Replaced bad references for wikiHaus content team)
32220932,"15:42, 19 January 2024",WikiHow Projects,False,addition,active,,226,(Updated green box.)
32129317,"09:37, 11 December 2023",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
32010435,"11:13, 18 October 2023",Agusbou2015,False,revert,active,,-86,(RCP reverted edits by Time champ (talk) to  revision #30740288 by Votebot)
32009664,"05:05, 18 October 2023",Time champ,False,addition,reverted,Agusbou2015,86,
30740288,"08:51, 30 July 2022",Votebot,False,adjustment,reverted,Agusbou2015,0,(reordering tips and warnings based on votes)
30581247,"09:03, 29 May 2022",Votebot,False,adjustment,reverted,Agusbou2015,0,(reordering tips and warnings based on votes)
30446190,"09:10, 6 April 2022",Votebot,False,adjustment,reverted,Agusbou2015,0,(reordering tips and warnings based on votes)
28181923,"20:03, 29 May 2020",WikiHow Expert Review,False,major_addition,active,,671,(Integrated tips from NCA)
27634722,"14:49, 23 January 2020",FutureHow,False,adjustment,active,,0,
26655406,"09:18, 8 June 2019",Votebot,False,adjustment,reverted,Agusbou2015,0,(reordering tips and warnings based on votes)
26263228,"00:15, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
25980416,"10:18, 4 February 2019",Votebot,False,adjustment,reverted,Agusbou2015,0,(reordering tips and warnings based on votes)
25543968,"15:47, 5 November 2018",Wikivisual,False,addition,active,,409,(Saving new step-by-step photos)
25390956,"09:09, 10 October 2018",Votebot,False,adjustment,reverted,Agusbou2015,0,(reordering tips and warnings based on votes)
25279431,"03:17, 22 September 2018",Seymour Edits,False,deletion,active,,-50,"(Rewrote 2.5, split 1.5 into two parts, replaced house with home)"
25267537,"23:49, 19 September 2018",Seymour Edits,False,cleanup,active,,1454,"(Expanded steps and step titles, clarified minor points, fixed minor spelling and grammar issues, replaced weak sources)"
25251813,"05:00, 17 September 2018",Seymour Edits,False,sourcing,active,,5113,"(Divided article into parts, combined or expanded single sentence steps, added references, rewrote one or two steps for clarity)"
24974484,"21:51, 27 July 2018",Seymour Edits,False,addition,active,,143,(Added the Summary template to this article)
23663204,"09:56, 4 December 2017",Votebot,False,adjustment,reverted,Agusbou2015,0,(reordering tips and warnings based on votes)
23144669,"08:44, 2 September 2017",Votebot,False,adjustment,reverted,Agusbou2015,0,(reordering tips and warnings based on votes)
22767845,"08:41, 2 July 2017",Votebot,False,adjustment,reverted,Agusbou2015,0,(reordering tips and warnings based on votes)
22535867,"08:44, 1 June 2017",Votebot,False,adjustment,reverted,Agusbou2015,0,(reordering tips and warnings based on votes)
22321145,"08:40, 1 May 2017",Votebot,False,adjustment,reverted,Agusbou2015,0,(reordering tips and warnings based on votes)
22153923,"19:37, 31 March 2017",Votebot,False,adjustment,reverted,Agusbou2015,0,(reordering tips and warnings based on votes)
21957562,"09:53, 28 February 2017",Votebot,False,adjustment,reverted,Agusbou2015,0,(reordering tips and warnings based on votes)
21570048,"09:41, 28 December 2016",Votebot,False,adjustment,reverted,Agusbou2015,0,(reordering tips and warnings based on votes)
21406145,"09:35, 27 November 2016",Votebot,False,adjustment,reverted,Agusbou2015,0,(reordering tips and warnings based on votes)
21291796,"23:41, 6 November 2016",Flickety,False,addition,active,,17,(Switch to appropriate category)
21291774,"23:32, 6 November 2016",Flickety,False,addition,active,,36,(Add relevant sub-cat)
21291723,"23:16, 6 November 2016",Flickety,False,deletion,active,,-5,(Switch to appropriate category)
21024270,"08:34, 26 September 2016",Votebot,False,adjustment,reverted,Agusbou2015,0,(reordering tips and warnings based on votes)
20853628,"08:34, 26 August 2016",Votebot,False,adjustment,reverted,Agusbou2015,0,(reordering tips and warnings based on votes)
20656383,"08:36, 26 July 2016",Votebot,False,adjustment,reverted,Agusbou2015,0,(reordering tips and warnings based on votes)
20474111,"08:32, 25 June 2016",Votebot,False,adjustment,reverted,Agusbou2015,0,(reordering tips and warnings based on votes)
20086738,"08:50, 24 April 2016",Votebot,False,adjustment,reverted,Agusbou2015,0,(reordering tips and warnings based on votes)
19991239,"08:55, 10 April 2016",Votebot,False,adjustment,reverted,Agusbou2015,0,(reordering tips and warnings based on votes)
19919044,"22:46, 30 March 2016",172.15.173.247,False,major_addition,active,,3530,"(Added more information, safety advice, etc.)"
19507662,"09:43, 23 January 2016",Votebot,False,adjustment,reverted,Agusbou2015,0,(reordering tips and warnings based on votes)
19450613,"21:27, 16 January 2016",WikiHowUser20250924003052,False,revert,active,,-6,(RCP reverted edits by 50.69.4.182 (talk) to  revision #18909725 by Votebot)
