Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
32826814,"10:34, 2 October 2024",Seymour Edits,False,sourcing,active,,48,(Replaced bad references for wikiHaus content team)
32715238,"16:49, 12 August 2024",Hopedemi,False,revert,active,,306,(Expert Interview Section added.)
32686354,"15:09, 30 July 2024",Seymour Edits,False,addition,active,,39,(Added expert citation.)
31211026,"16:05, 28 December 2022",45.78.124.104,False,addition,active,,172,
30842606,"17:24, 3 September 2022",Seymour Edits,False,sourcing,active,,371,(Replaced bad references for wikiHaus content team)
30097508,"21:05, 28 November 2021",R2_d2000,False,revert,active,,82,(Reverted edits by 99.92.64.47 (Talk); changed back to last version by Seymour Edits)
30097505,"21:03, 28 November 2021",99.92.64.47,False,deletion,reverted,R2_d2000,-82,(hhgyghjkuyttg)
28373437,"19:34, 14 July 2020",Seymour Edits,False,sourcing,reverted,R2_d2000,-42,(Removed bad source for the wikiHaus content team)
28342038,"22:47, 5 July 2020",Eric,False,revert,active,,5454,(Reverted edits by 104.36.102.94 (Talk); changed back to last version by FoxerinaJVT)
28342009,"22:12, 5 July 2020",104.36.102.94,False,major_deletion,reverted,Eric,-5454,(gubbnjnj)
27596324,"17:26, 14 January 2020",FoxerinaJVT,False,revert,reverted,Eric,-76,(RCP reverted edits by 66.211.132.114 (talk) to  revision #26314375 by MiscBot)
27596296,"17:17, 14 January 2020",66.211.132.114,False,addition,reverted,FoxerinaJVT,76,
26314375,"04:40, 29 March 2019",MiscBot,False,sourcing,reverted,FoxerinaJVT,-11,(Updating References section name to match new sitewide conventions)
26147703,"22:30, 9 March 2019",Seymour Edits,False,addition,reverted,R2_d2000,21,(→‎Warnings:  Edit)
25937900,"10:15, 27 January 2019",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
24573226,"23:49, 14 May 2018",MiscBot,False,deletion,reverted,FoxerinaJVT,-355,(Converting summary section to the new Summary template.)
24436785,"09:11, 25 April 2018",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
