Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33230307,"21:41, 10 March 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
31096580,"18:23, 21 November 2022",Seymour Edits,False,addition,active,,350,(Updated green box.)
30812961,"08:52, 25 August 2022",Zodi,False,revert,active,,-82,(RCP reverted edits by Stiger Wang (talk) to  revision #30396991 by Seymour Edits)
30812289,"03:37, 25 August 2022",Stiger Wang,False,addition,reverted,Zodi,82,
30396991,"17:31, 18 March 2022",Seymour Edits,False,addition,reverted,Zodi,86,(Added Expert Citations for the Lookback project.)
29754680,"08:49, 24 July 2021",Votebot,False,addition,active,,1,(reordering tips and warnings based on votes)
29748297,"10:05, 21 July 2021",Nishant shrimali,False,addition,active,,41,(Adding video via video picker tool)
29746883,"16:52, 20 July 2021",Kirajan,False,major_addition,active,,726,(added 5 expert citations)
27036033,"02:11, 6 September 2019",ExoticComet,False,deletion,active,,-74,(improving apostrophe consistency)
26262235,"00:11, 29 March 2019",MiscBot,False,sourcing,active,,-9,(Updating References section name to match new sitewide conventions)
25894499,"02:34, 17 January 2019",Starlette,False,revert,active,,130,(RCP reverted edits by 73.81.224.153 (talk) to  revision #25809921 by HumanBeing)
25894474,"02:30, 17 January 2019",73.81.224.153,False,deletion,reverted,Starlette,-130,
25809921,"07:38, 27 December 2018",HumanBeing,False,revert,reverted,Starlette,-300,(RCP reverted edits by 208.59.132.152 (talk) to  revision #24881560 by WikiHow Expert Review)
25809880,"07:13, 27 December 2018",208.59.132.152,False,addition,reverted,HumanBeing,7,(→‎Warnings)
25809879,"07:13, 27 December 2018",208.59.132.152,False,adjustment,reverted,HumanBeing,0,(→‎Warnings)
25809875,"07:11, 27 December 2018",208.59.132.152,False,addition,reverted,HumanBeing,293,(→‎Warnings)
24881560,"15:02, 10 July 2018",WikiHow Expert Review,False,addition,reverted,HumanBeing,360,(Incorporating expert feedback)
24875304,"10:56, 9 July 2018",Wikivisual,False,major_addition,active,,801,(Saving new step-by-step photos)
24824785,"18:45, 28 June 2018",Seymour Edits,False,major_addition,reverted,Zodi,690,"(Copyedited, added new 2.1 about finding a good sling)"
24819682,"18:45, 27 June 2018",Seymour Edits,False,major_addition,reverted,Zodi,7247,"(Edited article into 3 methods: picking up, carrying in a sling, or using a carrier)"
20442411,"17:06, 20 June 2016",Wikivisual,False,major_addition,active,,847,(Saving new step-by-step photos)
20395234,"08:37, 12 June 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
18361341,"00:13, 3 September 2015",Donagan,False,cleanup,active,,1,(Fixing misspellings via the Spellchecker tool)
18226887,"14:10, 14 August 2015",Hibou8,False,deletion,active,,-10,(editing article via New Article Boost feature)
18226878,"14:08, 14 August 2015",Hibou8,False,addition,active,,228,(editing article via New Article Boost feature)
18221686,"20:04, 13 August 2015",J Wick,False,addition,active,,45,(categorization)
18219777,"13:53, 13 August 2015",TubularTinker,False,major_addition,active,,2944,(Creating a new article via the Article Creator)
