Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
29615248,"17:54, 1 June 2021",Chris H,False,deletion,active,,-40,(Promoting article to fully published status. Disagree? Contact me or leave a note here.)
29452958,"21:01, 15 April 2021",Chris H,False,addition,active,,40,(Moving article to quality review. Disagree? Contact me or leave a note here.)
28065195,"08:56, 3 May 2020",WikiHow Projects,False,deletion,active,,-100,(removing broken link)
27783523,"10:51, 27 February 2020",WikiHow Projects,False,deletion,active,,-108,(removing broken link)
26263344,"00:15, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
25501080,"02:18, 29 October 2018",Seymour Edits,False,addition,active,,138,(Added the Summary template to this article)
20237155,"00:48, 17 May 2016",Lojjik,False,addition,active,,173,(→‎Things You'll Need)
18451168,"08:07, 17 September 2015",Votebot,False,addition,active,,2,(reordering tips and warnings based on votes)
16641052,"05:50, 13 February 2015",WikiHow Intern,False,deletion,active,,-4,(order)
16533913,"10:10, 3 February 2015",WikiHow Intern,False,deletion,active,,-102,(removing broken link)
16338100,"16:40, 9 January 2015",Wikivisual,False,major_addition,active,,1235,(Saving new step-by-step photos)
16171137,"15:18, 17 December 2014",Painis_Cupcake_IWEY,False,cleanup,active,,1,(Fixing misspellings via the Spellchecker tool)
16158620,"23:33, 15 December 2014",Chris H,False,deletion,active,,-102,(remove dead link)
16158477,"23:23, 15 December 2014",Chris H,False,addition,active,,4,(not all codes definitely show a problem with EGR valve)
16109485,"23:15, 9 December 2014",Kasc1996,False,addition,active,,27,(categorization)
16109183,"22:16, 9 December 2014",Seymour Edits,False,adjustment,active,,0,"(→‎Thing’s You""ll Need)"
16109155,"22:09, 9 December 2014",Seymour Edits,False,addition,active,,3,(→‎Thing’s You Need)
16109135,"22:04, 9 December 2014",Seymour Edits,False,sourcing,active,,-190,"(expanded steps, added better sources)"
16073531,"15:07, 5 December 2014",Buildabearpro123,False,addition,active,,41,(categorization)
16067537,"19:29, 4 December 2014",Seymour Edits,False,sourcing,active,,4539,"(expanded into multiple parts, added more sources)"
15928297,"15:11, 18 November 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
15638251,"17:24, 15 October 2014",Bobby T,False,addition,active,,44,(Adding video via video picker tool)
13814397,"17:51, 3 June 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
13182674,"17:20, 2 April 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
12051122,"18:39, 9 December 2013",Votebot,False,deletion,active,,-4,(reordering tips and warnings based on votes)
11599171,"21:16, 29 October 2013",Votebot,False,addition,active,,4,(reordering tips and warnings based on votes)
11258025,"15:47, 29 September 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
10964383,"16:10, 30 August 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
10918183,"16:50, 25 August 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
10443353,"16:24, 11 July 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
10290086,"19:54, 25 June 2013",213.233.148.12,False,deletion,active,,-26,
9065009,"03:44, 20 January 2013",WikiHowUser20221012045502,False,addition,active,,277,(Related wikiHows)
6069776,"17:58, 25 May 2011",WikiHowUser20221012045502,False,deletion,active,,-14,(categorization)
6037642,"14:41, 20 May 2011",Jordan,False,revert,active,,-52,(Reverted edits by Deathbones26 (Talk); changed back to last version by Ron_G)
6037576,"14:18, 20 May 2011",Deathbones26,False,addition,reverted,Jordan,52,(Added Image using ImageAdder Tool)
6035664,"04:02, 20 May 2011",Ron_G,False,addition,reverted,Jordan,41,(categorization)
6016270,"07:00, 16 May 2011",WRM,False,major_addition,active,,3201,(Creating new article)
