Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34174935,"09:17, 4 April 2026",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
33540830,"01:38, 9 July 2025",Seymour Edits,False,sourcing,active,,143,(Added sources for the wikiHaus content team.)
33430594,"23:22, 27 May 2025",WikiHow Projects,False,addition,active,,76,(Adding internal link/s)
33275926,"08:47, 28 March 2025",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
33094612,"09:55, 25 January 2025",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
33022098,"09:49, 25 December 2024",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
32882849,"08:47, 24 October 2024",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
32586175,"21:08, 18 June 2024",Seymour Edits,False,revert,active,,-324,(Reverted edits by Seymour Edits (Talk); changed back to last version by Votebot)
32585909,"19:31, 18 June 2024",Seymour Edits,False,revert,reverted,Seymour Edits,324,(Updated YMAL section. Do not revert.)
32451478,"08:41, 21 April 2024",Votebot,False,adjustment,reverted,Seymour Edits,0,(reordering tips and warnings based on votes)
32117314,"12:36, 5 December 2023",WikiHow Horizon,False,deletion,active,,-61,(Removing broken links)
31753807,"22:21, 30 June 2023",Seymour Edits,False,sourcing,reverted,Seymour Edits,72,(Replaced bad references for wikiHaus content team)
31604257,"00:46, 7 May 2023",EpcotMagic,False,addition,active,,46,(Adding video via video picker tool)
31174291,"04:13, 16 December 2022",Seymour Edits,False,addition,reverted,Seymour Edits,42,(Added another expert citation)
31174287,"04:11, 16 December 2022",Seymour Edits,False,addition,reverted,Seymour Edits,271,(Added expert citation)
30981395,"23:30, 16 October 2022",Eric,False,revert,active,,-28,(Reverted edits by 122.56.171.117 (Talk); changed back to last version by EpcotMagic)
30981393,"23:26, 16 October 2022",122.56.171.117,False,addition,reverted,Eric,28,
30885331,"16:05, 17 September 2022",EpcotMagic,False,revert,reverted,Eric,-54,(Reverted edits by 136.228.203.91 (Talk); changed back to last version by ICanGuessItLol)
30884181,"06:06, 17 September 2022",136.228.203.91,False,addition,reverted,EpcotMagic,54,
30676065,"22:59, 5 July 2022",ICanGuessItLol,False,revert,reverted,EpcotMagic,-569,(Reverted edits by Kahoot!King (Talk); changed back to last version by ICanGuessItLol)
30676061,"22:58, 5 July 2022",Kahoot!King,False,revert,reverted,ICanGuessItLol,569,(RCP reverted edits by ICanGuessItLol (talk) to  revision #30675959 by Sini Saja)
30675965,"21:35, 5 July 2022",ICanGuessItLol,False,revert,reverted,EpcotMagic,-569,(Reverted edits by Sini Saja (Talk); changed back to last version by ICanGuessItLol)
30675959,"21:26, 5 July 2022",Sini Saja,False,major_addition,reverted,Kahoot!King,569,
29817986,"01:27, 19 August 2021",ICanGuessItLol,False,revert,reverted,EpcotMagic,2,(RCP reverted edits by 172.58.60.32 (talk) to  revision #28695313 by Seymour Edits)
29817629,"20:49, 18 August 2021",172.58.60.32,False,deletion,reverted,ICanGuessItLol,-2,
28695313,"04:01, 5 October 2020",Seymour Edits,False,deletion,reverted,Seymour Edits,-64,(Link cleanup.)
27933573,"08:25, 2 April 2020",Votebot,False,addition,reverted,Seymour Edits,3,(reordering tips and warnings based on votes)
27269832,"13:46, 25 October 2019",Wikivisual,False,addition,active,,30,(Saving new step-by-step photos)
27244477,"06:12, 21 October 2019",Wikivisual,False,major_addition,active,,691,(Saving new step-by-step photos)
27168924,"16:39, 3 October 2019",82.1.148.132,False,addition,active,,6,
27153681,"15:37, 30 September 2019",Seymour Edits,False,major_addition,reverted,Seymour Edits,612,"(Adding new warnings, clarifying information)"
27142422,"00:03, 28 September 2019",Seymour Edits,False,addition,reverted,Seymour Edits,126,(Updated green box.)
27142421,"00:02, 28 September 2019",Seymour Edits,False,addition,reverted,Seymour Edits,228,(Updated green box.)
27142420,"00:02, 28 September 2019",Seymour Edits,False,addition,reverted,Seymour Edits,207,(Updated green box.)
27142419,"00:02, 28 September 2019",Seymour Edits,False,sourcing,reverted,Seymour Edits,477,"(added parts, sources, and greenboxes)"
26716175,"07:53, 24 June 2019",Seymour Edits,False,sourcing,reverted,Seymour Edits,341,(Added sources for the wikihaus content team.)
24675339,"20:50, 31 May 2018",P Hills,False,deletion,active,,-1,(Quick edit while patrolling)
24674297,"17:25, 31 May 2018",207.163.34.205,False,deletion,active,,-7,
21308450,"21:24, 9 November 2016",Flickety,False,addition,active,,14,(Switch to appropriate category)
21297508,"20:51, 7 November 2016",Flickety,False,addition,active,,32,(Switch to appropriate category)
19747599,"02:20, 3 March 2016",FatemehB12,False,addition,active,,42,(categorization)
19747299,"00:36, 3 March 2016",Bambiziyi,False,revert,active,,-1480,(RCP reverted edits by BradMurphyENG3050 (talk) to  revision #19745462 by Anna)
19747291,"00:35, 3 March 2016",BradMurphyENG3050,False,major_addition,reverted,Bambiziyi,1417,
19745802,"19:27, 2 March 2016",Firey,False,addition,active,,63,(categorization)
19745462,"18:42, 2 March 2016",Anna,False,deletion,reverted,Bambiziyi,-275,(editing article via New Article Boost feature)
19744958,"17:04, 2 March 2016",BradMurphyENG3050,False,addition,reverted,Bambiziyi,97,
19744942,"16:59, 2 March 2016",BradMurphyENG3050,False,major_addition,reverted,Bambiziyi,8480,(Creating new article)
