Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33567244,"02:00, 23 July 2025",MiscBot,False,addition,active,,27,(Automatic external link checking: updating and/or deleting links that are broken)
33226802,"20:53, 10 March 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
32663912,"16:30, 19 July 2024",Wikivisual,False,addition,active,,140,(Saving new step-by-step photos)
32638095,"09:04, 9 July 2024",WikiHow Projects,False,addition,active,,16,(updating link)
32563955,"20:15, 9 June 2024",Wikivisual,False,major_addition,active,,816,(Saving new step-by-step photos)
32369758,"05:09, 18 March 2024",WikiHow Projects,False,addition,active,,31,(updating link)
31041466,"23:15, 3 November 2022",Seymour Edits,False,addition,active,,308,(Added expert citations.)
30975781,"13:37, 14 October 2022",Seymour Edits,False,addition,active,,39,(Added expert ref)
27036434,"02:28, 6 September 2019",ExoticComet,False,deletion,active,,-4,(improving apostrophe consistency)
26253058,"23:32, 28 March 2019",MiscBot,False,sourcing,active,,-9,(Updating References section name to match new sitewide conventions)
24949805,"18:51, 23 July 2018",Wikivisual,False,major_addition,active,,800,(Saving new step-by-step photos)
24949744,"18:47, 23 July 2018",Cluster Duck,False,addition,active,,20,(categorization)
24949674,"18:41, 23 July 2018",WRM,False,major_addition,active,,5752,(created article)
