Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33646606,"02:02, 30 August 2025",Seymour Edits,False,sourcing,active,,-19,(Updated a source for the wikiHaus content team.)
33453558,"22:40, 5 June 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
33217864,"10:09, 8 March 2025",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
32889271,"08:55, 27 October 2024",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
32844751,"08:47, 9 October 2024",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
32062704,"09:37, 10 November 2023",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
31907074,"08:38, 3 September 2023",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
31849704,"22:01, 9 August 2023",Seymour Edits,False,sourcing,active,,-236,(Removed and replaced bad sources for wikiHaus content team)
31754468,"08:32, 1 July 2023",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
31646029,"08:34, 21 May 2023",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
31554588,"08:27, 22 April 2023",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
31548797,"10:49, 20 April 2023",ICanGuessItLol,False,revert,active,,7,(RCP reverted edits by Muhammad Shoaib Qazi (talk) to  revision #31132725 by Votebot)
31548332,"07:19, 20 April 2023",Muhammad Shoaib Qazi,False,deletion,reverted,ICanGuessItLol,-66,
31548329,"07:17, 20 April 2023",Muhammad Shoaib Qazi,False,deletion,reverted,ICanGuessItLol,-11,
31548319,"07:14, 20 April 2023",Muhammad Shoaib Qazi,False,deletion,reverted,ICanGuessItLol,-8,
31548316,"07:13, 20 April 2023",Muhammad Shoaib Qazi,False,deletion,reverted,ICanGuessItLol,-28,
31548301,"07:07, 20 April 2023",Muhammad Shoaib Qazi,False,addition,reverted,ICanGuessItLol,106,
31132725,"09:42, 4 December 2022",Votebot,False,adjustment,reverted,ICanGuessItLol,0,(reordering tips and warnings based on votes)
31086993,"11:39, 19 November 2022",WikiHow Projects,False,addition,active,,182,(Adding internal links)
30809678,"08:52, 24 August 2022",Votebot,False,adjustment,reverted,ICanGuessItLol,0,(reordering tips and warnings based on votes)
