Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33454251,"22:52, 5 June 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
32523676,"02:04, 22 May 2024",Wikiphoto,False,deletion,active,,-132,(changing some videos to static images)
32523671,"02:04, 22 May 2024",Wikiphoto,False,deletion,active,,-74,(uploading cropped static image for 2.2)
32253211,"04:03, 2 February 2024",RedirectsBot,False,deletion,active,,-9,(Updating link to point directly to article instead of redirect)
32245055,"00:57, 30 January 2024",Seymour Edits,False,sourcing,active,,105,(Added and replaced sources for the wikiHaus content team.)
31782621,"12:35, 13 July 2023",Wikivisual,False,major_addition,active,,638,(Saving new step-by-step photos)
30873060,"00:02, 13 September 2022",JayneG,False,revert,active,,429,(Reverted edits by Winterbug (Talk); changed back to last version by Seymour Edits)
30872635,"18:57, 12 September 2022",Winterbug,False,revert,reverted,JayneG,-429,(RCP reverted edits by Seymour Edits (talk) to  revision #29034336 by Seymour Edits)
30872625,"18:51, 12 September 2022",Seymour Edits,False,addition,reverted,JayneG,429,(Added Expert Citations for the Lookback project.)
29034336,"08:37, 29 December 2020",Seymour Edits,False,major_deletion,reverted,JayneG,-563,
28953730,"17:02, 5 December 2020",CatMasterr,False,addition,active,,74,(Adding video via Video Adder tool)
27886430,"19:32, 22 March 2020",Seymour Edits,False,addition,reverted,JayneG,137,(Added the Summary template to this article)
27304577,"10:43, 2 November 2019",RubyRoseRain,False,deletion,active,,-20,
26253108,"23:32, 28 March 2019",MiscBot,False,sourcing,active,,-9,(Updating References section name to match new sitewide conventions)
26239172,"11:19, 27 March 2019",Leadora,False,revert,active,,1,(Reverted edits by UesShi (Talk); changed back to last version by 184.64.102.222)
26238917,"10:35, 27 March 2019",UesShi,False,cleanup,reverted,Leadora,-1,(Fixing misspellings via the Spellchecker tool)
26237883,"05:04, 27 March 2019",184.64.102.222,False,addition,reverted,Leadora,1,(→‎Ingredients)
24912269,"17:36, 16 July 2018",Wikivisual,False,major_addition,active,,548,(Saving new step-by-step photos)
24838895,"01:38, 2 July 2018",Lanabm,False,cleanup,active,,1,(Fixing misspellings via the Spellchecker tool)
24834343,"21:02, 30 June 2018",HisGirlFriday,False,addition,active,,196,(revisions)
24833714,"16:22, 30 June 2018",Hailey,False,addition,active,,81,(editing article via New Article Boost feature)
24833616,"15:17, 30 June 2018",Starlette,False,addition,active,,39,(categorization)
24833512,"14:32, 30 June 2018",HisGirlFriday,False,major_addition,active,,5402,(created article)
