Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
32563612,"15:31, 9 June 2024",Wikivisual,False,adjustment,active,,0,(Saving new step-by-step photos)
30984353,"12:51, 17 October 2022",Seymour Edits,False,addition,active,,169,(Added expert citations)
26788829,"13:42, 12 July 2019",Seymour Edits,False,sourcing,active,,438,(Added sources for the wikihaus content team)
26297424,"02:51, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
24513633,"09:06, 7 May 2018",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
23899548,"19:31, 21 January 2018",Wikivisual,False,addition,active,,48,(Saving new step-by-step photos)
21565804,"09:47, 27 December 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
21401698,"09:37, 26 November 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
21291991,"00:22, 7 November 2016",Flickety,False,addition,active,,15,(Switch to appropriate category)
21256188,"22:37, 31 October 2016",Flickety,False,deletion,active,,-18,(Switch to appropriate category)
18060631,"20:28, 28 July 2015",MiscBot,False,deletion,active,,-84,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17917176,"23:33, 24 July 2015",InterwikiBot,False,deletion,active,,-38,"(Removing interwiki links, no longer needed in wikitext)"
16306681,"10:21, 6 January 2015",Jeson45,False,sourcing,active,,0,(→‎Sources and Citations)
15814332,"22:06, 5 November 2014",MiscBot,False,addition,active,,13,(Adding conversion template.)
15645929,"10:27, 16 October 2014",Bobbyfrank,False,revert,active,,1,(RCP reverted edits by 123.201.101.204 (talk) to  revision #13280984 by InterwikiBot)
15645736,"10:09, 16 October 2014",123.201.101.204,False,deletion,reverted,Bobbyfrank,-1,
13280984,"16:33, 12 April 2014",InterwikiBot,False,addition,reverted,Bobbyfrank,38,(Adding interwiki link)
13226623,"16:43, 7 April 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
12753922,"17:33, 20 February 2014",Crusin56,False,addition,active,,40,(Adding video via video picker tool)
12557336,"05:41, 31 January 2014",Wikiphoto,False,addition,active,,55,(Enlarging and centering Steps photos)
12557335,"05:41, 31 January 2014",Wikiphoto,False,addition,active,,292,(Saving new step-by-step photos)
11722836,"21:16, 7 November 2013",Votebot,False,deletion,active,,-2,(reordering tips and warnings based on votes)
11519025,"22:49, 23 October 2013",Votebot,False,addition,active,,2,(reordering tips and warnings based on votes)
11244109,"20:51, 27 September 2013",IShareMahKnowledgeWisely,False,revert,active,,-25,(Reverted edits by 79.170.54.169 (Talk); changed back to last version by Votebot)
11244081,"20:45, 27 September 2013",79.170.54.169,False,addition,reverted,IShareMahKnowledgeWisely,25,(→‎Steps)
10658471,"19:59, 2 August 2013",Votebot,False,adjustment,reverted,IShareMahKnowledgeWisely,0,(reordering tips and warnings based on votes)
10509071,"15:40, 18 July 2013",Votebot,False,adjustment,reverted,IShareMahKnowledgeWisely,0,(reordering tips and warnings based on votes)
8433062,"17:06, 15 September 2012",BR,False,adjustment,active,,0,(Quick edit while patrolling)
8432600,"14:44, 15 September 2012",Gaurangprasad,False,cleanup,active,,-1,(CE and fixing spelling(s))
7762722,"05:01, 15 May 2012",Milind007,False,addition,active,,4,(Edits from the spell checker tool)
7725809,"06:48, 9 May 2012",Jeson45,False,sourcing,active,,9,(→‎Sources and Citations)
7725805,"06:47, 9 May 2012",Jeson45,False,addition,active,,43,
7723127,"22:17, 8 May 2012",Krystle,False,deletion,active,,-131,(editing article via New Article Boost feature)
7708339,"17:15, 6 May 2012",Laura0681,False,addition,active,,44,(categorization)
7700353,"11:20, 5 May 2012",Jeson45,False,addition,active,,436,(→‎Steps)
7700348,"11:19, 5 May 2012",Jeson45,False,sourcing,active,,58,(→‎Sources and Citations)
7700338,"11:17, 5 May 2012",Jeson45,False,sourcing,active,,21,(→‎Sources and Citations)
7700328,"11:15, 5 May 2012",Jeson45,False,addition,active,,268,
7700304,"11:08, 5 May 2012",Jeson45,False,addition,active,,287,
7700295,"11:07, 5 May 2012",Jeson45,False,addition,active,,193,(→‎Tips)
7700288,"11:06, 5 May 2012",Jeson45,False,major_addition,active,,2138,(Creating a new article (HTML5))
