Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34158042,"22:41, 24 March 2026",Adam909,False,deletion,active,,-5,
34089381,"18:09, 19 February 2026",MiscBot,False,deletion,active,,-214,(Removing Related Articles section)
34073420,"00:54, 19 February 2026",MiscBot,False,revert,active,,215,(Reverting the Related Articles section removal)
34057486,"17:41, 18 February 2026",MiscBot,False,deletion,active,,-215,(Removing Related Articles section)
32755949,"23:57, 1 September 2024",Seymour Edits,False,sourcing,active,,0,(Replaced bad references for wikiHaus content team)
32744537,"23:09, 27 August 2024",SkiC,False,revert,active,,6753,(RCP reverted edits by 38.86.199.17 (talk) to  revision #32602145 by MiscBot)
32744479,"22:21, 27 August 2024",38.86.199.17,False,major_deletion,reverted,SkiC,-6786,(Removing all content from page)
32744476,"22:20, 27 August 2024",38.86.199.17,False,addition,reverted,SkiC,33,
32602145,"17:28, 24 June 2024",MiscBot,False,adjustment,reverted,SkiC,0,(Convert Reader Videos to new template)
32449635,"00:53, 20 April 2024",Alabaster,False,revert,active,,-24,(RCP reverted edits by 206.57.166.180 (talk) to  revision #32439781 by WikiHow Projects)
32448839,"16:18, 19 April 2024",206.57.166.180,False,addition,reverted,Alabaster,24,
32439781,"12:46, 16 April 2024",WikiHow Projects,False,addition,reverted,Alabaster,45,
32417053,"18:19, 5 April 2024",WikiHow Projects,False,addition,reverted,Alabaster,20,
32417050,"18:16, 5 April 2024",WikiHow Projects,False,addition,reverted,Alabaster,112,(Adding internal links)
32324922,"17:54, 28 February 2024",FlowerPower555,False,revert,active,,6514,(Reverted edits by 205.167.55.83 (Talk); changed back to last version by SkiC)
32324912,"17:49, 28 February 2024",205.167.55.83,False,major_deletion,reverted,FlowerPower555,-6514,(yokai)
32310516,"00:00, 23 February 2024",SkiC,False,revert,reverted,FlowerPower555,6576,(RCP reverted edits by 71.34.2.186 (talk) to  revision #31812786 by WikiHow Projects)
32310442,"23:31, 22 February 2024",71.34.2.186,False,major_deletion,reverted,SkiC,-6576,(hi)
31812786,"01:47, 26 July 2023",WikiHow Projects,False,deletion,reverted,Alabaster,-90,(updating link)
31606893,"03:02, 8 May 2023",73.22.166.223,False,addition,active,,1,
31606891,"03:02, 8 May 2023",73.22.166.223,False,deletion,active,,-1,
