Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33717392,"06:51, 6 October 2025",Bhoimus,False,revert,active,,5783,(Reverted edits by Koshishsolar (Talk); changed back to last version by MiscBot)
33717387,"06:46, 6 October 2025",Koshishsolar,False,major_deletion,reverted,Bhoimus,-5783,
33435001,"07:02, 29 May 2025",MiscBot,False,deletion,reverted,Bhoimus,-110,(Automatic external link checking: updating and/or deleting links that are broken)
33140013,"19:22, 10 February 2025",Tiagoroth,False,revert,active,,-53,(RCP reverted edits by Gazingstock (talk) to  revision #32909624 by Bhoimus)
33139974,"18:49, 10 February 2025",Gazingstock,False,addition,reverted,Tiagoroth,53,
32909624,"13:43, 5 November 2024",Bhoimus,False,revert,reverted,Tiagoroth,8,(RCP reverted edits by Adelaideslement3432 (talk) to  revision #32164215 by Agusbou2015)
32909623,"13:40, 5 November 2024",Ayame_thestorm,False,deletion,active,,-6,(Quick edit while patrolling)
32909088,"07:55, 5 November 2024",139.135.55.218,False,deletion,active,,-2,
32164215,"18:57, 26 December 2023",Agusbou2015,False,revert,reverted,Bhoimus,-32,(RCP reverted edits by Solar wholesalers (talk) to  revision #31980813 by WikiHow Projects)
32164186,"18:32, 26 December 2023",Solar wholesalers,False,addition,reverted,Agusbou2015,32,
31980813,"14:28, 5 October 2023",WikiHow Projects,False,addition,reverted,Agusbou2015,192,(updating link)
31409373,"19:09, 4 March 2023",Seymour Edits,False,sourcing,active,,-76,(Replaced bad references for wikiHaus content team)
31404400,"01:29, 3 March 2023",Seymour Edits,False,sourcing,active,,-176,(Replaced bad references for wikiHaus content team)
31358831,"19:03, 15 February 2023",R2_d2000,False,revert,active,,9098,(Reverted edits by Alizah (Talk); changed back to last version by Loiswade42)
31358780,"18:39, 15 February 2023",Alizah,False,major_deletion,reverted,R2_d2000,-9098,
29641095,"10:37, 9 June 2021",Loiswade42,False,revert,reverted,R2_d2000,1392,(RCP reverted edits by Unrivaledsolar (talk) to  revision #29611448 by Seymour Edits)
29641071,"10:13, 9 June 2021",Unrivaledsolar,False,major_deletion,reverted,Loiswade42,-1392,(Residential Solar Supplier Pasadena TX)
29611448,"16:13, 31 May 2021",Seymour Edits,False,addition,reverted,Loiswade42,146,(Added expert ref back into article)
29611439,"16:08, 31 May 2021",Seymour Edits,False,deletion,reverted,Loiswade42,-311,(Moved expert refs to Q&A)
29317808,"11:09, 11 March 2021",Seasalt25,False,revert,active,,10570,(RCP reverted edits by Tetweigeng (talk) to  revision #28894778 by ICanGuessItLol)
29317567,"09:31, 11 March 2021",Tetweigeng,False,addition,reverted,Seasalt25,23,
29317554,"09:26, 11 March 2021",Tetweigeng,False,major_deletion,reverted,Seasalt25,-10593,"(Replacing page with '  First, solar silicon panels. Select the size of the [solar panel] according to the use area or brightness requirements.  How to install solar lamp by yourself   And then w...')"
28894778,"12:25, 20 November 2020",ICanGuessItLol,False,revert,reverted,Seasalt25,3894,(RCP reverted edits by Utlsolar (talk) to  revision #28614939 by Kitkat07)
28894703,"11:16, 20 November 2020",Utlsolar,False,major_deletion,reverted,ICanGuessItLol,-3894,
28614939,"17:18, 14 September 2020",Kitkat07,False,revert,reverted,ICanGuessItLol,400,(Adding interview info/references)
28271518,"21:40, 20 June 2020",Artsy Koala,False,revert,active,,-1,(RCP reverted edits by Nnamdi abdullahi (talk) to  revision #28103833 by Dean Ding)
28271324,"20:33, 20 June 2020",Nnamdi abdullahi,False,addition,reverted,Artsy Koala,1,
28103833,"20:52, 11 May 2020",Dean Ding,False,addition,reverted,Artsy Koala,4,
28103831,"20:50, 11 May 2020",XxVxX,False,revert,active,,-132,(RCP reverted edits by Dean Ding (talk) to  revision #27807743 by Caitlynn L)
28103820,"20:46, 11 May 2020",Dean Ding,False,addition,reverted,Artsy Koala,132,
27807743,"16:18, 3 March 2020",Caitlynn L,False,major_addition,reverted,XxVxX,8799,(restoring to last good edit)
27806265,"06:03, 3 March 2020",HumanBeing,False,addition,active,,29,(Quick edit while patrolling)
27806250,"05:56, 3 March 2020",JustJellyKelly,False,addition,active,,26,(categorization)
27806215,"05:34, 3 March 2020",ASD Commercial solar,False,major_deletion,active,,-8854,"(There’s no way around the fact that sustainable development is needed to create a greener, healthier environment. Although solar power has many advantages than expectations and is one of the most beneficial and effective types of renewable energy, not enough people are aware of this, they can save thousands of $ on the electricity bill.)"
27154162,"17:01, 30 September 2019",Wikivisual,False,major_addition,active,,637,(Saving new step-by-step photos)
26765465,"04:52, 6 July 2019",WikiHowUser20201229182321,False,deletion,active,,-43,(Edit via Quality Guardian: Removed video that didn't perfectly match the text.)
26763773,"16:16, 5 July 2019",CB1000,False,addition,active,,45,(Adding video via video picker tool)
26760792,"16:08, 4 July 2019",Seymour Edits,False,major_deletion,reverted,Loiswade42,-616,(streamlined warnings throughout)
26749537,"09:50, 2 July 2019",Warp Infinity 8,False,addition,active,,33,(categorization)
26748334,"03:19, 2 July 2019",WRM,False,major_addition,active,,11265,(new article)
