Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33857826,"16:55, 26 November 2025",Seymour Edits,False,sourcing,active,,270,(Added references for wikiHaus content team)
33176356,"18:04, 24 February 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
33138195,"11:36, 10 February 2025",WikiHow Projects,False,addition,active,,60,(Adding internal link/s)
32793058,"00:36, 19 September 2024",WikiHow Horizon 3,False,addition,active,,42,(Adding video via Video Adder tool)
32746964,"15:28, 28 August 2024",WikiHow Horizon 3,False,addition,active,,1,(http ► https)
32512020,"15:46, 16 May 2024",WikiHow Intern,False,revert,active,,0,(Reverting Images for STU)
32460496,"20:24, 24 April 2024",Wikivisual,False,adjustment,active,,0,(Saving new step-by-step photos)
32429500,"18:14, 11 April 2024",WikiHow Horizon,False,addition,active,,51,(Updated link/s)
32395744,"09:44, 28 March 2024",WikiHow Projects,False,addition,active,,17,(updating link)
32074230,"22:41, 15 November 2023",Seymour Edits,False,deletion,active,,-280,(removed bad refs for wikiHaus content team)
32060179,"01:38, 9 November 2023",Seymour Edits,False,sourcing,active,,-262,(Removed and replaced bad sources for wikiHaus content team)
32054551,"15:26, 6 November 2023",Wikivisual,False,addition,active,,69,(Saving new step-by-step photos)
31646810,"18:46, 21 May 2023",Thomas_Ch,False,revert,active,,305,(Expert Interview Section added.)
31624118,"18:03, 13 May 2023",Seymour Edits,False,addition,active,,39,(Added expert citation)
31428852,"08:53, 11 March 2023",WikiHow Projects,False,deletion,active,,-15,(updating link)
31001916,"13:00, 23 October 2022",WikiHow Projects,False,addition,active,,4,(updating link)
29886561,"01:12, 15 September 2021",MiscBot,False,deletion,active,,-7,(Automatic category consolidation.)
28665656,"19:04, 27 September 2020",Seymour Edits,False,sourcing,active,,-80,(Removed bad source for the wikiHaus content team)
28665650,"18:59, 27 September 2020",Seymour Edits,False,sourcing,active,,-62,(Removed bad source for the wikiHaus content team)
28167774,"00:43, 27 May 2020",WikiHaus Trainee,False,addition,active,,43,(Adding relevant wikihow link)
27809375,"01:34, 4 March 2020",WikiHow Projects,False,deletion,active,,-301,(removing broken link)
26317299,"04:57, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
25623413,"00:04, 20 November 2018",Seymour Edits,False,addition,active,,136,(Added the Summary template to this article)
24341154,"15:33, 7 April 2018",WikiHow Projects,False,deletion,active,,-228,(removing broken link)
23884124,"18:06, 18 January 2018",WikiHow Intern,False,deletion,active,,-1,(Change to appropriate sub-category)
22329365,"08:50, 2 May 2017",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
21809643,"15:46, 6 February 2017",Wikivisual,False,major_addition,active,,623,(Saving new step-by-step photos)
21484413,"04:14, 11 December 2016",Seymour Edits,False,addition,active,,230,(added clarifications)
21479559,"03:36, 10 December 2016",Seymour Edits,False,cleanup,active,,8348,"(Expanded content into multiple parts, added specific examples to illustrate steps, added content and sourcing, edited for grammar and accuracy, improved flow/writing)"
18056639,"19:43, 28 July 2015",MiscBot,False,deletion,active,,-168,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17915641,"23:05, 24 July 2015",InterwikiBot,False,deletion,active,,-140,"(Removing interwiki links, no longer needed in wikitext)"
16580713,"17:46, 6 February 2015",MiscBot,False,cleanup,active,,-1,(Correcting spelling and/or grammar.)
15563572,"18:47, 7 October 2014",InterwikiBot,False,addition,active,,64,(Adding interwiki link)
15510516,"18:59, 1 October 2014",InterwikiBot,False,addition,active,,36,(Adding interwiki link)
15501272,"19:03, 30 September 2014",InterwikiBot,False,addition,active,,40,(Adding interwiki link)
14514193,"16:00, 12 August 2014",Wikivisual,False,addition,active,,95,(Enlarging and centering Steps photos)
14514192,"16:00, 12 August 2014",Wikivisual,False,major_addition,active,,604,(Saving new step-by-step photos)
14076488,"01:56, 30 June 2014",Ritwik.21singh,False,addition,active,,33,(categorization)
14074991,"20:26, 29 June 2014",BR,False,revert,active,,-39,(Reverted edits by Hang Nguyen (Talk); changed back to last version by WRM)
14050141,"20:36, 26 June 2014",Hang Nguyen,False,addition,reverted,BR,39,(categorization)
14036844,"21:23, 25 June 2014",WRM,False,revert,reverted,BR,2842,"(New page: Ceiling fans can wear over time, requiring them to be taken down for routine maintenance. If your ceiling fans starts making a lot of noise, the oil reservoir may be too low for optimal...)"
