Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33535285,"01:01, 7 July 2025",MiscBot,False,addition,active,,11,(Automatic external link checking: updating and/or deleting links that are broken)
31104310,"19:01, 24 November 2022",Seymour Edits,False,addition,active,,120,(Added expert citations)
30515666,"17:11, 4 May 2022",Wikivisual,False,adjustment,active,,0,(Saving new step-by-step photos)
30492451,"13:41, 25 April 2022",Wikivisual,False,addition,active,,99,(Saving new step-by-step photos)
29894143,"06:18, 16 September 2021",MiscBot,False,addition,active,,6,(Automatic category consolidation.)
27626915,"20:52, 21 January 2020",Seymour Edits,False,addition,active,,70,
26286509,"02:02, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
24004218,"10:43, 9 February 2018",WikiHow Intern,False,deletion,active,,-6,(Change to appropriate sub-category)
23541389,"02:07, 12 November 2017",Artemi7,False,revert,active,,52,(RCP reverted edits by 41.250.42.22 (talk) to  revision #21255514 by Flickety)
23541251,"00:47, 12 November 2017",41.250.42.22,False,deletion,reverted,Artemi7,-52,
21255514,"20:23, 31 October 2016",Flickety,False,deletion,reverted,Artemi7,-46,"(Drop one sub-cat, it's in its most relevant cat now)"
19347455,"01:58, 9 January 2016",RelatedWikihowsBot,False,deletion,active,,-22,(Removing redundant wikitext from Related wikiHows section)
18182868,"08:51, 8 August 2015",WikiHow Intern,False,deletion,active,,-168,(removing broken link)
18085402,"03:30, 29 July 2015",MiscBot,False,deletion,active,,-154,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
16582587,"17:58, 6 February 2015",MiscBot,False,cleanup,active,,-1,(Correcting spelling and/or grammar.)
14203666,"20:33, 11 July 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
12419472,"18:28, 16 January 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
11822417,"17:35, 17 November 2013",Votebot,False,deletion,active,,-3,(reordering tips and warnings based on votes)
11600631,"21:33, 29 October 2013",Votebot,False,addition,active,,3,(reordering tips and warnings based on votes)
11403345,"16:14, 14 October 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
10712015,"03:38, 7 August 2013",MiscBot,False,deletion,active,,-14,(Removing nointroimg template)
10148251,"05:43, 11 June 2013",Wikiphoto,False,addition,active,,14,(Adding {{nointroimg}} template and removing intro images)
10103799,"20:51, 6 June 2013",Wikiphoto,False,addition,active,,100,(Enlarging and centering Steps photos)
10103796,"20:51, 6 June 2013",Wikiphoto,False,major_addition,active,,525,(Saving new step-by-step photos)
9920243,"16:24, 17 May 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
9800651,"17:08, 4 May 2013",Votebot,False,deletion,active,,-1,(reordering tips and warnings based on votes)
7222404,"18:03, 1 February 2012",Egle Maciulyte,False,addition,active,,50,(Edit via Image Picker: Added an image)
6626402,"17:37, 13 September 2011",66.223.179.238,False,addition,active,,80,(→‎Steps)
6419775,"23:06, 29 July 2011",Wendy Weaver,False,addition,active,,67,(Weaving the web of links)
6084441,"22:13, 27 May 2011",Ir1337,False,addition,active,,77,(categorization)
5971524,"12:00, 6 May 2011",WRM,False,major_addition,active,,4677,(Creating new article)
