Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33764729,"17:01, 19 October 2025",MiscBot,False,deletion,active,,-19,(Automatic external link checking: updating and/or deleting links that are broken)
33645043,"07:01, 29 August 2025",MiscBot,False,deletion,active,,-95,(Automatic external link checking: updating and/or deleting links that are broken)
31197552,"15:59, 23 December 2022",WikiHow Projects,False,deletion,active,,-69,(removing broken link)
29911159,"18:05, 21 September 2021",Seymour Edits,False,deletion,active,,-418,(expert QA update)
29593095,"23:11, 25 May 2021",Chris H,False,deletion,active,,-40,(Promoting article to fully published status. Disagree? Contact me or leave a note here.)
29449821,"19:37, 15 April 2021",Chris H,False,addition,active,,41,(Moving article to quality review. Disagree? Contact me or leave a note here.)
28949457,"12:53, 4 December 2020",ICanGuessItLol,False,revert,active,,131,(Reverted edits by TASNIM TANHA (Talk); changed back to last version by Seymour Edits)
28949147,"10:52, 4 December 2020",TASNIM TANHA,False,revert,reverted,ICanGuessItLol,-131,(RCP reverted edits by Seymour Edits (talk) to  revision #26295350 by MiscBot)
28948871,"09:19, 4 December 2020",Seymour Edits,False,addition,reverted,ICanGuessItLol,131,(Adding expert citations)
26295350,"02:42, 29 March 2019",MiscBot,False,sourcing,reverted,TASNIM TANHA,-9,(Updating References section name to match new sitewide conventions)
26203551,"00:36, 20 March 2019",WikiHow Expert Review,False,deletion,active,,-12,(Updated green box.)
26203550,"00:36, 20 March 2019",WikiHow Expert Review,False,addition,active,,430,(Updated green box.)
26002095,"08:24, 8 February 2019",Vidbot,False,deletion,active,,-41,(Removing unavailable video from article)
23209191,"22:00, 13 September 2017",Wikiphoto,False,deletion,active,,-45,(Removed incorrect image)
22722215,"00:28, 27 June 2017",RelatedWikihowsBot,False,deletion,active,,-55,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
21692756,"14:11, 18 January 2017",Wikivisual,False,major_addition,active,,636,(Saving new step-by-step photos)
21602644,"23:07, 3 January 2017",Seymour Edits,False,adjustment,reverted,ICanGuessItLol,0,(moved video before tips)
21602617,"23:01, 3 January 2017",Seymour Edits,False,sourcing,reverted,ICanGuessItLol,11289,"(expanded into multiple parts, added references)"
20789098,"03:57, 18 August 2016",Stub Bot,False,addition,active,,24,(Marking as stub because this article does not appear complete enough to be helpful to readers. Disagree? Leave a note here.)
20589822,"22:03, 14 July 2016",Cekelley,False,addition,active,,40,(Adding video via video picker tool)
19318546,"23:16, 8 January 2016",RelatedWikihowsBot,False,deletion,active,,-34,(Removing redundant wikitext from Related wikiHows section)
18410313,"18:53, 10 September 2015",Anna,False,revert,active,,-55,(Reverted edits by Homerenovations (Talk); changed back to last version by MiscBot)
18410290,"18:50, 10 September 2015",Homerenovations,False,addition,reverted,Anna,55,
18053686,"19:16, 28 July 2015",MiscBot,False,deletion,reverted,TASNIM TANHA,-84,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17913977,"22:31, 24 July 2015",InterwikiBot,False,deletion,active,,-76,"(Removing interwiki links, no longer needed in wikitext)"
15595893,"19:21, 10 October 2014",InterwikiBot,False,addition,active,,41,(Adding interwiki link)
13597726,"01:04, 14 May 2014",Ttrimm,False,addition,active,,91,(Adding related wikihow from NAB)
13303056,"02:40, 15 April 2014",Wikivisual,False,addition,active,,49,(Enlarging and centering Steps photos)
13303055,"02:40, 15 April 2014",Wikivisual,False,addition,active,,300,(Saving new step-by-step photos)
5637022,"20:05, 18 February 2011",WikiHow Traduce,False,addition,active,,35,
5224046,"17:52, 3 November 2010",Carolyn Barratt,False,addition,active,,48,(categorization)
5223849,"17:18, 3 November 2010",WRM,False,major_addition,active,,2953,(Creating new article)
