Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33886645,"10:25, 9 December 2025",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
33377469,"09:01, 6 May 2025",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
32873981,"08:51, 21 October 2024",Wikivisual,False,addition,active,,280,(Saving new step-by-step photos)
32842904,"15:28, 8 October 2024",Seymour Edits,False,deletion,active,,-8,
32842903,"15:27, 8 October 2024",Seymour Edits,False,addition,active,,238,(Reviewer polish)
32840663,"19:38, 7 October 2024",Seymour Edits,False,deletion,active,,-12,(Adding the article id)
32840662,"19:38, 7 October 2024",Seymour Edits,False,major_addition,active,,3036,(Revision of a preexisting article.)
32697396,"06:35, 5 August 2024",WikiHow Projects,False,addition,active,,52,(Adding video via Video Adder tool)
32446947,"00:16, 19 April 2024",MiscBot,False,deletion,active,,-52,(Celebrity Green boxes converted to use new format)
32237677,"17:01, 26 January 2024",WikiHow Projects,False,addition,active,,471,(Updated green box.)
31738269,"01:47, 26 June 2023",Seymour Edits,False,sourcing,active,,11,(Replaced sources for the wikiHaus content team.)
31266574,"09:56, 16 January 2023",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
30594367,"08:53, 3 June 2022",Votebot,False,addition,active,,2,(reordering tips and warnings based on votes)
29999536,"18:50, 22 October 2021",XxVxX,False,revert,active,,10026,(RCP reverted edits by 63.246.153.164 (talk) to  revision #29763636 by Votebot)
29999404,"18:08, 22 October 2021",63.246.153.164,False,major_deletion,reverted,XxVxX,-8395,(Removing all content from page)
29999399,"18:07, 22 October 2021",63.246.153.164,False,major_deletion,reverted,XxVxX,-1631,
29763636,"08:56, 28 July 2021",Votebot,False,addition,reverted,XxVxX,2,(reordering tips and warnings based on votes)
28315357,"16:46, 29 June 2020",Wikivisual,False,adjustment,active,,0,(Saving new step-by-step photos)
28267341,"14:41, 19 June 2020",Wikivisual,False,addition,active,,40,(Saving new step-by-step photos)
28247226,"13:51, 14 June 2020",Wikivisual,False,addition,active,,423,(Saving new step-by-step photos)
28194643,"03:27, 2 June 2020",WikiHow Projects,False,addition,active,,184,(Added Images)
28189059,"21:33, 31 May 2020",Seymour Edits,False,sourcing,active,,822,"(Replaced sources, added substeps, revised steps and substeps, edited intro)"
28172318,"00:06, 28 May 2020",Ruah,False,addition,active,,36,(categorization)
28172040,"21:56, 27 May 2020",WRM,False,major_addition,active,,8519,(Created new article.)
