Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33231311,"21:54, 10 March 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
33116558,"09:25, 3 February 2025",WikiHow Projects,False,deletion,active,,-67,(removing broken link)
33116531,"09:21, 3 February 2025",WikiHow Projects,False,deletion,active,,-16,(updating link)
32823717,"03:56, 1 October 2024",WikiHow Projects,False,deletion,active,,-74,(removing broken link)
30234666,"17:22, 24 January 2022",SkiC,False,addition,active,,2,(Quick edit while patrolling)
30234654,"17:18, 24 January 2022",44.200.206.66,False,addition,active,,24,
29523556,"10:54, 6 May 2021",RelatedWikihowsBot,False,deletion,active,,-81,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
28623474,"06:00, 17 September 2020",Seymour Edits,False,deletion,active,,-67,(Link cleanup.)
27302922,"22:14, 1 November 2019",RubyRoseRain,False,revert,active,,238,(Reverted edits by MandyGreenwald (Talk); changed back to last version by Britte)
27302664,"20:41, 1 November 2019",MandyGreenwald,False,revert,reverted,RubyRoseRain,-238,(RCP reverted edits by Britte (talk) to  revision #26941221 by Votebot)
27302651,"20:39, 1 November 2019",Britte,False,addition,reverted,RubyRoseRain,238,
26941221,"09:59, 13 August 2019",Votebot,False,adjustment,reverted,MandyGreenwald,0,(reordering tips and warnings based on votes)
26412897,"19:34, 12 April 2019",Seymour Edits,False,sourcing,active,,490,(Added sources for the wikihaus content team)
25162776,"06:35, 30 August 2018",Seymour Edits,False,addition,active,,132,(Added the Summary template to this article)
24071424,"17:56, 20 February 2018",Wikivisual,False,adjustment,active,,0,(Saving new step-by-step photos)
24010381,"15:11, 10 February 2018",Wikivisual,False,addition,active,,297,(Saving new step-by-step photos)
22736617,"04:04, 27 June 2017",RelatedWikihowsBot,False,deletion,active,,-37,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
20994429,"23:38, 20 September 2016",Flickety,False,adjustment,active,,0,(Header fix)
20994426,"23:37, 20 September 2016",Flickety,False,deletion,active,,-16,(Switch to appropriate category)
19402511,"04:45, 12 January 2016",RelatedWikihowsBot,False,deletion,active,,-98,(Removing redundant wikitext from Related wikiHows section)
19161907,"10:48, 30 December 2015",Bobbyfrank,False,revert,active,,1,(RCP reverted edits by Adit Seth (talk) to  revision #19105946 by Natalie Tellechea)
19161399,"09:41, 30 December 2015",Adit Seth,False,cleanup,reverted,Bobbyfrank,-1,(Fixing misspellings via the Spellchecker tool)
19105946,"16:13, 21 December 2015",Firey,False,revert,reverted,Bobbyfrank,13878,(RCP reverted edits by 84.13.102.249 (talk) to  revision #18110170 by MiscBot)
19105940,"16:12, 21 December 2015",84.13.102.249,False,major_deletion,reverted,Firey,-13870,(Have sex with them)
19105932,"16:10, 21 December 2015",84.13.102.249,False,deletion,reverted,Firey,-8,(ke2)
18110170,"15:24, 29 July 2015",MiscBot,False,deletion,reverted,Firey,-462,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17982287,"07:27, 28 July 2015",InterwikiBot,False,deletion,active,,-174,"(Removing interwiki links, no longer needed in wikitext)"
17852231,"21:00, 20 July 2015",MiscBot,False,cleanup,reverted,Firey,2,(Correcting spelling and/or grammar.)
17413216,"23:17, 24 May 2015",Yepadep,False,cleanup,active,,-1,(Fixing misspellings via the Spellchecker tool)
