Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33643615,"15:08, 28 August 2025",WikiHow Projects,False,deletion,active,,-62,(updating link)
33028275,"02:54, 29 December 2024",Seymour Edits,False,addition,active,,210,(Added expert citations.)
27044454,"18:17, 6 September 2019",ExoticComet,False,deletion,active,,-56,(improving apostrophe consistency)
26822797,"23:28, 21 July 2019",Seymour Edits,False,addition,active,,135,(Added the Summary template to this article)
26637146,"17:43, 3 June 2019",McDonalds1,False,revert,active,,-50,(RCP reverted edits by Perry Sprague (talk) to  revision #26329092 by MiscBot)
26637119,"17:33, 3 June 2019",Perry Sprague,False,addition,reverted,McDonalds1,50,(Adding video via Video Adder tool)
26329092,"06:02, 29 March 2019",MiscBot,False,sourcing,reverted,McDonalds1,-11,(Updating References section name to match new sitewide conventions)
26244573,"09:57, 28 March 2019",Aaron Forster Jones,False,addition,active,,37,"(→‎Steps:  Included countries outside the US in the ""Understanding Your Rights and Collecting Evidence"" section)"
26127246,"10:33, 5 March 2019",EpcotMagic,False,addition,active,,20,(categorization)
26126861,"09:06, 5 March 2019",CategoryGuardian,False,deletion,active,,-20,"(Removing category that seems to be a poor fit, based on votes from the Category Guardian)"
26069669,"21:48, 21 February 2019",WikiHow Projects,False,major_deletion,active,,-522,(removing broken links)
24514798,"12:40, 7 May 2018",Wikivisual,False,major_addition,active,,621,(Saving new step-by-step photos)
24286379,"02:58, 28 March 2018",Seymour Edits,False,major_addition,active,,617,(Incorporating audit feedback)
24236788,"20:51, 19 March 2018",Seymour Edits,False,addition,active,,3,
24230072,"13:23, 18 March 2018",Darkuss,False,cleanup,active,,1,(Fixing misspellings via the Spellchecker tool)
24227627,"23:17, 17 March 2018",WRM,False,major_addition,active,,8359,(Wrote article)
