Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34095879,"19:35, 19 February 2026",MiscBot,False,deletion,active,,-42,(Removing Related Articles section)
34080233,"02:35, 19 February 2026",MiscBot,False,revert,active,,104,(Reverting the Related Articles section removal)
34064372,"19:25, 18 February 2026",MiscBot,False,deletion,active,,-104,(Removing Related Articles section)
33048081,"20:42, 6 January 2025",Hopedemi,False,revert,active,,291,(Expert Interview Section added.)
32980013,"19:39, 5 December 2024",Seymour Edits,False,addition,active,,78,(Added expert citations)
31376987,"09:43, 21 February 2023",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
30888678,"08:40, 19 September 2022",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
29889044,"01:27, 15 September 2021",MiscBot,False,deletion,active,,-3,(Automatic category consolidation.)
27652750,"11:18, 28 January 2020",Seymour Edits,False,sourcing,active,,241,(Added sources and a reflist for the wikiHaus content team.)
26496368,"08:32, 2 May 2019",RelatedWikihowsBot,False,deletion,active,,-32,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
26297643,"02:52, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
25995577,"03:18, 7 February 2019",WikiHow Projects,False,deletion,active,,-130,(removing broken link)
23879405,"05:28, 18 January 2018",WikiHow Intern,False,deletion,active,,-16,(Change to appropriate sub-category)
22727387,"00:45, 27 June 2017",RelatedWikihowsBot,False,deletion,active,,-58,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
19346956,"01:54, 9 January 2016",RelatedWikihowsBot,False,deletion,active,,-110,(Removing redundant wikitext from Related wikiHows section)
19126378,"15:46, 24 December 2015",Wikiphoto,False,major_addition,active,,758,(Adding gifs to videos.)
18471099,"08:39, 20 September 2015",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
17923277,"01:38, 25 July 2015",InterwikiBot,False,deletion,active,,-41,"(Removing interwiki links, no longer needed in wikitext)"
17575660,"18:35, 10 June 2015",Vidbot,False,addition,active,,46,(restoring removed video)
17553899,"10:51, 8 June 2015",Vidbot,False,deletion,active,,-46,(Removing unavailable video from article)
17383885,"15:40, 20 May 2015",Wikivisual,False,major_addition,active,,662,(Saving new step-by-step photos)
16028517,"12:28, 30 November 2014",WikiHow Intern,False,deletion,active,,-143,(removing broken link)
15740970,"08:14, 28 October 2014",Durgaj4u,False,addition,active,,45,(Adding video via video picker tool)
13978335,"18:06, 19 June 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
13340223,"17:18, 17 April 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
13225670,"16:21, 7 April 2014",InterwikiBot,False,addition,active,,40,(Adding interwiki link)
12675977,"09:42, 13 February 2014",Wikiphoto,False,addition,active,,64,(Enlarging and centering Steps photos)
12675976,"09:42, 13 February 2014",Wikiphoto,False,addition,active,,327,(Saving new step-by-step photos)
9359973,"10:58, 7 March 2013",BR,False,revert,active,,-717,(Reverted edits by Earth Boy (Talk); changed back to last version by Earthquake expert)
9359111,"07:06, 7 March 2013",Earth Boy,False,addition,reverted,BR,171,(→‎Steps)
9359017,"06:46, 7 March 2013",Earth Boy,False,sourcing,reverted,BR,-7,(→‎Sources and Citations)
9359016,"06:45, 7 March 2013",Earth Boy,False,sourcing,reverted,BR,100,(→‎Sources and Citations)
9359013,"06:43, 7 March 2013",Earth Boy,False,addition,reverted,BR,179,(→‎Steps)
9358993,"06:38, 7 March 2013",Earth Boy,False,addition,reverted,BR,274,(→‎Steps)
8458574,"03:43, 21 September 2012",Earthquake expert,False,revert,reverted,BR,-77,(Reverted edits by 98.108.233.72 (Talk); changed back to last version by Earthquake expert)
8458566,"03:41, 21 September 2012",98.108.233.72,False,addition,reverted,Earthquake expert,77,"(Stop changing my edits back, they're wonderful.)"
8458557,"03:39, 21 September 2012",Earthquake expert,False,revert,reverted,BR,-117,(Reverted edits by 98.108.233.72 (Talk); changed back to last version by Stella123)
8458555,"03:38, 21 September 2012",98.108.233.72,False,addition,reverted,Earthquake expert,117,(→‎Steps)
8249608,"14:58, 12 August 2012",Stella123,False,addition,reverted,Earthquake expert,52,(Edit via Image Picker: Added an image)
6926249,"20:37, 25 November 2011",Maniac,False,addition,active,,245,(Related wikiHows)
6146782,"11:51, 6 June 2011",Harri,False,addition,active,,42,(categorization)
6139530,"06:00, 5 June 2011",WRM,False,major_addition,active,,3153,(Creating new article)
