Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
32735112,"03:53, 23 August 2024",MiscBot,False,deletion,active,,-62,(Removed broken YouTube video)
32715235,"16:49, 12 August 2024",Hopedemi,False,revert,active,,306,(Expert Interview Section added.)
32686256,"14:51, 30 July 2024",Seymour Edits,False,addition,active,,69,(Added expert citation.)
30273896,"10:17, 6 February 2022",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
30259368,"17:54, 31 January 2022",Ranthord,False,addition,active,,62,(Adding video via video picker tool)
28710427,"09:41, 8 October 2020",RelatedWikihowsBot,False,deletion,active,,-45,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
27053584,"10:09, 9 September 2019",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
26923213,"09:59, 9 August 2019",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
24229199,"09:01, 18 March 2018",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
23724488,"10:02, 15 December 2017",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
23604686,"05:29, 23 November 2017",103.245.205.180,False,deletion,active,,-3,
23557354,"09:22, 14 November 2017",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
23386030,"08:55, 14 October 2017",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
22456191,"19:53, 20 May 2017",ExoticComet,False,addition,active,,49,(New tip approved in Tips Patrol)
22115943,"08:03, 26 March 2017",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
20824908,"08:34, 21 August 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
20567800,"08:31, 11 July 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
19578755,"09:51, 4 February 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
19348379,"02:06, 9 January 2016",RelatedWikihowsBot,False,deletion,active,,-257,(Removing redundant wikitext from Related wikiHows section)
19213502,"22:59, 5 January 2016",RedirectsBot,False,adjustment,active,,0,(Updating link to point directly to article instead of redirect)
19188070,"09:53, 4 January 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
18842879,"09:50, 12 November 2015",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
18437348,"08:38, 15 September 2015",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
18256285,"06:56, 19 August 2015",Wikivisual,False,addition,active,,40,(Saving new step-by-step photos)
18083701,"03:05, 29 July 2015",MiscBot,False,deletion,active,,-70,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17948164,"18:09, 27 July 2015",InterwikiBot,False,deletion,active,,-173,"(Removing interwiki links, no longer needed in wikitext)"
17784117,"12:51, 10 July 2015",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
17563619,"13:47, 9 June 2015",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
17106177,"13:14, 13 April 2015",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
17093013,"13:03, 11 April 2015",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
16852118,"14:17, 11 March 2015",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
16096474,"15:14, 8 December 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
15949639,"14:36, 20 November 2014",InterwikiBot,False,addition,active,,58,(Adding interwiki link)
15834421,"14:45, 7 November 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
15564327,"19:04, 7 October 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
15197663,"19:33, 27 August 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
14455683,"17:01, 6 August 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
14146609,"17:26, 6 July 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
13851233,"17:59, 6 June 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
13688547,"17:49, 22 May 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
13539435,"17:12, 7 May 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
13476777,"16:50, 1 May 2014",InterwikiBot,False,addition,active,,51,(Adding interwiki link)
13218899,"16:39, 6 April 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
13143254,"00:40, 1 April 2014",InterwikiBot,False,addition,active,,64,(Adding interwiki link)
13083255,"16:46, 25 March 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
12864508,"18:42, 2 March 2014",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
12173216,"19:29, 20 December 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
12100356,"19:50, 13 December 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
12001252,"19:52, 4 December 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
11795792,"19:39, 14 November 2013",Votebot,False,deletion,active,,-7,(reordering tips and warnings based on votes)
11613926,"21:18, 30 October 2013",Votebot,False,addition,active,,7,(reordering tips and warnings based on votes)
11413304,"16:09, 15 October 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
11268526,"16:14, 30 September 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
10980097,"15:35, 1 September 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
10703405,"00:49, 7 August 2013",MiscBot,False,deletion,active,,-14,(Removing nointroimg template)
10547424,"01:34, 23 July 2013",Wikiphoto,False,addition,active,,14,(Adding {{nointroimg}} template and removing intro images)
10543133,"17:12, 22 July 2013",Wikiphoto,False,addition,active,,46,(Enlarging and centering Steps photos)
10543131,"17:12, 22 July 2013",Wikiphoto,False,addition,active,,306,(Saving new step-by-step photos)
10364341,"18:39, 3 July 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
10170403,"09:03, 13 June 2013",Lilliesx53,False,addition,active,,45,(Edit via Image Picker: Added an image)
10073788,"15:35, 3 June 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
10050044,"16:42, 31 May 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
9808439,"15:59, 5 May 2013",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
6421698,"00:22, 30 July 2011",Wendy Weaver,False,addition,active,,60,(Weaving the web of links)
4660569,"02:38, 3 June 2010",99.231.227.103,False,deletion,active,,-4,"(Replaced incorrect word ""different"" with correct word ""various"")"
4317208,"08:02, 21 February 2010",115.133.72.203,False,major_addition,active,,895,(+more info and elaboration)
3040607,"09:13, 26 January 2009",Flickety,False,revert,active,,-2,(Reverted edits by 116.71.176.206 (Talk); changed back to last version by 24.16.52.178)
3040499,"07:23, 26 January 2009",116.71.176.206,False,addition,reverted,Flickety,2,(→‎Tips)
2497097,"06:06, 2 September 2008",24.16.52.178,False,addition,reverted,Flickety,48,
2387940,"08:29, 5 August 2008",Ttrimm,False,revert,active,,-8,(Reverted edits by 72.148.120.135 (Talk); changed back to last version by Cipher_nemo)
2386833,"01:06, 5 August 2008",72.148.120.135,False,addition,reverted,Ttrimm,8,(→‎Steps)
2134451,"20:15, 4 June 2008",Cipher_nemo,False,deletion,reverted,Ttrimm,-18,
2134227,"19:23, 4 June 2008",HotGus56,False,deletion,active,,-4,(clarified using AC adapter with proper voltage)
1801580,"22:41, 13 March 2008",Cipher_nemo,False,adjustment,reverted,Ttrimm,0,(Construct a Simple 5V Dc Power Supply moved to Construct a Simple 5V DC Power Supply: caps)
1411586,"17:18, 3 December 2007",76.179.150.17,False,addition,active,,37,(7805 is the common numbering for this voltage regulator.)
983259,"06:22, 31 July 2007",WikiHowUser20221012045502,False,deletion,active,,-146,(removing unlicensed images)
756508,"13:44, 26 May 2007",Dreamgal2,False,deletion,active,,-129,(repaired broken link)
562114,"06:23, 24 February 2007",Wacky,False,addition,active,,21,
498261,"07:24, 21 January 2007",66.140.84.108,False,addition,active,,3,
417238,"21:29, 4 December 2006",Hafarr6ft,False,addition,active,,11,(recat to internal comp)
384927,"19:59, 16 November 2006",HotGus56,False,deletion,active,,-11,(this article does not refer to an internal component of a computer.)
375146,"21:13, 10 November 2006",Tviren,False,addition,active,,11,
372495,"17:05, 9 November 2006",HotGus56,False,addition,active,,244,
349848,"01:03, 27 October 2006",Davecrosby,False,major_addition,active,,605,(Related wikiHows)
332527,"05:16, 17 October 2006",HotGus56,False,addition,active,,34,
331182,"00:41, 16 October 2006",HotGus56,False,addition,active,,11,
331181,"00:39, 16 October 2006",HotGus56,False,addition,active,,204,
324806,"06:40, 11 October 2006",HotGus56,False,addition,active,,5,
324805,"06:38, 11 October 2006",HotGus56,False,deletion,active,,-7,
324804,"06:37, 11 October 2006",HotGus56,False,addition,active,,2,
324660,"04:25, 11 October 2006",HotGus56,False,addition,active,,143,
324658,"04:23, 11 October 2006",HotGus56,False,addition,active,,21,
324656,"04:23, 11 October 2006",HotGus56,False,deletion,active,,-24,
324653,"04:22, 11 October 2006",HotGus56,False,addition,active,,25,
324631,"04:11, 11 October 2006",155.33.165.12,False,deletion,active,,-12,
324619,"04:07, 11 October 2006",155.33.165.12,False,major_addition,active,,2957,(Initial authoring)
