Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33518869,"09:12, 28 June 2025",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
33239491,"08:48, 13 March 2025",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
33194481,"21:37, 27 February 2025",Seymour Edits,False,revert,active,,236,(NCA edit. Do not revert.)
33126642,"09:58, 6 February 2025",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
33095131,"17:21, 25 January 2025",WikiHow Horizon 3,False,addition,active,,6,(http ► https)
33034076,"16:35, 31 December 2024",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
32834742,"08:58, 5 October 2024",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
32776143,"19:52, 11 September 2024",Wikiphoto,False,addition,active,,74,(Updating Reader Video Section)
32715230,"16:49, 12 August 2024",Hopedemi,False,revert,active,,306,(Expert Interview Section added.)
32685219,"03:37, 30 July 2024",Seymour Edits,False,addition,active,,156,(Added expert citations.)
32630112,"01:03, 6 July 2024",WikiHow Projects,False,deletion,active,,-54,(updating link)
32223416,"21:50, 20 January 2024",WikiHow Horizon,False,deletion,active,,-63,(Removing broken link/s)
31383494,"18:11, 23 February 2023",R2_d2000,False,revert,active,,-8,(Reverted edits by 66.85.41.49 (Talk); changed back to last version by R2_d2000)
31383486,"18:09, 23 February 2023",66.85.41.49,False,addition,reverted,R2_d2000,8,
31383483,"18:09, 23 February 2023",R2_d2000,False,revert,reverted,R2_d2000,0,(Reverted edits by 66.85.41.49 (Talk); changed back to last version by Votebot)
31383482,"18:09, 23 February 2023",66.85.41.49,False,adjustment,reverted,R2_d2000,0,
30784575,"08:52, 16 August 2022",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
29787915,"01:59, 8 August 2021",Eric,False,revert,active,,202,(Reverted edits by 71.202.216.189 (Talk); changed back to last version by Caitlynn L)
29787893,"01:40, 8 August 2021",71.202.216.189,False,deletion,reverted,Eric,-202,
29566865,"14:20, 19 May 2021",Caitlynn L,False,deletion,reverted,Eric,-18,(updating link to avoid redirect)
28565967,"09:43, 3 September 2020",RelatedWikihowsBot,False,deletion,active,,-28,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
27844178,"22:43, 11 March 2020",WikiHowUser20230227233914,False,revert,active,,14820,(RCP reverted edits by 99.51.225.57 (talk) to  revision #27690608 by RelatedWikihowsBot)
27844091,"22:36, 11 March 2020",99.51.225.57,False,major_deletion,reverted,WikiHowUser20230227233914,-14820,(Replacing page with 'oof dont use wiki')
27690608,"10:45, 6 February 2020",RelatedWikihowsBot,False,deletion,reverted,WikiHowUser20230227233914,-37,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
27145535,"20:13, 28 September 2019",L33Tech,False,revert,active,,-88,(RCP reverted edits by SAuCePaN (talk) to  revision #26949860 by Votebot)
27145294,"18:26, 28 September 2019",SAuCePaN,False,addition,reverted,L33Tech,88,(New tip approved in Tips Patrol)
26949860,"09:40, 15 August 2019",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
26768487,"09:30, 7 July 2019",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
26704826,"18:19, 20 June 2019",Seymour Edits,False,sourcing,active,,-9,(Added sources for the wikihaus content team.)
26694183,"09:42, 18 June 2019",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
26665608,"00:18, 11 June 2019",Seymour Edits,False,sourcing,active,,909,(Added sources for the wikihaus content team.)
26658137,"09:26, 9 June 2019",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
26520630,"20:19, 7 May 2019",WikiHowUser20230227233914,False,revert,active,,3,(RCP reverted edits by 76.15.128.99 (talk) to  revision #26324242 by MiscBot)
26520615,"20:17, 7 May 2019",76.15.128.99,False,deletion,reverted,WikiHowUser20230227233914,-3,
26324242,"05:35, 29 March 2019",MiscBot,False,sourcing,reverted,WikiHowUser20230227233914,-11,(Updating References section name to match new sitewide conventions)
26239393,"12:21, 27 March 2019",Mapley,False,addition,active,,359,(New tip approved in Tips Patrol)
26118390,"18:21, 3 March 2019",Andreaslag,False,addition,active,,131,(New tip approved in Tips Patrol)
26076421,"10:18, 23 February 2019",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
25824635,"10:15, 1 January 2019",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
25671146,"17:53, 29 November 2018",Seymour Edits,False,addition,active,,153,(Added the Summary template to this article)
25502226,"09:12, 29 October 2018",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
25341540,"09:14, 2 October 2018",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
25005693,"08:07, 2 August 2018",RelatedWikihowsBot,False,deletion,reverted,WikiHowUser20230227233914,-34,(Automatic link maintenance: cleaning up links to pages that are not ready for readers (stubbed/de-indexed articles))
24799712,"03:00, 24 June 2018",Frostmaker84,False,revert,active,,-51,(Reverted edits by 167.160.214.244 (Talk); changed back to last version by RedirectsBot)
24799689,"02:53, 24 June 2018",167.160.214.244,False,addition,reverted,Frostmaker84,51,
24475025,"17:08, 30 April 2018",RedirectsBot,False,adjustment,reverted,Frostmaker84,0,(Updating link to point directly to article instead of redirect)
24294823,"13:11, 29 March 2018",Apoc2626,False,revert,active,,-18760,(RCP reverted edits by 64.251.50.78 (talk) to  revision #23581170 by Aiosis)
24294734,"12:45, 29 March 2018",64.251.50.78,False,major_addition,reverted,Apoc2626,18754,
24294723,"12:44, 29 March 2018",64.251.50.78,False,addition,reverted,Apoc2626,6,
23581170,"16:12, 18 November 2017",Aiosis,False,addition,reverted,Apoc2626,2,(Punctuation edit.)
23405386,"14:40, 17 October 2017",RubyRoseRain,False,revert,active,,-46,(RCP reverted edits by 204.116.223.226 (talk) to  revision #23404659 by Eric)
23405186,"14:11, 17 October 2017",204.116.223.226,False,addition,reverted,RubyRoseRain,46,
23404659,"11:51, 17 October 2017",Eric,False,revert,reverted,RubyRoseRain,12494,(Reverted edits by 183.82.23.32 (Talk); changed back to last version by Eric)
23404639,"11:44, 17 October 2017",183.82.23.32,False,major_deletion,reverted,Eric,-12497,
23404626,"11:42, 17 October 2017",183.82.23.32,False,addition,reverted,Eric,3,
23205425,"02:34, 13 September 2017",Eric,False,revert,reverted,RubyRoseRain,-95,(Reverted edits by BAD HACKER (Talk); changed back to last version by Eric)
23205423,"02:33, 13 September 2017",BAD HACKER,False,addition,reverted,Eric,10,(→‎Tips)
23205421,"02:32, 13 September 2017",BAD HACKER,False,addition,reverted,Eric,85,(→‎Tips)
23205414,"02:30, 13 September 2017",Eric,False,revert,reverted,RubyRoseRain,-53,(Reverted edits by BAD HACKER (Talk); changed back to last version by Adelaide)
23205412,"02:29, 13 September 2017",BAD HACKER,False,addition,reverted,Eric,53,(→‎Tips)
23001718,"19:38, 9 August 2017",CelesteTu,False,addition,active,,80,
23001678,"19:27, 9 August 2017",WikiHow Intern,False,deletion,active,,-28,(tips clean up)
22360225,"19:09, 5 May 2017",169.204.235.253,False,deletion,active,,-6,
22360213,"19:06, 5 May 2017",169.204.235.253,False,addition,active,,6,
22269167,"23:03, 21 April 2017",TuckerB,False,deletion,active,,-12,(→‎Steps)
22164451,"01:51, 3 April 2017",Joel.Miles925,False,revert,active,,219,(Reverted edits by Rock20000 (Talk); changed back to last version by SarahB)
22163190,"20:55, 2 April 2017",Rock20000,False,revert,reverted,Joel.Miles925,-219,(Reverted edits by SarahB (Talk); changed back to last version by Rock20000)
22144903,"10:16, 30 March 2017",SarahB,False,revert,reverted,Joel.Miles925,219,(Reverted edits by Rock20000 (Talk); changed back to last version by Votebot)
22074453,"02:53, 20 March 2017",Rock20000,False,deletion,reverted,Joel.Miles925,-146,"(Remove tips from Tips Patrol - yes, trees are dangerous to hide in during thunderstorms. Unless I misunderstood one of them, why would you be under a tree when already inside a house?)"
22074393,"02:46, 20 March 2017",Rock20000,False,deletion,reverted,Joel.Miles925,-73,"(→‎Steps:  Removed the last sentence of step 1. Spaces to punctuation. You can seek shelter in a well-constructed building, such as a house, school, office, etc.)"
21887036,"10:01, 18 February 2017",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
21729986,"02:29, 25 January 2017",Joel.Miles925,False,revert,active,,-28,(RCP reverted edits by 71.45.58.18 (talk) to  revision #21715089 by Revisiongeek)
21729266,"00:46, 25 January 2017",71.45.58.18,False,addition,reverted,Joel.Miles925,28,
21715089,"16:34, 22 January 2017",Revisiongeek,False,revert,reverted,Joel.Miles925,-22,(RCP reverted edits by 108.185.189.219 (talk) to  revision #21695457 by Galactic Radiance)
21715076,"16:26, 22 January 2017",108.185.189.219,False,addition,reverted,Revisiongeek,22,
21695457,"21:08, 18 January 2017",WikiHowUser20230227233914,False,revert,reverted,Revisiongeek,17,(RCP reverted edits by 69.75.99.38 (talk) to  revision #21691689 by Votebot)
21695445,"21:05, 18 January 2017",69.75.99.38,False,deletion,reverted,WikiHowUser20230227233914,-17,
21691689,"10:28, 18 January 2017",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
21658924,"03:41, 13 January 2017",Wikivisual,False,addition,active,,311,(Saving new step-by-step photos)
21589088,"09:46, 1 January 2017",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
21580830,"10:00, 30 December 2016",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
21518145,"03:09, 17 December 2016",WikiHow Projects,False,addition,active,,6,(→‎Steps:  Added Images)
21396757,"09:39, 25 November 2016",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
21357002,"21:07, 17 November 2016",WikihowSaver,False,revert,active,,-10,(RCP reverted edits by 24.252.217.196 (talk) to  revision #21191379 by Votebot)
21356658,"19:49, 17 November 2016",24.252.217.196,False,addition,reverted,WikihowSaver,10,
21191379,"08:41, 22 October 2016",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
21145545,"12:43, 15 October 2016",WikiHow Projects,False,addition,active,,8,(→‎Steps:  Added images)
21019453,"08:39, 25 September 2016",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
20778039,"09:06, 16 August 2016",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
20720146,"06:34, 6 August 2016",WikiHow Projects,False,deletion,active,,-8,(added images)
20720143,"06:33, 6 August 2016",WikiHow Projects,False,deletion,active,,-10,(added images)
20720117,"06:25, 6 August 2016",WikiHow Projects,False,deletion,active,,-16,(added images)
20720109,"06:17, 6 August 2016",WikiHow Projects,False,deletion,active,,-15,(added images)
20710346,"14:57, 4 August 2016",ChocolateFan1,False,revert,active,,-14,(Reverted edits by Nedstrange (Talk); changed back to last version by WikiHow Projects)
20708678,"08:21, 4 August 2016",Nedstrange,False,revert,reverted,ChocolateFan1,14,(RCP reverted edits by WikiHow Projects (talk) to  revision #20702387 by Galactic Radiance)
20708601,"07:52, 4 August 2016",WikiHow Projects,False,deletion,reverted,ChocolateFan1,-14,(added images)
20702387,"02:41, 3 August 2016",WikiHowUser20230227233914,False,revert,reverted,Nedstrange,-95,(RCP reverted edits by I am a FREAK And a WIERDO (talk) to  revision #20543393 by Votebot)
20702128,"01:52, 3 August 2016",I am a FREAK And a WIERDO,False,addition,reverted,WikiHowUser20230227233914,95,(New tip approved in Tips Patrol)
20543393,"08:36, 7 July 2016",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
20498175,"08:36, 29 June 2016",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
20459988,"08:38, 23 June 2016",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
20405186,"08:40, 14 June 2016",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
20395299,"08:39, 12 June 2016",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
20378638,"15:47, 9 June 2016",WikiHowUser20230227233914,False,revert,active,,-13,(RCP reverted edits by 170.158.48.13 (talk) to  revision #20371791 by Votebot)
20378627,"15:45, 9 June 2016",170.158.48.13,False,addition,reverted,WikiHowUser20230227233914,13,
20371791,"09:48, 8 June 2016",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
20361270,"14:19, 6 June 2016",RNGesus,False,revert,active,,-141,(RCP reverted edits by JustineM11 (talk) to  revision #20354568 by Daegontaven)
20359942,"09:15, 6 June 2016",JustineM11,False,addition,reverted,RNGesus,141,(Added a tip.)
20354568,"08:10, 5 June 2016",Daegontaven,False,revert,reverted,RNGesus,-150,(RCP reverted edits by JustineM11 (talk) to  revision #20298760 by Galactic Radiance)
20354508,"07:42, 5 June 2016",JustineM11,False,addition,reverted,RNGesus,150,(Added 2 warnings.)
20298760,"01:00, 27 May 2016",WikiHowUser20230227233914,False,revert,reverted,Daegontaven,4,(RCP reverted edits by 147.41.128.34 (talk) to  revision #20163815 by Aiosis)
20298669,"00:26, 27 May 2016",147.41.128.34,False,deletion,reverted,WikiHowUser20230227233914,-4,
20163815,"15:46, 6 May 2016",ClosedAccount20170115,False,revert,reverted,WikiHowUser20230227233914,316,(Reverted edits by 66.76.66.131 (Talk); changed back to last version by Votebot)
20163789,"15:40, 6 May 2016",66.76.66.131,False,deletion,reverted,ClosedAccount20170115,-316,
19921644,"08:47, 31 March 2016",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
19896140,"20:28, 27 March 2016",P code,False,addition,active,,3,"(removed "":)"" and changed ""Do NOT"" to ""'''Do not'''"")"
19803742,"09:52, 12 March 2016",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
19789120,"11:07, 10 March 2016",Bobbyfrank,False,revert,active,,-108,(RCP reverted edits by Yuko Gasai (talk) to  revision #19481765 by McDonalds1)
19788308,"09:27, 10 March 2016",Yuko Gasai,False,addition,reverted,Bobbyfrank,108,(New tip approved in Tips Patrol)
19481765,"16:57, 20 January 2016",McDonalds1,False,revert,reverted,Bobbyfrank,-21,(Reverted edits by 204.186.234.118 (Talk); changed back to last version by Votebot)
19481739,"16:55, 20 January 2016",204.186.234.118,False,addition,reverted,McDonalds1,21,
19439257,"10:00, 15 January 2016",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
19401438,"04:27, 12 January 2016",RelatedWikihowsBot,False,deletion,reverted,WikiHowUser20230227233914,-179,(Removing redundant wikitext from Related wikiHows section)
19376710,"09:50, 11 January 2016",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
19224058,"10:40, 6 January 2016",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
19124482,"09:47, 24 December 2015",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
19087777,"10:02, 18 December 2015",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
19039009,"10:11, 11 December 2015",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
18956005,"09:41, 29 November 2015",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
18909962,"09:51, 22 November 2015",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
18851693,"09:49, 13 November 2015",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
18823839,"22:12, 9 November 2015",66.193.205.178,False,addition,active,,3,
18600027,"08:56, 8 October 2015",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
18564833,"08:48, 3 October 2015",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
18521553,"08:39, 27 September 2015",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
18437460,"08:41, 15 September 2015",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
18378100,"12:35, 5 September 2015",SarahB,False,revert,reverted,Joel.Miles925,-57,(RCP reverted edits by Vr7 (talk) to  revision #18331385 by WikiHow Intern)
18377979,"12:06, 5 September 2015",Vr7,False,addition,reverted,SarahB,57,(New tip approved in Tips Patrol)
18331385,"00:28, 29 August 2015",WikiHow Intern,False,deletion,reverted,SarahB,-116,(removing broken link)
18274927,"08:38, 21 August 2015",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
18247419,"22:15, 17 August 2015",CelesteTu,False,addition,active,,33,(fixing wikitext)
18223337,"02:07, 14 August 2015",Blake Kitty Donnabella,False,deletion,active,,-38,
18223319,"02:05, 14 August 2015",Blake Kitty Donnabella,False,addition,active,,26,(→‎Steps)
18213087,"20:26, 12 August 2015",NorthAdvice,False,addition,active,,54,(New tip approved in Tips Patrol)
18125939,"22:56, 30 July 2015",Teamtofu,False,cleanup,active,,0,(Fixing misspellings via the Spellchecker tool)
18109465,"15:17, 29 July 2015",MiscBot,False,deletion,reverted,WikiHowUser20230227233914,-280,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17978092,"20:42, 27 July 2015",InterwikiBot,False,deletion,active,,-247,"(Removing interwiki links, no longer needed in wikitext)"
17860371,"18:09, 21 July 2015",MiscBot,False,cleanup,reverted,WikiHowUser20230227233914,-1,(Correcting spelling and/or grammar.)
17850918,"20:00, 20 July 2015",BellaSummer,False,addition,active,,92,(New tip approved in Tips Patrol)
17792853,"08:32, 12 July 2015",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
17558955,"23:58, 8 June 2015",Jordan,False,revert,active,,-47,(RCP reverted edits by 146.142.1.10 (talk) to  revision #17524150 by Votebot)
17558895,"23:50, 8 June 2015",146.142.1.10,False,addition,reverted,Jordan,47,
17524150,"13:03, 4 June 2015",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
17508532,"20:11, 2 June 2015",Picka90,False,revert,active,,185,(RCP reverted edits by 204.64.21.50 (talk) to  revision #17468595 by Votebot)
17508275,"19:28, 2 June 2015",204.64.21.50,False,deletion,reverted,Picka90,-185,
17468595,"13:50, 28 May 2015",Votebot,False,adjustment,reverted,R2_d2000,0,(reordering tips and warnings based on votes)
17413775,"01:42, 25 May 2015",WikiHow Intern,False,deletion,reverted,SarahB,-60,(removing broken link)
17206445,"04:45, 26 April 2015",Leugen9001,False,addition,active,,13,(→‎Steps)
17177873,"15:41, 22 April 2015",WikiHow Intern,False,sourcing,reverted,SarahB,-59,(removing non-source or low quality link)
16956443,"23:39, 25 March 2015",Zygomatt,False,revert,active,,-100,(Reverted edits by 104.0.176.172 (Talk); changed back to last version by King Peter)
16956414,"23:30, 25 March 2015",104.0.176.172,False,addition,reverted,Zygomatt,100,
16822210,"04:21, 7 March 2015",King Peter,False,revert,reverted,Zygomatt,13624,(Reverted edits by 62.210.74.137 (Talk); changed back to last version by Isorhythmic)
