Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34166523,"12:50, 30 March 2026",Seymour Edits,False,sourcing,active,,62,(added a reference fow wikiHaus content team)
34118906,"14:17, 2 March 2026",Tiagoroth,False,revert,active,,-49,(RCP reverted edits by Halaa mohsen (talk) to  revision #34088439 by MiscBot)
34117654,"21:35, 1 March 2026",Halaa mohsen,False,addition,reverted,Tiagoroth,49,
34088439,"17:57, 19 February 2026",MiscBot,False,deletion,reverted,Tiagoroth,-71,(Removing Related Articles section)
34072450,"00:40, 19 February 2026",MiscBot,False,revert,reverted,Tiagoroth,133,(Reverting the Related Articles section removal)
34056544,"17:27, 18 February 2026",MiscBot,False,deletion,reverted,Tiagoroth,-133,(Removing Related Articles section)
33898743,"18:21, 12 December 2025",EpcotMagic,False,cleanup,active,,-6,(Auto-style turned on on my Grammarly keyboard producing unexpected results)
33898741,"18:20, 12 December 2025",EpcotMagic,False,addition,active,,38,(Thanks qa pair)
32280885,"03:27, 12 February 2024",Rainy M,False,deletion,active,,-42,(Edit via Quality Guardian: Removed video that didn't perfectly match the text.)
32276791,"16:38, 9 February 2024",Agusbou2015,False,revert,active,,4053,(RCP reverted edits by 204.108.126.115 (talk) to  revision #32256539 by ShowierData9978)
32276771,"16:03, 9 February 2024",204.108.126.115,False,major_deletion,reverted,Agusbou2015,-4053,(Replacing page with 'make a cupcake')
32256539,"23:16, 2 February 2024",ShowierData9978,False,revert,reverted,Agusbou2015,-52,(Reverted edits by 73.88.34.141 (Talk); changed back to last version by Seymour Edits)
32256532,"23:11, 2 February 2024",73.88.34.141,False,addition,reverted,ShowierData9978,26,
32256528,"23:09, 2 February 2024",73.88.34.141,False,addition,reverted,ShowierData9978,26,
32191148,"01:56, 8 January 2024",Seymour Edits,False,sourcing,reverted,ShowierData9978,430,(Added sources for the wikiHaus content team.)
31690375,"16:37, 6 June 2023",Thomas_Ch,False,revert,active,,299,(Expert Interview Section added.)
31677154,"16:37, 1 June 2023",Gbjockey,False,cleanup,active,,-1,(Fixing misspellings via the Spellchecker tool)
31674702,"18:48, 31 May 2023",Seymour Edits,False,addition,reverted,ShowierData9978,1,(Fixed a tag)
31674700,"18:46, 31 May 2023",Seymour Edits,False,major_addition,reverted,ShowierData9978,864,(Added expert citations)
30892009,"02:23, 20 September 2022",Eric,False,revert,active,,-13,(Reverted edits by 60.230.170.186 (Talk); changed back to last version by HumanBeing)
30891916,"00:58, 20 September 2022",60.230.170.186,False,addition,reverted,Eric,13,
30687312,"05:31, 11 July 2022",HumanBeing,False,revert,reverted,Eric,-4,(RCP reverted edits by 137.147.141.29 (talk) to  revision #30590559 by Wikiphoto)
30687269,"05:00, 11 July 2022",137.147.141.29,False,addition,reverted,HumanBeing,4,
30590559,"21:04, 1 June 2022",Wikiphoto,False,deletion,reverted,HumanBeing,-68,(changing some videos to static images)
30446431,"11:30, 6 April 2022",Wikivisual,False,major_addition,active,,632,(Saving new step-by-step photos)
29488736,"17:07, 27 April 2021",GB742,False,revert,active,,-42,(RCP reverted edits by 162.210.247.178 (talk) to  revision #28513034 by Seymour Edits)
29488734,"17:06, 27 April 2021",162.210.247.178,False,addition,reverted,GB742,42,
28513034,"06:15, 21 August 2020",Seymour Edits,False,addition,reverted,ShowierData9978,188,(Quick edit)
28402353,"22:20, 21 July 2020",190.253.155.102,False,addition,active,,3,
27818878,"19:41, 5 March 2020",Zodi,False,adjustment,active,,0,(adjusting conversion)
27787300,"21:31, 27 February 2020",UnitGuardian,False,addition,active,,19,(Adding conversion template)
27744834,"15:56, 18 February 2020",RubyRoseRain,False,revert,active,,-1,(RCP reverted edits by 50.204.33.164 (talk) to  revision #27613008 by Violet113)
27744790,"15:40, 18 February 2020",50.204.33.164,False,addition,reverted,RubyRoseRain,1,
27613008,"17:58, 18 January 2020",Violet113,False,addition,reverted,RubyRoseRain,44,(Adding video via video picker tool)
27612300,"12:33, 18 January 2020",RubyRoseRain,False,addition,active,,80,
20867564,"08:38, 28 August 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
19889154,"08:44, 26 March 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
19259689,"00:53, 8 January 2016",RelatedWikihowsBot,False,deletion,active,,-53,(Removing redundant wikitext from Related wikiHows section)
