Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34089337,"18:09, 19 February 2026",MiscBot,False,deletion,active,,-67,(Removing Related Articles section)
34073373,"00:54, 19 February 2026",MiscBot,False,revert,active,,69,(Reverting the Related Articles section removal)
34057440,"17:40, 18 February 2026",MiscBot,False,deletion,active,,-69,(Removing Related Articles section)
33850636,"01:10, 24 November 2025",Seymour Edits,False,sourcing,active,,73,(Added a source for the wikiHAus content team.)
33577082,"02:31, 27 July 2025",WikiHow Projects,False,addition,active,,106,(Adding internal link/s)
32525350,"20:02, 22 May 2024",Seymour Edits,False,addition,active,,17,
32525349,"20:01, 22 May 2024",Seymour Edits,False,addition,active,,290,
32256264,"21:28, 2 February 2024",WikiHow Projects,False,addition,active,,40,(Adding video via Video Adder tool)
32052305,"03:40, 6 November 2023",Seymour Edits,False,sourcing,active,,333,(Added and replaced sources for the wikiHaus content team.)
30329471,"10:14, 23 February 2022",Votebot,False,addition,active,,3,(reordering tips and warnings based on votes)
28256273,"21:56, 16 June 2020",WikiHow Expert Review,False,addition,active,,188,(Integrated tips from NCA)
28054061,"08:12, 30 April 2020",Seymour Edits,False,deletion,active,,-138,
27228873,"17:18, 17 October 2019",R2_d2000,False,revert,active,,-16,(Reverted edits by TayoDadaYT (Talk); changed back to last version by Galactic Radiance)
27228871,"17:18, 17 October 2019",WikiHowUser20240102170839,False,addition,active,,16,
27228869,"17:18, 17 October 2019",WikiHowUser20230227233914,False,revert,active,,8140,(RCP reverted edits by 216.107.200.226 (talk) to  revision #27228860 by R2_d2000)
27228863,"17:16, 17 October 2019",216.107.200.226,False,major_deletion,reverted,WikiHowUser20230227233914,-8140,(Replacing page with '[[http://www.example.com link title][[http://www.example.com link title][[http://www.example.com link title]http://www.example.com link title]]]')
27228860,"17:15, 17 October 2019",R2_d2000,False,revert,reverted,WikiHowUser20230227233914,8277,(Reverted edits by 216.107.200.226 (Talk); changed back to last version by R2_d2000)
27228859,"17:15, 17 October 2019",216.107.200.226,False,major_deletion,reverted,WikiHowUser20230227233914,-8277,(Replacing page with 'A v #Choose')
27228851,"17:13, 17 October 2019",R2_d2000,False,revert,reverted,WikiHowUser20230227233914,438,(Reverted edits by 216.107.200.226 (Talk); changed back to last version by MiscBot)
27228850,"17:12, 17 October 2019",216.107.200.226,False,deletion,reverted,WikiHowUser20230227233914,-448,
27228846,"17:12, 17 October 2019",216.107.200.226,False,addition,reverted,WikiHowUser20230227233914,10,
26347548,"07:52, 29 March 2019",MiscBot,False,sourcing,reverted,R2_d2000,-9,(Updating References section name to match new sitewide conventions)
26202591,"19:04, 19 March 2019",Seymour Edits,False,addition,active,,134,(Added the Summary template to this article)
19952680,"01:30, 5 April 2016",Pandas941,False,revert,active,,-4,(Reverted edits by 68.175.31.156 (Talk); changed back to last version by Wikivisual)
19952675,"01:29, 5 April 2016",68.175.31.156,False,addition,reverted,Pandas941,4,
19840536,"18:43, 18 March 2016",Wikivisual,False,major_addition,reverted,Pandas941,516,(Saving new step-by-step photos)
18096530,"08:32, 29 July 2015",MiscBot,False,deletion,reverted,R2_d2000,-14,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17039578,"13:26, 5 April 2015",Bparutto,False,revert,active,,-907,(Undid edit #17039572 by Bparutto (Talk))
17039572,"13:24, 5 April 2015",Bparutto,False,major_addition,reverted,Bparutto,907,
16892284,"02:50, 17 March 2015",Myles_Schaller,False,major_addition,active,,6280,(expanding)
15375880,"22:11, 16 September 2014",Stub Bot,False,addition,active,,24,(This article has been stubbed since it appears to be incomplete. Please remove this stub tag if that is an error.)
12736444,"16:01, 19 February 2014",Wikiphoto,False,addition,active,,5,(Enlarging and centering Steps photos)
12736443,"16:01, 19 February 2014",Wikiphoto,False,addition,active,,45,(Saving new step-by-step photos)
12736198,"15:36, 19 February 2014",Wikiphoto,False,addition,active,,46,(Enlarging and centering Steps photos)
12736197,"15:36, 19 February 2014",Wikiphoto,False,addition,active,,202,(Saving new step-by-step photos)
11617954,"22:15, 30 October 2013",Votebot,False,addition,active,,1,(reordering tips and warnings based on votes)
9617265,"11:53, 14 April 2013",Porch,False,revert,active,,87,(Reverted edits by 98.188.199.11 (Talk); changed back to last version by Tryme2)
9616695,"08:41, 14 April 2013",98.188.199.11,False,deletion,reverted,Porch,-122,(→‎Steps)
9616693,"08:38, 14 April 2013",98.188.199.11,False,addition,reverted,Porch,35,
4668213,"23:13, 4 June 2010",Tryme2,False,addition,reverted,Porch,38,(Added Image using ImageAdder Tool)
2722900,"21:51, 7 November 2008",Chris H,False,revert,active,,-5,(Reverted edits by 71.179.64.184 (Talk); changed back to last version by Luv_sarah)
2722872,"21:40, 7 November 2008",71.179.64.184,False,addition,reverted,Chris H,5,(→‎Warnings)
2213458,"14:23, 23 June 2008",Luv_sarah,False,deletion,reverted,Chris H,-78,(removed broken link)
2155428,"22:31, 9 June 2008",WikiHowUser20221012045502,False,addition,active,,380,(relateds)
2103052,"05:44, 28 May 2008",Liz Kershaw,False,deletion,active,,-2,
1091053,"15:03, 29 August 2007",Dreamgal2,False,addition,active,,43,(cat added)
989707,"01:08, 2 August 2007",203.206.34.199,False,addition,active,,52,
989689,"01:03, 2 August 2007",203.206.34.199,False,major_addition,active,,625,(New page: It is useful to be able to measure the gain and loss of == Steps == #  Connect it parallel to the part of the circuit across which the voltage is changing #  the plugs with red plastic cov...)
