Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33716583,"15:53, 5 October 2025",Zalexie,False,addition,active,,42,(Adding video via video picker tool)
33182692,"19:30, 24 February 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
33009850,"09:56, 19 December 2024",Votebot,False,addition,active,,2,(reordering tips and warnings based on votes)
32847883,"13:45, 10 October 2024",WikiHowUser20250203170141,False,revert,active,,13127,(RCP reverted edits by 213.81.69.28 (talk) to  revision #32017501 by WikiHow Projects)
32847851,"13:26, 10 October 2024",213.81.69.28,False,major_deletion,reverted,WikiHowUser20250203170141,-13127,"(Replacing page with 'from the screen to the ring to the pen to the king , wheres my crown, where my bling thats my reign')"
32017501,"05:11, 22 October 2023",WikiHow Projects,False,addition,reverted,WikiHowUser20250203170141,42,(updating link)
31344339,"15:47, 10 February 2023",WikiHow Projects,False,addition,reverted,WikiHowUser20250203170141,3,(adding internal links)
29376358,"17:21, 24 March 2021",Kyle Hall,False,addition,active,,43,(added expert citations)
27472882,"14:41, 10 December 2019",Wikivisual,False,major_addition,active,,761,(Saving new step-by-step photos)
27450665,"15:33, 5 December 2019",Seymour Edits,False,addition,active,,136,(Added the Summary template to this article)
27395496,"17:43, 21 November 2019",Sophia B,False,addition,active,,41,"(corrected capitalization, adjusted a few step titles, broke out a substep)"
27394716,"15:17, 21 November 2019",Seymour Edits,False,sourcing,active,,2617,(updated intro; updated step titles; added info for clarity; researched to confirm/add info; added steps; replaced sources; proofread)
27386279,"20:00, 19 November 2019",Seymour Edits,False,major_addition,active,,3387,(rewrote article; kept relevant images)
26927994,"09:51, 10 August 2019",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
26905594,"18:14, 5 August 2019",Seymour Edits,False,sourcing,active,,472,(Added sources for the wikihaus content team)
26299794,"03:02, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
26033366,"12:20, 14 February 2019",MiscBot,False,sourcing,active,,-248,(Automatic link maintenance: cleaning up links to references that are broken)
25761620,"10:10, 16 December 2018",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
25421815,"09:13, 15 October 2018",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
25389614,"23:28, 9 October 2018",104.129.198.141,False,addition,active,,413,(→‎Tips)
25389599,"23:23, 9 October 2018",104.129.198.141,False,addition,active,,215,(→‎Steps)
24875500,"11:08, 9 July 2018",WikiHowUser20220204205835,False,revert,active,,-22,(RCP reverted edits by Axel BorgDuca (talk) to  revision #24592615 by Votebot)
24875219,"10:50, 9 July 2018",Axel BorgDuca,False,addition,reverted,WikiHowUser20220204205835,22,
24592615,"09:24, 16 May 2018",Votebot,False,adjustment,reverted,WikiHowUser20220204205835,0,(reordering tips and warnings based on votes)
21242205,"23:31, 29 October 2016",Flickety,False,deletion,active,,-16,(Switch to appropriate category)
21230315,"02:42, 28 October 2016",Flickety,False,addition,active,,51,(Switch to appropriate category)
20405268,"08:41, 14 June 2016",Votebot,False,adjustment,reverted,WikiHowUser20220204205835,0,(reordering tips and warnings based on votes)
20287554,"08:35, 25 May 2016",Votebot,False,adjustment,reverted,WikiHowUser20220204205835,0,(reordering tips and warnings based on votes)
19688219,"09:44, 22 February 2016",Votebot,False,adjustment,reverted,WikiHowUser20220204205835,0,(reordering tips and warnings based on votes)
19110676,"09:41, 22 December 2015",Votebot,False,adjustment,reverted,WikiHowUser20220204205835,0,(reordering tips and warnings based on votes)
18827695,"11:55, 10 November 2015",Suresh mendon,False,cleanup,active,,1,(Fixing misspellings via the Spellchecker tool)
18182886,"08:52, 8 August 2015",Votebot,False,adjustment,reverted,WikiHowUser20220204205835,0,(reordering tips and warnings based on votes)
18084220,"03:13, 29 July 2015",MiscBot,False,deletion,active,,-112,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17420802,"13:01, 26 May 2015",Keller A. Teal,False,addition,active,,28,(→‎Warnings)
17420785,"12:55, 26 May 2015",Keller A. Teal,False,adjustment,active,,0,(→‎Warnings)
17311375,"15:07, 10 May 2015",Votebot,False,deletion,reverted,WikiHowUser20220204205835,-5,(reordering tips and warnings based on votes)
17293302,"15:51, 7 May 2015",Anna,False,major_addition,active,,1705,(Quick edit while patrolling)
17293151,"15:25, 7 May 2015",Picka90,False,revert,active,,-2397,(RCP reverted edits by Keller A. Teal (talk) to  revision #13133716 by Votebot)
17291758,"13:41, 7 May 2015",Keller A. Teal,False,deletion,reverted,Picka90,-18,(Adds the health and safety concerns of disturbing the integrity of walls and some other practical caveats.)
17291643,"13:39, 7 May 2015",Keller A. Teal,False,sourcing,reverted,Picka90,18,(→‎Sources and Citations)
17291541,"13:37, 7 May 2015",Keller A. Teal,False,major_addition,reverted,Picka90,2397,(Adding health and safety hazards associated with knocking down walls and other practical concerns)
17291119,"13:20, 7 May 2015",SarahB,False,revert,active,,-1793,(RCP reverted edits by 68.45.7.29 (talk) to  revision #13133716 by Votebot)
