Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34127995,"10:16, 7 March 2026",Votebot,False,deletion,active,,-2,(reordering tips and warnings based on votes)
34090385,"18:23, 19 February 2026",MiscBot,False,deletion,active,,-48,(Removing Related Articles section)
34074471,"01:10, 19 February 2026",MiscBot,False,revert,active,,50,(Reverting the Related Articles section removal)
34058527,"17:56, 18 February 2026",MiscBot,False,deletion,active,,-50,(Removing Related Articles section)
33055434,"13:48, 9 January 2025",WikiHow Projects,False,deletion,active,,-148,(removing broken link)
33055431,"13:43, 9 January 2025",WikiHow Projects,False,deletion,active,,-144,(removing broken link)
32714617,"13:21, 12 August 2024",Wikivisual,False,addition,active,,71,(Saving new step-by-step photos)
32530602,"08:51, 25 May 2024",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
32137553,"11:05, 14 December 2023",WikiHow Horizon,False,addition,active,,21,(Updated link/s)
31872984,"08:38, 19 August 2023",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
31158408,"18:17, 11 December 2022",Seymour Edits,False,major_addition,active,,502,(Added expert citations)
27399299,"15:13, 22 November 2019",Seymour Edits,False,sourcing,active,,573,(Added sources for the wikihaus content team.)
26297991,"02:53, 29 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
25191985,"09:20, 5 September 2018",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
22007240,"15:10, 8 March 2017",109.158.231.197,False,deletion,active,,-2,
21291836,"23:50, 6 November 2016",Flickety,False,addition,active,,15,(Switch to appropriate category)
21256189,"22:37, 31 October 2016",Flickety,False,deletion,active,,-5,(Switch to appropriate category)
21190394,"06:23, 22 October 2016",71.31.159.0,False,deletion,active,,-7,(Call someone that knows how to install the switch properly.)
20829501,"08:39, 22 August 2016",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
20735973,"01:32, 9 August 2016",WikiHow Projects,False,deletion,active,,-138,(removing broken link)
20636125,"20:45, 22 July 2016",Hailey,False,revert,active,,-173,(RCP reverted edits by Nschmal (talk) to  revision #19850661 by Votebot)
20636115,"20:42, 22 July 2016",Nschmal,False,addition,reverted,Hailey,173,(→‎Tips)
19850661,"08:43, 20 March 2016",Votebot,False,adjustment,reverted,Hailey,0,(reordering tips and warnings based on votes)
19648322,"02:25, 16 February 2016",WikiHow Intern,False,deletion,active,,-106,(removing broken link)
19352692,"02:43, 9 January 2016",RelatedWikihowsBot,False,deletion,active,,-28,(Removing redundant wikitext from Related wikiHows section)
19087709,"09:57, 18 December 2015",Votebot,False,adjustment,reverted,Hailey,0,(reordering tips and warnings based on votes)
17466862,"11:41, 28 May 2015",Wikivisual,False,addition,active,,314,(Saving new step-by-step photos)
15855559,"14:52, 10 November 2014",Votebot,False,adjustment,reverted,Hailey,0,(reordering tips and warnings based on votes)
15311502,"18:41, 9 September 2014",Votebot,False,adjustment,reverted,Hailey,0,(reordering tips and warnings based on votes)
14484185,"18:35, 9 August 2014",Votebot,False,adjustment,reverted,Hailey,0,(reordering tips and warnings based on votes)
13226572,"16:42, 7 April 2014",Votebot,False,adjustment,reverted,Hailey,0,(reordering tips and warnings based on votes)
12723216,"09:02, 18 February 2014",Wikiphoto,False,addition,active,,199,(Enlarging and centering Steps photos)
12723215,"09:02, 18 February 2014",Wikiphoto,False,major_addition,active,,1289,(Saving new step-by-step photos)
9826890,"15:43, 7 May 2013",Votebot,False,deletion,reverted,Hailey,-1,(reordering tips and warnings based on votes)
8051858,"03:34, 8 July 2012",EpcotMagic,False,addition,active,,50,(Adding video via video picker tool)
6597615,"02:13, 6 September 2011",FireCloud,False,addition,active,,44,(categorization)
6334743,"13:21, 11 July 2011",Wendy Weaver,False,addition,active,,79,(Weaving the web of links)
6193009,"08:00, 13 June 2011",WRM,False,major_addition,active,,3920,(Creating new article)
