Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34091548,"18:39, 19 February 2026",MiscBot,False,deletion,active,,-116,(Removing Related Articles section)
34075695,"01:28, 19 February 2026",MiscBot,False,revert,active,,118,(Reverting the Related Articles section removal)
34059770,"18:16, 18 February 2026",MiscBot,False,deletion,active,,-118,(Removing Related Articles section)
33547355,"00:04, 12 July 2025",WikiHow Projects,False,deletion,active,,-10,(Updated link/s)
33406838,"01:34, 17 May 2025",WikiHow Horizon 3,False,deletion,active,,-43,
32483688,"08:41, 5 May 2024",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
31883477,"15:38, 23 August 2023",Wikivisual,False,adjustment,active,,0,(Saving new step-by-step photos)
31859386,"16:56, 13 August 2023",Wikivisual,False,addition,active,,81,(Saving new step-by-step photos)
31842809,"23:14, 7 August 2023",Wikiphoto,False,deletion,active,,-177,(removing bulleted images)
31144654,"13:21, 7 December 2022",Eric,False,revert,active,,-49,(Reverted edits by Ranadil (Talk); changed back to last version by Votebot)
31144595,"13:02, 7 December 2022",Ranadil,False,addition,reverted,Eric,49,(Adding video via video picker tool)
30233145,"09:55, 24 January 2022",Votebot,False,adjustment,reverted,Eric,0,(reordering tips and warnings based on votes)
30164801,"06:57, 27 December 2021",WikiHow Projects,False,deletion,active,,-31,(Moving article from category to be deleted)
28104163,"23:12, 11 May 2020",FlowerPower555,False,revert,active,,31,(RCP reverted edits by CategoryGuardian (talk) to  revision #27240731 by Aaish)
28104058,"22:17, 11 May 2020",CategoryGuardian,False,deletion,reverted,FlowerPower555,-31,"(Removing category that seems to be a poor fit, based on votes from the Category Guardian)"
27240731,"14:57, 20 October 2019",Aaish,False,revert,reverted,FlowerPower555,-29,(Undid edit #27240661 by 72.198.111.187 (Talk))
27240661,"14:48, 20 October 2019",72.198.111.187,False,addition,reverted,Aaish,29,
27240588,"14:10, 20 October 2019",R2_d2000,False,revert,active,,0,(Reverted edits by 72.198.111.187 (Talk); changed back to last version by Seymour Edits)
27240583,"14:09, 20 October 2019",72.198.111.187,False,adjustment,reverted,Aaish,0,
26954468,"10:27, 16 August 2019",Seymour Edits,False,sourcing,reverted,R2_d2000,453,(Added sources for the wikihaus content team.)
26258909,"23:57, 28 March 2019",MiscBot,False,sourcing,active,,-11,(Updating References section name to match new sitewide conventions)
24361093,"13:25, 11 April 2018",38.134.112.229,False,deletion,active,,-5,
24092808,"06:11, 24 February 2018",WikiHow Intern,False,addition,active,,23,(Change to appropriate sub-categories)
23768936,"09:56, 24 December 2017",Votebot,False,adjustment,reverted,Eric,0,(reordering tips and warnings based on votes)
23087962,"08:52, 23 August 2017",Votebot,False,adjustment,reverted,Eric,0,(reordering tips and warnings based on votes)
22826433,"18:21, 11 July 2017",Zodi,False,deletion,active,,-11,(Quick edit while patrolling)
22826353,"18:15, 11 July 2017",UnitGuardian,False,addition,active,,38,(Adding conversion template.)
21981110,"09:52, 4 March 2017",Votebot,False,adjustment,reverted,Eric,0,(reordering tips and warnings based on votes)
21255359,"19:57, 31 October 2016",Flickety,False,deletion,active,,-7,(Switch to appropriate category)
20930051,"08:45, 9 September 2016",Votebot,False,adjustment,reverted,Eric,0,(reordering tips and warnings based on votes)
20688877,"14:10, 31 July 2016",WikiHow Projects,False,deletion,active,,-115,(removing broken link)
20243990,"08:33, 18 May 2016",Votebot,False,adjustment,reverted,Eric,0,(reordering tips and warnings based on votes)
20043281,"08:42, 17 April 2016",Votebot,False,adjustment,reverted,Eric,0,(reordering tips and warnings based on votes)
19447124,"10:02, 16 January 2016",Votebot,False,adjustment,reverted,Eric,0,(reordering tips and warnings based on votes)
19391559,"01:40, 12 January 2016",RelatedWikihowsBot,False,deletion,active,,-103,(Removing redundant wikitext from Related wikiHows section)
18976211,"09:57, 2 December 2015",Votebot,False,adjustment,reverted,Eric,0,(reordering tips and warnings based on votes)
18819681,"09:41, 9 November 2015",Votebot,False,adjustment,reverted,Eric,0,(reordering tips and warnings based on votes)
18712047,"13:12, 23 October 2015",Grahamster,False,revert,active,,110,(RCP reverted edits by 192.234.39.43 (talk) to  revision #18151517 by Votebot)
18712033,"13:09, 23 October 2015",192.234.39.43,False,deletion,reverted,Grahamster,-110,
18151517,"08:47, 4 August 2015",Votebot,False,adjustment,reverted,Eric,0,(reordering tips and warnings based on votes)
18102208,"11:22, 29 July 2015",MiscBot,False,deletion,active,,-168,(Standardizing some image attributes that have now been built into images automatically; removing hidden intro images)
17970549,"19:46, 27 July 2015",InterwikiBot,False,deletion,active,,-45,"(Removing interwiki links, no longer needed in wikitext)"
17735064,"13:30, 4 July 2015",Votebot,False,adjustment,reverted,Eric,0,(reordering tips and warnings based on votes)
17516300,"15:56, 3 June 2015",LeahlovesGod,False,revert,active,,12,(RCP reverted edits by 167.102.87.10 (talk) to  revision #16808571 by Votebot)
17516285,"15:54, 3 June 2015",167.102.87.10,False,deletion,reverted,LeahlovesGod,-12,
16808571,"15:07, 5 March 2015",Votebot,False,adjustment,reverted,Eric,0,(reordering tips and warnings based on votes)
16548828,"19:58, 4 February 2015",MiscBot,False,cleanup,active,,2,(Correcting spelling and/or grammar.)
16073533,"15:07, 5 December 2014",Votebot,False,adjustment,reverted,Eric,0,(reordering tips and warnings based on votes)
15295734,"18:55, 7 September 2014",Votebot,False,adjustment,reverted,Eric,0,(reordering tips and warnings based on votes)
14334623,"22:48, 25 July 2014",Votebot,False,adjustment,reverted,Eric,0,(reordering tips and warnings based on votes)
13825580,"17:38, 4 June 2014",InterwikiBot,False,addition,active,,45,(Adding interwiki link)
13718795,"17:28, 25 May 2014",Votebot,False,adjustment,reverted,Eric,0,(reordering tips and warnings based on votes)
13469273,"17:42, 30 April 2014",Votebot,False,adjustment,reverted,Eric,0,(reordering tips and warnings based on votes)
13365338,"16:44, 20 April 2014",Votebot,False,adjustment,reverted,Eric,0,(reordering tips and warnings based on votes)
12926834,"19:09, 8 March 2014",Votebot,False,adjustment,reverted,Eric,0,(reordering tips and warnings based on votes)
12730859,"01:17, 19 February 2014",Wikiphoto,False,addition,active,,107,(Enlarging and centering Steps photos)
12730858,"01:16, 19 February 2014",Wikiphoto,False,major_addition,active,,598,(Saving new step-by-step photos)
12577795,"19:43, 2 February 2014",Votebot,False,deletion,reverted,Eric,-2,(reordering tips and warnings based on votes)
11872476,"20:01, 21 November 2013",Votebot,False,adjustment,reverted,Eric,0,(reordering tips and warnings based on votes)
11793362,"17:38, 14 November 2013",Garshepp,False,addition,active,,174,"(ce, things you need)"
11793305,"17:25, 14 November 2013",Garshepp,False,major_addition,active,,973,"(ce, clarifying, adding, weaving the web of links)"
11783755,"20:02, 13 November 2013",Egillmore,False,addition,active,,46,(categorization)
11779967,"15:33, 13 November 2013",Serendipitee,False,deletion,active,,-304,(restore edits made as anon (75.89.252.146) while not signed in)
11779951,"15:27, 13 November 2013",Serendipitee,False,revert,active,,-22,(Reverted edits by 75.89.252.146 (Talk); changed back to last version by Garshepp)
11779926,"15:23, 13 November 2013",75.89.252.146,False,addition,reverted,Serendipitee,22,(Rewrite introduction; Remove duplicated instruction (to install windows and doors))
11754670,"02:50, 11 November 2013",Garshepp,False,addition,reverted,Serendipitee,179,"(ce, refs)"
11754397,"01:53, 11 November 2013",Garshepp,False,sourcing,reverted,Serendipitee,53,"(ce, references / things you need)"
11754260,"01:27, 11 November 2013",Garshepp,False,major_addition,reverted,Serendipitee,615,"(ce, re-order logically)"
11754180,"01:09, 11 November 2013",Davjohn,False,addition,active,,17,
11754064,"00:43, 11 November 2013",Garshepp,False,addition,reverted,Serendipitee,64,"(ce, clarifying)"
11753606,"22:53, 10 November 2013",Garshepp,False,addition,reverted,Serendipitee,33,"(ce, clarifying)"
11753560,"22:40, 10 November 2013",Garshepp,False,addition,reverted,Serendipitee,26,"(ce, fix ref, add related)"
11753524,"22:29, 10 November 2013",Garshepp,False,major_addition,reverted,Serendipitee,2296,"(ref/reflist, clarifying, adding, weaving the web of links)"
11602879,"22:05, 29 October 2013",Votebot,False,addition,reverted,Eric,2,(reordering tips and warnings based on votes)
10670284,"08:47, 4 August 2013",84.26.130.14,False,deletion,active,,-8,(→‎Things You'll Need)
