Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
33691900,"08:51, 23 September 2025",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
33491578,"03:10, 17 June 2025",Seymour Edits,False,sourcing,active,,112,(Added and updated sources for the wikiHaus content team.)
33175583,"17:54, 24 February 2025",MiscBot,False,addition,active,,19,(Adding Horizontal TOC magic word)
33007238,"09:47, 18 December 2024",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
32936048,"09:47, 17 November 2024",Votebot,False,adjustment,active,,0,(reordering tips and warnings based on votes)
32505560,"13:11, 14 May 2024",WikiHow Projects,False,addition,active,,103,(Adding internal links)
31705962,"01:36, 13 June 2023",Seymour Edits,False,sourcing,active,,195,(Removed/Added sources for the wikiHaus content team; Removed bad/inaccurate info)
31395341,"22:54, 27 February 2023",Rainy M,False,addition,active,,47,(Adding video via video picker tool)
31335226,"17:12, 7 February 2023",Seymour Edits,False,addition,active,,39,(added expert citation tag)
31334863,"14:12, 7 February 2023",Seymour Edits,False,revert,active,,-11,(Added expert-requested edit; please do not revert)
30279746,"04:47, 8 February 2022",ICanGuessItLol,False,revert,active,,-86,(RCP reverted edits by 47.221.238.254 (talk) to  revision #28661600 by Votebot)
30279390,"00:45, 8 February 2022",47.221.238.254,False,addition,reverted,ICanGuessItLol,86,
28661600,"09:35, 26 September 2020",Votebot,False,adjustment,reverted,ICanGuessItLol,0,(reordering tips and warnings based on votes)
28592331,"09:40, 9 September 2020",Votebot,False,addition,reverted,ICanGuessItLol,3,(reordering tips and warnings based on votes)
26936399,"10:26, 12 August 2019",Wikivisual,False,major_addition,active,,501,(Saving new step-by-step photos)
26840649,"20:59, 25 July 2019",Kyle Hall,False,addition,active,,159,(Updated green box.)
26840647,"20:58, 25 July 2019",Kyle Hall,False,deletion,active,,-134,(moving substep to green box)
26840624,"20:46, 25 July 2019",Christy17,False,addition,active,,31,(categorization)
26840371,"19:31, 25 July 2019",Seymour Edits,False,addition,active,,161,(Updated green box.)
26840370,"19:31, 25 July 2019",Seymour Edits,False,addition,active,,346,(Updated green box.)
26840369,"19:30, 25 July 2019",WRM,False,major_addition,active,,7928,"(Adding methods, sourcing, greenboxes)"
