Revision ID,Timestamp,User,Is Expert,Type,Status,Reverted By,Change Size,Summary
34097730,"19:59, 19 February 2026",MiscBot,False,deletion,active,,-181,(Removing Related Articles section)
34082162,"03:02, 19 February 2026",MiscBot,False,revert,active,,183,(Reverting the Related Articles section removal)
34066369,"19:53, 18 February 2026",MiscBot,False,deletion,active,,-183,(Removing Related Articles section)
32841116,"01:29, 8 October 2024",WikiHow Horizon 3,False,addition,active,,2,(http ► https)
32726378,"22:55, 18 August 2024",WikiHow Horizon,False,addition,active,,10,(Updated link/s)
32604975,"08:20, 25 June 2024",Wikivisual,False,major_deletion,active,,-1891,(Saving new step-by-step photos)
32408404,"21:50, 2 April 2024",Thomas_Ch,False,addition,active,,92,(added expert video method)
31109950,"09:11, 27 November 2022",WikiHow Projects,False,addition,active,,1,(updating link)
29255211,"17:10, 23 February 2021",XxVxX,False,revert,active,,114,(RCP reverted edits by BananaAppleChocolate (talk) to  revision #29198282 by Rock20000)
29254175,"16:09, 23 February 2021",BananaAppleChocolate,False,deletion,reverted,XxVxX,-114,(clean up)
29198282,"03:56, 11 February 2021",Rock20000,False,deletion,reverted,XxVxX,-26,
28883259,"22:27, 17 November 2020",Vanna Tran,False,addition,active,,137,
27983398,"18:01, 13 April 2020",Wikiphoto,False,addition,active,,1,(Video added via Video Embed Helper Tool)
26631856,"14:04, 2 June 2019",Eric,False,revert,active,,7695,(Reverted edits by 70.59.64.34 (Talk); changed back to last version by MiscBot)
26631809,"13:38, 2 June 2019",70.59.64.34,False,major_deletion,reverted,Eric,-7695,(→‎Steps)
26253121,"23:32, 28 March 2019",MiscBot,False,sourcing,reverted,Eric,-11,(Updating References section name to match new sitewide conventions)
26135762,"02:20, 7 March 2019",Wikivisual,False,addition,active,,20,(Saving new step-by-step photos)
25780790,"18:55, 19 December 2018",Wikivisual,False,addition,active,,73,(Saving new step-by-step photos)
24571220,"23:41, 14 May 2018",MiscBot,False,deletion,reverted,Eric,-365,(Converting summary section to the new Summary template.)
24430935,"02:49, 24 April 2018",Seymour Edits,False,deletion,active,,-92,(Editing Quick Summary for Wihihaus)
24418705,"16:42, 21 April 2018",Zodi,False,revert,active,,-29,(Reverted edits by 86.44.7.234 (Talk); changed back to last version by Seymour Edits)
24417677,"11:22, 21 April 2018",86.44.7.234,False,addition,reverted,Zodi,29,
